鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
文山區,土地,景美段二小段271地號,25.9,住,,,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,270270,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLRKKHKGFAA38DA,0.0,0.0,0.0,無,001
大同區,車位,臺北市大同區承德路二段３９號房屋地下一層,0.0,,,,1140217,土地0建物1車位1,地下一層,十一層,其他,見使用執照,鋼筋混凝土造,0810630,59.19,0,0,0,無,有,2000000,,升降平面,59.19,2000000,建物坐落地號：圓環段二小段466地號；僅車位交易；,RPSNMLKLKHKGFBA17DA,0.0,0.0,0.0,有,002
中山區,車位,臺北市中山區雙城街１３巷１１號三樓之１,0.18,商,,,1140203,土地1建物1車位1,三層,十五層,其他,住家用,鋼筋混凝土造,1010327,0.17,0,0,0,無,有,2200000,,坡道平面,0.0,2200000,僅車位交易；,RPPNMLRKKHKGFCA57DA,0.0,0.0,0.0,有,003
萬華區,車位,臺北市萬華區西寧南路３６號地下三樓,2.62,都市：其他:第四種商業區。,,,1140206,土地1建物1車位1,地下三層,十層,其他,防空避難室兼停車場,預力混凝土造,0671215,31.12,0,0,0,無,有,1750000,,坡道平面,31.12,1750000,僅車位交易；,RPTNMLTKKHKGFBA18EA,0.0,0.0,0.0,有,004
中山區,房地(土地+建物),臺北市中山區松江路７７巷１０號六樓,47.57,住,,,1140210,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650913,256.44,3,2,2,有,無,66000000,257370,,0.0,0,,RPPNMLSKKHKGFCA77EA,193.1,24.7,38.64,有,
萬華區,房地(土地+建物),臺北市萬華區和平西路三段３８４號三樓之１８,3.83,住,,,1140207,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700706,33.19,1,1,1,有,有,5450000,164206,,0.0,0,陽台外推；,RPVNMLSKKHKGFBA18DA,18.94,0.0,4.52,有,
士林區,土地,新安段六小段124地號,496.0,都市：其他:第一種住宅區(依都市計畫說明書圖規定辦理。本筆土地申請建築時，應依環境影響評估審查結論及臺北市山坡地開發建築要點規定，原自然地形平均坡度超過30%者，除水土保持必要設施外，不得作為建築使用，也不得計入建築基地面積檢討建蔽率及容積率，但可計入開發範圍。相關訊息請洽臺北市政府環境保護局綜合企劃小組或都市發展局規劃科。)。,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40500000,81653,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKLKHKGFEA47EA,0.0,0.0,0.0,無,005
士林區,房地(土地+建物),臺北市士林區葫蘆街３０巷３８號二樓,23.0,都市：其他:第三種住宅區。,,,1140208,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620207,72.94,4,1,1,有,無,4600000,63066,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLLKHKGFEA47EA,72.94,0.0,0.0,無,
文山區,房地(土地+建物),臺北市文山區景福街５４巷１之１號,32.56,都市：其他:住宅區(專案國宅用地)。,,,1140211,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880119,140.0,1,1,2,有,有,28000000,200000,,0.0,0,,RPVOMLLKKHKGFAA47DA,85.33,0.0,0.0,有,
中正區,房地(土地+建物)+車位,臺北市中正區金山南路一段５９號十四樓,32.81,住,,,1140205,土地4建物1車位2,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1120606,338.82,0,0,0,無,有,147000000,516509,坡道平面,70.48,8400000,毛胚屋；,RPXNMLOKKHKGFBA97DA,152.96,8.54,10.19,有,
中正區,房地(土地+建物),臺北市中正區延平南路８３號十一樓之２,8.4,,,,1140217,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0900816,90.98,0,0,0,無,有,23500000,258299,,0.0,0,,RPSNMLSKKHKGFBA87DA,50.66,0.0,8.58,有,006
內湖區,車位,臺北市內湖區文湖街２１巷１１６號,0.4,都市：其他:第三種住宅區。,,,1140204,土地1建物1車位1,一層,十層,其他,商業用,鋼筋混凝土造,0970723,27.5,0,0,0,無,有,1750000,,坡道平面,34.59,1750000,僅車位交易；,RPSNMLPJKHKGFCA57DA,0.0,0.0,0.0,有,007
信義區,車位,臺北市信義區富陽街５７號地下一樓,0.05,都市：其他:第三種住宅區。,,,1140213,土地1建物1車位1,地下一層,七層,其他,一般事務所,鋼筋混凝土造,0991210,11.56,0,0,0,無,有,2100000,,升降機械,11.56,2100000,僅車位交易；,RPPOMLNKKHKGFDA37DA,0.0,0.0,0.0,有,008
