編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLTKKHKGFBA18EA,46,26.64,防空避難室兼停車場,預力混凝土造,67年12月15日,十層,地下三層,持分移轉
RPTNMLTKKHKGFBA18EA,46,4.48,共有部分,預力混凝土造,67年12月15日,十層,,持分移轉
RPQNMLLLKHKGFEA47EA,52,72.94,住家用,鋼筋混凝土造,62年2月7日,四層,二層,全筆移轉
RPVOMLLKKHKGFAA47DA,26,85.33,商業用,鋼筋混凝土造,88年1月19日,十四層,一層,全筆移轉
RPVOMLLKKHKGFAA47DA,26,54.67,共有部分,鋼筋混凝土造,88年1月19日,十六層,,持分移轉
RPSNMLSKKHKGFBA87DA,24,59.24,見使用執照,鋼筋混凝土造,90年8月16日,十四層,十一層 陽臺,全筆移轉
RPSNMLSKKHKGFBA87DA,24,31.74,共有部分,鋼筋混凝土造,90年8月16日,十四層,,持分移轉
RPXNMLMKKHKGFEA08DA,28,112.77,商業用,鋼筋混凝土造,86年2月25日,十層,三層 陽臺,全筆移轉
RPXNMLMKKHKGFEA08DA,28,3.90,共有部分,鋼筋混凝土造,86年2月25日,十層,,持分移轉
RPXNMLMKKHKGFEA08DA,28,3.90,共有部分,鋼筋混凝土造,86年2月25日,十層,,持分移轉
RPXNMLMKKHKGFEA08DA,28,16.22,共有部分,鋼筋混凝土造,86年2月25日,十層,,持分移轉
RPQNMLLLKHKGFEA37DA,17,.53,一般零售業（甲組）,鋼筋混凝土造,96年11月21日,九層,一層 陽臺,持分移轉
RPQNMLLLKHKGFEA37DA,17,.04,共有部分,鋼筋混凝土造,96年11月21日,九層,,持分移轉
RPQNMLLLKHKGFEA37DA,17,.00,共有部分,鋼筋混凝土造,96年11月21日,九層,,持分移轉
RPQNMLLLKHKGFEA37DA,17,7.94,共有部分,鋼筋混凝土造,96年11月21日,九層,,持分移轉
RPUNMLLLKHKGFBA57EA,24,135.85,商業用,鋼筋混凝土造,89年10月23日,十三層,五層 陽臺 雨遮,全筆移轉
RPUNMLLLKHKGFBA57EA,24,15.44,共有部分,鋼筋混凝土造,89年10月23日,十三層,,持分移轉
RPUNMLLLKHKGFBA57EA,24,19.98,共有部分,鋼筋混凝土造,89年10月23日,十三層,,持分移轉
RPVNMLSKKHKGFBA18DA,44,4.51,共有部分,鋼筋混凝土造,70年7月6日,八層,,持分移轉
RPVNMLSKKHKGFBA18DA,44,23.46,住家用,鋼筋混凝土造,70年7月6日,八層,三層 陽臺,全筆移轉
RPVNMLSKKHKGFBA18DA,44,5.22,共有部分,鋼筋混凝土造,70年7月6日,七層,,持分移轉
