編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLTKKHKGFBA18EA,福星段二小段,2.62,都市：其他:第四種商業區。,5982388,3626,持分移轉,05510000
RPRNMLKLKHKGFEA47EA,新安段六小段,496.00,都市：其他:第一種住宅區(依都市計畫說明書圖規定辦理。本筆土地申請建築時，應依環境影響評估審查結論及臺北市山坡地開發建築要點規定，原自然地形平均坡度超過30%者，除水土保持必要設施外，不得作為建築使用，也不得計入建築基地面積檢討建蔽率及容積率，但可計入開發範圍。相關訊息請洽臺北市政府環境保護局綜合企劃小組或都市發展局規劃科。)。,1,1,全筆移轉,01240000
RPQNMLLLKHKGFEA47EA,海光段二小段,23.00,都市：其他:第三種住宅區。,4,1,持分移轉,04270000
RPVOMLLKKHKGFAA47DA,萬隆段二小段,32.56,都市：其他:住宅區(專案國宅用地)。,850000,2194,持分移轉,03820000
RPSNMLSKKHKGFBA87DA,城中段二小段,8.40,都市：其他:第四種商業區 但是否在廣場用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,100000,2640,持分移轉,04590000
RPXNMLMKKHKGFEA08DA,振興段二小段,18.01,都市：其他:第三種商業區。,2000,23,持分移轉,04940000
RPQNMLLLKHKGFEA37DA,溫泉段二小段,.44,都市：其他:第三種住宅區。,10000,5,持分移轉,02370000
RPUNMLLLKHKGFBA57EA,迪化段一小段,23.55,都市：其他:第三種商業區。,100000,1760,持分移轉,00190000
RPVNMLSKKHKGFBA18DA,華江段二小段,2.87,都市：其他:第三之一種住宅區。,100000,331,持分移轉,00940000
RPVNMLSKKHKGFBA18DA,華江段二小段,.95,都市：其他:第三種住宅區。,100000,331,持分移轉,00940001
RPXNMLOKKHKGFBA97DA,中正段一小段,4.00,都市：其他:第三之一種住宅區。,10000,267,持分移轉,00440000
RPXNMLOKKHKGFBA97DA,臨沂段二小段,25.75,都市：其他:第三之一種住宅區。,10000,267,持分移轉,02270000
RPXNMLOKKHKGFBA97DA,臨沂段二小段,1.98,都市：其他:第三種住宅區。,10000,267,持分移轉,02270001
RPXNMLOKKHKGFBA97DA,臨沂段二小段,1.08,都市：其他:第三種住宅區。,10000,267,持分移轉,02320001
RPSNMLPJKHKGFCA57DA,西湖段二小段,.40,都市：其他:第三種住宅區。,200000,43,持分移轉,03520000
RPQNMLLLKHKGFCA27EA,康寧段三小段,28.10,都市：其他:第三種住宅區。,10000,57,持分移轉,05130000
RPPNMLSKKHKGFCA77EA,長安段三小段,47.57,都市：其他:第三種住宅區。,7,1,持分移轉,02630000
RPRNMLLLKHKGFCA27DA,東湖段七小段,.33,都市：其他:第三種住宅區。,10000,1,持分移轉,00630000
RPOOMLKLKHKGFCA96DA,康寧段三小段,.79,都市：其他:第三種住宅區。,10000,2,持分移轉,01560000
