編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLTKKHKGFBA18EA,坡道平面,1750000,31.12,地下三樓
RPQNMLLLKHKGFEA37DA,升降機械,679000,7.93,地下二樓
RPXNMLOKKHKGFBA97DA,坡道平面,0,36.92,地下二樓
RPXNMLOKKHKGFBA97DA,坡道平面,0,33.56,地下二樓
RPSNMLPJKHKGFCA57DA,坡道平面,1750000,34.59,地下一樓
RPQNMLLLKHKGFCA27EA,坡道平面,0,,地下二樓
RPRNMLLLKHKGFCA27DA,坡道平面,1550000,23.05,地下二樓
RPOOMLKLKHKGFCA96DA,坡道平面,1830000,40.75,地下四樓
RPSNMLLLKHKGFCA37DA,坡道平面,1250000,20.47,地下二樓
RPRNMLKLKHKGFAA96DA,坡道平面,1800000,,地下二樓
RPPNMLRKKHKGFCA57DA,坡道平面,2200000,,地下五樓含以下
RPPOMLNKKHKGFDA37DA,升降機械,2100000,11.56,地下三樓
RPPNMLNLKHKGFCA27DA,坡道平面,2950000,34.94,地下三樓
RPSNMLKLKHKGFBA17DA,升降平面,2000000,59.19,地下一樓
RPSOMLSKKHKGFBA97DA,其他,2400000,30.25,地下五樓含以下
RPSNMLOKKHKGFBA47DA,坡道平面,2000000,31.12,地下三樓
RPUOMLRJKHKGFDA18DA,坡道平面,0,34.33,地下三樓
RPUOMLRJKHKGFDA18DA,坡道平面,0,34.33,地下三樓
RPSNMLSKKHKGFCA97DA,坡道平面,2500000,31.66,地下三樓
RPQOMLMKKHKGFDA37DA,坡道平面,1680000,37.80,地下三樓
RPRNMLMKKHKGFDA37DA,坡道平面,3200000,23.84,地下三樓
RPWNMLTKKHKGFEA78EA,升降平面,0,,地下二樓
RPVNMLTKKHKGFCA38DA,坡道平面,0,40.50,地下三樓
RPVNMLMLJHKGFDA77DA,坡道平面,2800000,33.91,地下四樓
RPSNMLQKKHKGFCA77DA,坡道平面,2330000,37.47,地下五樓含以下
RPVOMLNJKHKGFEA97DA,其他,1800000,14.72,無固定樓層
RPVOMLNJKHKGFEA97DA,其他,1800000,14.72,無固定樓層
RPVOMLNJKHKGFEA97DA,其他,1800000,14.72,無固定樓層
RPPNMLKLKHKGFBA96EA,坡道平面,2550000,32.01,地下三樓
RPQNMLOJKHKGFAA07DA,坡道平面,2000000,,地下一樓
RPTOMLKLJHKGFDA47DA,坡道平面,2700000,45.21,地下二樓
RPPQMLPLKHKGFEA97DA,塔式車位,720000,5.60,
RPPNMLKLKHKGFAA86EA,坡道平面,0,,地下二樓
RPPNMLKLKHKGFAA86EA,坡道平面,0,,地下二樓
RPUNMLQLKHKGFCA08DA,坡道平面,2500000,44.25,地下二樓
RPRNMLSJKHKGFBA67DA,坡道平面,2700000,38.48,地下二樓
RPSNMLOJKHKGFAA27DA,坡道平面,2900000,32.99,地下二樓
RPPOMLNLJHKGFCA27DA,塔式車位,0,19.70,
RPPNMLKLKHKGFDA07DA,坡道平面,2100000,,地下二樓
RPQNMLKLKHKGFEA27DA,坡道平面,3100000,34.73,地下四樓
RPQNMLKLKHKGFEA27DA,坡道平面,3100000,34.73,地下四樓
RPQNMLKLKHKGFEA27DA,坡道平面,3100000,34.73,地下四樓
RPQNMLKLKHKGFEA27DA,坡道平面,3100000,34.73,地下四樓
RPQNMLKLKHKGFEA27DA,坡道平面,2900000,34.73,地下四樓
RPQNMLKLKHKGFEA27DA,坡道平面,2900000,34.73,地下四樓
RPWNMLOKKHKGFCA97DA,升降機械,0,25.76,地下二樓
RPSNMLOJKHKGFDA57DA,坡道平面,2650000,26.32,地下二樓
RPWNMLSKKHKGFCA38DA,坡道平面,0,,地下一樓
RPWNMLSKKHKGFCA38DA,坡道平面,0,,地下一樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPPNMLQKKHKGFCA47DA,坡道平面,0,,地下四樓
RPRWMLSKKHKGFDA88DA,其他,0,,無固定樓層
RPQNMLQJKHKGFEA67DA,坡道平面,2700000,33.08,地下四樓
RPQNMLQJKHKGFEA67DA,坡道平面,2700000,33.08,地下四樓
RPPNMLNJKHKGFDA17DA,坡道平面,2500000,38.65,地下五樓含以下
RPPNMLNJKHKGFDA17DA,坡道平面,2500000,38.65,地下五樓含以下
RPWNMLSKKHKGFEA58DA,升降機械,0,,地下二樓
RPWNMLSKKHKGFEA58DA,升降平面,0,,地下二樓
RPXNMLKLKHKGFAA57DA,升降平面,1800000,36.99,地下一樓
RPRPMLNJKHKGFEA67DA,坡道平面,2100000,28.09,地下二樓
RPRNMLNLJHKGFAA17DA,坡道平面,0,26.99,地下二樓
RPPNMLTKKHKGFFA08DA,坡道平面,1500000,,地下二樓
RPPNMLTKKHKGFFA08DA,坡道平面,1500000,,地下二樓
RPPNMLLLKHKGFDA27EA,坡道平面,3000000,30.06,地下三樓
RPPNMLLLKHKGFDA27EA,坡道平面,3000000,30.06,地下三樓
RPRNMLKLKHKGFBA07DA,坡道平面,0,33.69,地下五樓含以下
RPQNMLKLKHKGFCA17EA,坡道平面,0,38.56,地下一樓
RPVNMLLLKHKGFEA87DA,塔式車位,0,1.22,
RPVOMLNJKHKGFCA77DA,坡道平面,0,35.28,地下二樓
RPROMLKKJHKGFCA07DA,其他,0,,無固定樓層
RPQPMLNKJHKGFCA37DA,坡道平面,2500000,31.07,地下三樓
RPPNMLPLKIJGFAA27DA,坡道平面,2200000,25.45,地下三樓
RPOOMLLLKHKGFEA37EA,坡道平面,3000000,42.50,地下二樓
RPTOMLPJKHKGFCA77DA,坡道平面,2800000,42.03,地下二樓
RPUNMLLLJHKGFDA57DA,升降機械,1500000,11.78,地下二樓
RPSNMLOLKHKGFCA77EA,塔式車位,0,8.07,
RPQNMLLKKHKGFDA27EA,升降平面,0,19.21,地下二樓
RPUOMLLLJHKGFDA67DA,坡道平面,4000000,26.05,地下三樓
RPPNMLPLKHKGFAA37EA,塔式車位,0,,
RPQNMLLKKHKGFFA37DA,坡道平面,0,,地下二樓
RPPNMLNKKHKGFAA96DA,坡道平面,2500000,36.25,地下一樓
RPPNMLTKKHKGFAA67EA,坡道平面,0,35.72,地下二樓
RPPNMLOKJHKGFCA17DA,坡道機械,2000000,15.09,地下三樓
RPPNMLMKKHKGFDA17DA,坡道平面,2500000,35.76,地下四樓
RPUNMLKLKHKGFDA57DA,塔式車位,1600000,11.51,
RPRNMLKKKHKGFCA07DA,坡道機械,0,27.70,地下二樓
RPRNMLKKKHKGFCA07DA,坡道機械,0,27.70,地下二樓
RPWOMLRKJHKGFCA28DA,坡道平面,0,37.97,地下一樓
RPQOMLKLKHKGFCA17DA,坡道平面,2500000,,地下三樓
RPSNMLOKJHKGFBA37DA,升降機械,0,18.66,地下四樓
RPWNMLRKKHKGFCA28DA,坡道平面,0,31.92,地下一樓
RPPNMLRJKHKGFCA47DA,升降機械,1800000,18.91,地下二樓
RPXNMLLLKHKGFDA97DA,坡道平面,4000000,45.18,地下一樓
RPXNMLLLKHKGFDA97DA,坡道機械,2500000,16.00,地下四樓
RPXNMLOLKHKGFCA18DA,坡道機械,1800000,,地下一樓
RPPOMLLMKIJGFBA17DA,塔式車位,1800000,17.83,
RPOPMLNKKHKGFCA27DA,坡道平面,3500000,28.48,地下二樓
RPTNMLRJKHKGFCA87DA,塔式車位,1800000,24.97,
RPPNMLNJJHKGFBA86DA,塔式車位,1800000,12.07,
RPXNMLPKJHKGFDA18DA,坡道機械,2500000,4.65,地下一樓
RPSNMLNKKHKGFDA57DA,坡道平面,3200000,40.04,地下三樓
RPROMLSKKHKGFFA28DA,坡道平面,3500000,,地下二樓
RPPNMLMJJHKGFBA76DA,坡道平面,4200000,41.42,地下一樓
RPSPMLNKKHKGFCA67DA,塔式車位,0,,
RPTNMLLLKHKGFCA47DA,塔式車位,2200000,13.87,
RPXNMLSKKHKGFAA28DA,坡道平面,0,32.80,地下二樓
RPXNMLSKKHKGFAA28DA,坡道平面,0,32.80,地下二樓
RPSNMLSJKHKGFCA87DA,坡道平面,2300000,31.94,地下四樓
RPUNMLMJJHKGFBA27DA,升降機械,1500000,,地下二樓
RPXNMLLLKHKGFEA08DA,坡道平面,2000000,40.90,地下三樓
RPQNMLTKKHKGFAA67DA,坡道平面,0,27.73,地下二樓
RPSPMLLLJHKGFCA47DA,坡道平面,2500000,26.28,地下三樓
RPUNMLLKKHKGFEA67DA,坡道平面,2800000,32.36,地下一樓
RPWNMLRJKHKGFEA38DA,坡道平面,0,33.14,地下一樓
RPSNMLNKKHKGFAA27DA,坡道平面,2500000,,地下一樓
RPRNMLTJKIJGFAA67DA,升降機械,1200000,,地下一樓
RPOPMLNKJHKGFCA17DA,坡道平面,2500000,46.05,地下一樓
RPSNMLQKJHKGFBA57DA,坡道平面,0,33.48,地下五樓含以下
RPSNMLQKJHKGFBA57DA,坡道平面,0,33.48,地下五樓含以下
RPTPMLNKKHKGFCA77DA,塔式車位,1800000,14.83,
RPTOMLKKKHKGFCA37DA,坡道平面,0,33.87,地下四樓
RPTOMLKKKHKGFCA37DA,坡道平面,0,40.64,地下四樓
RPTNMLTKKHKGFEA38DA,升降機械,1600000,35.50,地下四樓
RPSNMLTKKHKGFEA28DA,升降機械,1600000,35.50,地下三樓
RPUNMLTKKHKGFEA48DA,升降機械,1600000,35.50,地下三樓
RPSNMLTKKHKGFEA38EA,坡道機械,1200000,16.95,地下二樓
RPRNMLTKKHKGFEA18DA,升降機械,1600000,35.50,地下三樓
RPTOMLKMKIJGFEA77DA,其他,0,30.65,地下一樓
RPTOMLKMKIJGFEA77DA,坡道平面,0,16.71,一樓
RPQNMLNJKHKGFEA37DA,坡道平面,0,35.09,地下二樓
RPQNMLNJKHKGFEA37DA,坡道平面,0,35.09,地下二樓
RPQNMLNJKHKGFEA37DA,坡道平面,0,35.09,地下二樓
RPUNMLNKKHKGFAA47DA,坡道平面,0,29.06,地下三樓
RPUNMLNKKHKGFAA47DA,坡道平面,0,29.06,地下三樓
RPUOMLKMKIJGFEA87DA,其他,1500000,30.65,地下二樓
RPPNMLNKKHKGFCA27EA,升降機械,1650000,,地下二樓
RPOPMLLLJHKGFEA37EA,坡道平面,0,43.85,地下四樓
RPOPMLLLJHKGFEA37EA,坡道平面,0,43.85,地下四樓
RPTPMLMKKHKGFCA67DA,坡道平面,0,40.64,地下三樓
RPTPMLMKKHKGFCA67DA,坡道平面,0,40.64,地下三樓
RPQOMLTKKHKGFCA97DA,坡道平面,3000000,46.64,地下二樓
RPRNMLKLKHKGFCA17DA,坡道平面,3000000,46.64,地下二樓
RPWNMLQKJHKGFCA08DA,坡道平面,2600000,30.17,地下二樓
RPTOMLOJKIJGFCA67DA,坡道平面,0,38.05,地下一樓
RPTOMLOJKIJGFCA67DA,坡道平面,0,38.05,地下一樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPRNMLOLKHKGFAA37DA,坡道平面,0,28.68,地下二樓
RPPPMLLLJHKGFEA47EA,坡道平面,2500000,43.85,地下四樓
RPQPMLLLJHKGFEA57EA,坡道平面,0,43.85,地下二樓
RPQPMLLLJHKGFEA57EA,坡道平面,0,43.85,地下三樓
RPRPMLLLJHKGFEA67EA,坡道平面,0,43.85,地下三樓
RPRPMLLLJHKGFEA67EA,坡道平面,0,43.85,地下三樓
RPPOMLOJKIJGFCA27DA,坡道平面,0,38.05,地下三樓
RPPOMLOJKIJGFCA27DA,坡道平面,0,38.05,地下三樓
RPUNMLRKKHKGFDA18DA,坡道平面,3100000,26.05,地下二樓
RPUNMLRKKHKGFDA18DA,坡道平面,3100000,26.05,地下二樓
RPSPMLLLJHKGFEA77EA,坡道平面,2500000,43.85,地下四樓
