鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北投區,房地(土地+建物)+車位,臺北市北投區福真路,21.76,住,,,1140121,土地1建物1車位2,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,174.15,3,2,2,有,無,59720000,434537,坡道平面,52.02,6650000,,RPQNMLNLJHKGFEA47CB,遠雄泱玥,A03棟F18號,
松山區,房地(土地+建物)+車位,臺北市松山區中正里南京東路三段256巷,28.69,住,,,1140123,土地16建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,225.58,0,0,0,無,無,108400000,538154,坡道平面,33.07,4800000,,RPPNMLOLJHKGFDA37CB,金朋馥蓊,A-15F號,
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路一段,6.69,商,,,1140125,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.44,3,2,2,有,無,35250000,387195,升降機械,22.47,2350000,,RPQNMLNJKHKGFBA07CB,ASTER ONE,A12-09F號,
大同區,房地(土地+建物),臺北市大同區南京西路267號旁,6.84,商,,,1140122,土地6建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.75,2,2,1,有,無,19670000,263144,,0.0,0,,RPRNMLNJKHKGFBA17CB,合砌埕家,A5棟8F號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,29.78,住,,,1140121,土地2建物1車位1,二十三層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,208.25,3,2,3,有,無,64020000,330971,坡道平面,24.79,3300000,,RPPNMLOJKHKGFAA96CB,元利四季莊園,B棟23F-B03號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,13.18,住,,,1140125,土地2建物1車位1,二十二層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,106.15,2,2,2,有,無,31110000,340585,坡道平面,24.79,3400000,,RPSNMLOJKHKGFAA27CB,元利四季莊園,D棟22F-D07號,
中山區,房地(土地+建物),臺北市中山區錦州街10號,4.31,商,,,1140122,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.74,1,1,1,有,無,17000000,335041,,0.0,0,,RPPNMLOJKHKGFCA17CB,潮中山,D棟2F號,
信義區,房地(土地+建物)+車位,臺北市信義區基隆路一段83巷與基隆路一段37巷交叉口,12.79,住,,,1140121,土地15建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,155.78,3,2,2,有,無,54520000,431992,坡道平面,36.75,3100000,,RPQNMLPJKHKGFDA47CB,國美榕遇,A棟A6-03F號,
信義區,房地(土地+建物)+車位,臺北市信義區基隆路一段83巷與基隆路一段37巷交叉口,12.79,住,,,1140125,土地15建物1車位1,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,155.78,3,2,2,有,無,54890000,435100,坡道平面,36.75,3100000,,RPRNMLPJKHKGFDA57CB,國美榕遇,A棟A6-07F號,
北投區,房地(土地+建物)+車位,臺北市北投區福真路,33.36,住,,,1140126,土地1建物1車位2,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,239.09,4,2,2,有,無,85020000,418132,坡道平面,52.02,6800000,,RPPNMLPJKHKGFEA47CB,遠雄泱玥,A05棟F07號,
