編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOLJHKGFDA37CB,敦化段二小段,7.24,都市：住,100000,1398,持分移轉,04490012
RPPNMLOLJHKGFDA37CB,敦化段二小段,.51,都市：住,100000,1398,持分移轉,04490018
RPPNMLOLJHKGFDA37CB,敦化段二小段,2.52,都市：住,100000,1398,持分移轉,04510000
RPPNMLOLJHKGFDA37CB,敦化段二小段,1.97,都市：住,100000,1398,持分移轉,04560000
RPPNMLOLJHKGFDA37CB,敦化段二小段,2.45,都市：住,100000,1398,持分移轉,04600000
RPPNMLOLJHKGFDA37CB,敦化段二小段,2.06,都市：住,100000,1398,持分移轉,04640000
RPPNMLOLJHKGFDA37CB,敦化段二小段,.43,都市：住,100000,1398,持分移轉,04650000
RPPNMLOLJHKGFDA37CB,敦化段二小段,.50,都市：住,100000,1398,持分移轉,04680002
RPPNMLOLJHKGFDA37CB,敦化段二小段,1.15,都市：住,100000,1398,持分移轉,04490013
RPPNMLOLJHKGFDA37CB,敦化段二小段,2.43,都市：住,100000,1398,持分移轉,04500000
RPPNMLOLJHKGFDA37CB,敦化段二小段,1.68,都市：住,100000,1398,持分移轉,04520000
RPPNMLOLJHKGFDA37CB,敦化段二小段,1.96,都市：住,100000,1398,持分移轉,04570000
RPPNMLOLJHKGFDA37CB,敦化段二小段,2.22,都市：住,100000,1398,持分移轉,04610000
RPPNMLOLJHKGFDA37CB,敦化段二小段,.01,都市：住,100000,1398,持分移轉,04640001
RPPNMLOLJHKGFDA37CB,敦化段二小段,1.50,都市：住,100000,1398,持分移轉,04650001
RPPNMLOLJHKGFDA37CB,敦化段二小段,.06,都市：住,100000,1398,持分移轉,04730009
RPQNMLNLJHKGFEA47CB,新洲美段,21.76,都市：住,100000,661,持分移轉,01120000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.19,都市：住,100000,324,持分移轉,05780000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.17,都市：住,100000,324,持分移轉,05800000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.20,都市：住,100000,324,持分移轉,05820000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.28,都市：住,100000,324,持分移轉,05840000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.33,都市：住,100000,324,持分移轉,05860000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.25,都市：住,100000,324,持分移轉,05880000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.26,都市：住,100000,324,持分移轉,05900000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.28,都市：住,100000,324,持分移轉,05920000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,.27,都市：住,100000,324,持分移轉,05940000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,2.55,都市：商,100000,324,持分移轉,05960000
RPQNMLPJKHKGFDA47CB,雅祥段一小段,1.06,都市：商,100000,324,持分移轉,05960002
