編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOLJHKGFDA37CB,坡道平面,4800000,33.07,地下二樓
RPQNMLNLJHKGFEA47CB,坡道平面,0,26.01,地下二樓
RPQNMLNLJHKGFEA47CB,坡道平面,0,26.01,地下二樓
RPQNMLPJKHKGFDA47CB,坡道平面,3100000,36.75,地下五樓含以下
RPROMLPJKHKGFEA77CB,坡道平面,0,26.01,地下四樓
RPROMLPJKHKGFEA77CB,坡道平面,0,26.01,地下四樓
RPPNMLPJKHKGFFA57CB,升降平面,3600000,29.58,地下二樓
RPRNMLPJKHKGFDA57CB,坡道平面,3100000,36.75,地下五樓含以下
RPSOMLPJKHKGFEA87CB,坡道平面,0,26.01,地下一樓
RPSOMLPJKHKGFEA87CB,坡道平面,0,26.01,地下一樓
RPSNMLOJKHKGFAA27CB,坡道平面,3400000,24.79,地下二樓
RPPNMLOJKHKGFAA96CB,坡道平面,3300000,24.79,地下二樓
RPPNMLPJKHKGFEA47CB,坡道平面,0,26.01,地下二樓
RPPNMLPJKHKGFEA47CB,坡道平面,0,26.01,地下二樓
RPQNMLQJKHKGFFA77CB,坡道平面,5000000,35.79,地下四樓
RPPNMLQJKHKGFFA67CB,坡道平面,4500000,35.79,地下五樓含以下
RPPNMLRJKHKGFDA57CB,坡道平面,2750000,26.73,地下五樓含以下
RPVNMLRJKHKGFDA18CB,坡道平面,2750000,26.73,地下五樓含以下
RPPNMLRJKHKGFCA47CB,坡道機械,1900000,12.00,地下四樓
RPQNMLNJKHKGFBA07CB,升降機械,2350000,22.47,地下五樓含以下
RPSNMLQJKHKGFBA57CB,其他,2500000,29.89,地下五樓含以下
RPXNMLRJKHKGFDA38CB,坡道平面,3100000,26.73,地下四樓
RPRNMLRJKHKGFDA77CB,坡道平面,3500000,26.73,地下二樓
RPQNMLRJKHKGFCA57CB,其他,2700000,18.78,地下二樓
RPOOMLRJKHKGFDA57CB,坡道平面,2650000,26.73,地下五樓含以下
RPQNMLKKKHKGFEA17CB,坡道平面,3000000,38.51,地下三樓
RPRNMLKKKHKGFEA27CB,坡道平面,2900000,27.50,地下五樓含以下
RPPNMLKKKHKGFCA86CB,坡道平面,3500000,36.92,地下三樓
RPPNMLKKKHKGFBA76CB,升降機械,1900000,8.61,地下四樓
RPQNMLMKKHKGFAA96CB,坡道平面,2800000,22.83,地下三樓
RPQNMLKKKHKGFBA86CB,升降機械,1500000,8.61,地下四樓
RPSNMLMKKHKGFAA17CB,坡道平面,3200000,24.79,地下三樓
RPSNMLNKKHKGFBA37CB,坡道平面,3200000,45.16,地下四樓
RPSNMLNKKHKGFBA37CB,坡道平面,3350000,41.53,地下四樓
RPQNMLLKKHKGFFA37CB,坡道平面,4300000,13.75,地下三樓
RPTNMLNKKHKGFBA47CB,坡道平面,3500000,45.16,地下四樓
RPUNMLNKKHKGFBA57CB,坡道平面,2900000,45.16,地下五樓含以下
RPRNMLNKKHKGFBA27CB,坡道平面,3200000,45.16,地下四樓
RPRNMLNKKHKGFBA27CB,坡道平面,3050000,45.16,地下四樓
RPVNMLNKKHKGFBA67CB,坡道平面,2700000,28.60,地下五樓含以下
RPPNMLSKKHKGFBA57CB,其他,2500000,29.89,地下五樓含以下
RPQOMLRJKHKGFDA77CB,坡道平面,3400000,26.73,地下四樓
RPQNMLSKKHKGFCA77CB,其他,2400000,24.80,地下三樓
RPPNMLTKKHKGFEA97CB,坡道平面,2950000,34.32,地下四樓
RPQNMLLKKHKGFBA96CB,坡道機械,1950000,21.04,地下四樓
RPPNMLNKKHKGFBA07CB,坡道平面,2800000,41.53,地下五樓含以下
RPPNMLNKKHKGFBA07CB,坡道平面,2950000,45.16,地下五樓含以下
RPQNMLNKKHKGFBA17CB,坡道平面,2850000,45.16,地下五樓含以下
RPPNMLLKKHKGFDA07CB,其他,1380000,16.85,地下二樓
RPPNMLSKKHKGFDA77CB,坡道平面,2900000,26.73,地下四樓
RPPNMLTKKHKGFCA77CB,坡道平面,2800000,36.92,地下三樓
