鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
文山區,租賃房屋,臺北市文山區萬美街２段５９號７樓之１,0.0,,,,1140121,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840830,48.35,1,0,1,有,有,有,15000,310,,0.0,0,,RPWNMLLLJHKGFAA57CC,獨立套房,有,1140130~1150109,有,冷氣、洗衣機、冰箱,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區萬大路４１１號４樓之２,0.0,,,,1140121,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880918,114.91999999999999,3,1,2,有,有,有,18000,157,,0.0,0,,RPOQMLLLJHKGFBA17CC,整棟(戶)出租,有,1140121~1150120,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,臺北市中山區中山北路三段２５號９樓,0.0,,,,1140121,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670121,108.30000000000001,2,2,1,有,有,無,31000,286,,0.0,0,,RPOOMLLLJHKGFCA07CC,整棟(戶)出租,有,1140121~1160124,有,,一般轉租
士林區,租賃房屋,臺北市士林區天母西路１３巷７之２號六樓,0.0,商,,,1140121,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731113,151.99,3,2,2,有,有,有,80000,526,,0.0,0,租金總額含管理費；續租案件；,RPTNMLLLJHKGFEA67CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
士林區,租賃房屋,臺北市士林區天母西路１３巷２號,0.0,商,,,1140121,土地5建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0710210,100.9,0,0,0,無,有,無,50000,496,,0.0,0,租金總額含稅；續租案件；,RPUNMLLLJHKGFEA77CC,,有,1140201~1170131,有,,
萬華區,租賃房屋,臺北市萬華區桂林路３２號７樓之１,0.0,,,,1140121,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721122,155.89000000000001,3,2,2,有,有,無,47000,301,,0.0,0,,RPPOMLMLJHKGFBA17CC,整棟(戶)出租,有,1140201~1150131,有,,
大同區,租賃房屋,臺北市大同區市民大道一段２０７號十四樓之１５,0.0,,,,1140121,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0980724,47.21,1,1,1,有,有,有,39000,826,,0.0,0,租金總額含管理費；網路費；續租案件；,RPTPMLMLJHKGFBA67CC,獨立套房,有,1140214~1150213,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,
萬華區,租賃房屋,臺北市萬華區隆昌街４０號４樓,0.0,,,,1140121,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0660831,31.9,2,1,1,有,無,有,19900,624,,0.0,0,,RPOQMLMLJHKGFBA27CC,整棟(戶)出租,無,1140210~1150209,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,臺北市中山區中山北路二段９３巷１７號１４樓之４,0.0,,,,1140121,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0920808,33.05,1,0,1,有,有,有,17000,514,,0.0,0,續租案件；,RPSNMLMLJHKGFCA47CC,獨立套房,有,1140120~1150119,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
中山區,租賃房屋,臺北市中山區德惠街３巷１號６樓之２,0.0,,,,1140121,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951229,33.85,1,0,1,有,有,有,18000,532,,0.0,0,,RPVNMLMLJHKGFCA77CC,獨立套房,有,1140124~1150123,有,洗衣機、電視機,社會住宅代管
中山區,租賃房屋,臺北市中山區合江街１１４號２樓,0.0,,,,1140121,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0591024,82.59,2,2,1,有,無,有,18000,218,,0.0,0,,RPXNMLMLJHKGFCA97CC,整棟(戶)出租,無,1140201~1140629,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
內湖區,租賃房屋,臺北市內湖區內湖路三段５９巷７弄１９號３樓,0.0,,,,1140121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680717,49.75,2,2,1,有,無,有,22000,442,,0.0,0,,RPPOMLMLJHKGFCA27CC,整棟(戶)出租,無,1140210~1160209,無,冷氣、熱水器、冰箱、瓦斯或天然氣,
士林區,租賃房屋,臺北市士林區葫蘆里１５鄰葫蘆街１３５巷１５弄３號２樓,0.0,,,,1140121,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690115,12.0,6,1,2,有,無,有,9900,825,,0.0,0,,RPPNMLMLJHKGFEA37CC,分租雅房,無,1140203~1150202,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
士林區,租賃房屋,臺北市士林區後港街１６２巷１０弄１４號,0.0,,,,1140122,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0560201,46.08,0,0,0,無,無,無,21000,456,,0.0,0,續租案件；,RPWNMLMLJHKGFEA08CC,分層出租,無,1140101~1140715,無,冷氣,一般轉租
士林區,租賃房屋,臺北市士林區忠誠路二段１０巷２１號,0.0,,,,1140121,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0621226,118.16,1,3,2,有,無,無,85000,719,,0.0,0,自民國114年04月01日至民國114年04月30日只為免租金期租金總額含稅；,RPXNMLMLJHKGFEA18CC,,無,1140401~1190331,無,,
