編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOQMLMLJHKGFBA27CC,47,31.90,見使用執照,鋼筋混凝土造,66年8月31日,五層,,
RPWNMLLLJHKGFAA57CC,29,35.10,住家用,鋼筋混凝土造,84年8月30日,十二層,,
RPWNMLLLJHKGFAA57CC,29,6.12,見使用執照,鋼筋混凝土造,84年8月30日,十三層,,
RPWNMLLLJHKGFAA57CC,29,7.13,見使用執照,鋼筋混凝土造,84年8月30日,十二層,,
RPTNMLLLJHKGFEA67CC,40,129.81,住家用,鋼筋混凝土造,73年11月13日,七層,,
RPOQMLLLJHKGFBA17CC,25,76.94,住家用,鋼筋混凝土造,88年9月18日,八層,,
RPTNMLLLJHKGFEA67CC,40,1.94,共有部分,鋼筋混凝土造,73年11月13日,七層,,
RPOQMLLLJHKGFBA17CC,25,37.98,共有部分,鋼筋混凝土造,88年9月18日,十層,,
RPTNMLLLJHKGFEA67CC,40,20.24,共有部分,鋼筋混凝土造,73年11月13日,七層,,
RPTPMLMLJHKGFBA67CC,15,32.52,住家用,鋼骨造,98年7月24日,十八層,,
RPTPMLMLJHKGFBA67CC,15,9.72,共有部分,鋼骨造,98年7月24日,十八層,,
RPTPMLMLJHKGFBA67CC,15,.07,共有部分,鋼骨造,98年7月24日,十八層,,
RPTPMLMLJHKGFBA67CC,15,4.90,共有部分,鋼骨造,98年7月24日,十八層,,
RPPOMLMLJHKGFBA17CC,41,123.43,住家用,鋼筋混凝土造,72年11月22日,十二層,,
RPPOMLMLJHKGFBA17CC,41,9.85,共有部分,鋼筋混凝土造,72年11月22日,十二層,,
RPPOMLMLJHKGFBA17CC,41,22.61,共有部分,鋼筋混凝土造,72年11月22日,十二層,,
RPUNMLLLJHKGFEA77CC,43,100.90,商業用,鋼筋混凝土造,71年2月10日,七層,,
RPUNMLLLJHKGFEA77CC,43,.00,共有部分,鋼筋混凝土造,71年2月10日,七層,,
RPWNMLMLJHKGFEA08CC,58,46.08,住家用,加強磚造,56年2月1日,二層,,
RPXNMLMLJHKGFEA18CC,51,118.16,住家用,加強磚造,62年12月26日,二層,,
RPPNMLMLJHKGFEA37CC,45,12.00,住家用,鋼筋混凝土造,69年1月15日,五層,,
