編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLLJHKGFEA67CC,天母段三小段,.00,都市：商,,,,02870000
RPUNMLLLJHKGFEA77CC,天母段三小段,.00,都市：商,,,,02630000
RPUNMLLLJHKGFEA77CC,天母段三小段,.00,都市：商,,,,02630001
RPUNMLLLJHKGFEA77CC,天母段三小段,.00,都市：商,,,,02630002
RPUNMLLLJHKGFEA77CC,天母段三小段,.00,都市：商,,,,02630003
RPUNMLLLJHKGFEA77CC,天母段三小段,.00,都市：商,,,,02630004
RPWNMLMLJHKGFFA18CC,懷生段二小段,.00,都市：商,,,,02280000
RPQNMLOLJHKGFFA77CC,仁愛段二小段,13.50,都市：商,,,,04200000
RPPNMLOJKHKGFCA27CC,德惠段三小段,.00,都市：住,,,,02460000
RPPNMLOJKHKGFCA27CC,德惠段三小段,.00,都市：住,,,,02470000
RPQNMLPJKHKGFCA47CC,長安段四小段,.00,都市：商,,,,00280000
RPQNMLKKKHKGFFA37CC,懷生段一小段,.00,都市：住,,,,07010000
RPQNMLKKKHKGFFA37CC,懷生段一小段,.00,都市：其他:道路用地,,,,07020000
RPWOMLKLKHKGFDA97CC,祥和段三小段,35.45,都市：住,,,,03210000
RPWNMLLLKHKGFEA08CC,溫泉段一小段,9.15,都市：其他:特定觀光商業專用區,,,,00500000
