編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLOLJHKGFAA37CC,坡道機械,0,,地下二樓
RPSNMLTJKHKGFDA18CC,坡道平面,0,30.83,地下一樓
RPVNMLMKKHKGFAA57CC,坡道平面,6000,80.66,地下二樓
RPVNMLMKKHKGFAA57CC,坡道平面,6000,80.66,地下二樓
RPQNMLNKKHKGFBA27CC,坡道平面,0,,地下三樓
RPQNMLKKKHKGFFA37CC,坡道平面,0,,地下一樓
RPTNMLMKKHKGFDA67CC,坡道平面,0,,地下一樓
RPPNMLMKKHKGFDA27CC,坡道平面,0,42.83,地下二樓
RPSNMLOKKHKGFCA67CC,坡道平面,0,40.97,地下五樓含以下
RPROMLRKKHKGFCA97CC,升降機械,0,18.21,地下一樓
RPWNMLRKKHKGFDA48CC,坡道平面,0,63.10,地下一樓
RPTNMLSKKHKGFFA48CC,坡道平面,0,43.63,地下二樓
RPQOMLTKKHKGFCA08CC,坡道平面,0,40.90,地下一樓
RPQNMLTKKHKGFFA28CC,坡道平面,0,,地下二樓
RPWNMLLLKHKGFEA08CC,坡道平面,0,46.01,地下四樓
RPTOMLOLKHKGFCA97CC,坡道平面,0,44.58,地下四樓
