鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北屯區,房地(土地+建物),臺中市北屯區僑孝街６５號,285.0,都市：其他:第二種住宅區,,,1140205,土地3建物1車位0,全,一層,透天厝,工業用,鋼筋混凝土加強磚造,0591020,76.28,0,0,0,無,無,45780000,600157,,0.0,0,,RPRNMLPJKHKGFBB47DA,76.28,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區太原路二段１８２號４樓之５,4.73,都市：其他:第一種商業區,,,1140211,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,0930903,47.06,2,1,1,有,有,2500000,53112,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKKHKGFBB47DA,29.64,1.03,4.04,有,
后里區,土地,四月段905地號,1091.9,,特定農業區,農牧用地,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2642400,2420,,0.0,0,農作物；,RPRNMLOJKHKGFDB57DA,0.0,0.0,0.0,無,
沙鹿區,土地,沙工段467地號,27.71,都市：其他:道路用地,,,1140213,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,43306,,0.0,0,包含公共設施保留地用地；,RPXQMLRKKHKGFFB09DA,0.0,0.0,0.0,無,001
太平區,房地(土地+建物)+車位,臺中市太平區樹孝路１１５巷６號之７七樓,15.05,住,,,1140206,土地3建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810825,133.36,3,2,2,有,有,4500000,33743,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPOOMLQJKHKGFJB18DA,86.19,1.1,16.63,有,
太平區,房地(土地+建物),臺中市太平區長龍路二段６３６巷２號,710.04,,山坡地保育區,農牧用地,1140207,土地1建物1車位0,全,一層,透天厝,農業用,磚造,0650612,30.0,2,3,3,有,無,4000000,133333,,0.0,0,,RPSNMLSKKHKGFJB78DA,30.0,0.0,0.0,無,
太平區,房地(土地+建物),臺中市太平區民族街２１之１號,31.14,住,,,1140206,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780915,173.94,3,2,2,有,有,10250000,58928,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKKHKGFJB58EA,150.94,1.09,15.12,有,002
南區,土地,下橋子頭段222-98地號,5.0,都市：其他:第三種住宅區。,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,220000,,0.0,0,政府機關標讓售；,RPQNMLTKKHKGFAB77DA,0.0,0.0,0.0,無,
南區,土地,下橋子頭段222-100地號,6.0,都市：其他:第三種住宅區。,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1320000,220000,,0.0,0,政府機關標讓售；,SPQNMLTKKHKGFAB87DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區進化北路２６３號３樓之１,4.4,都市：其他:第三種住宅區。,,,1140205,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821014,45.89,1,0,1,有,有,3080000,67117,,0.0,0,,RPOOMLLKKHKGFBB96DA,16.96,0.0,9.8,有,
南屯區,車位,臺中市南屯區春安路１７５號等公共設施,0.0,,,,1140207,土地0建物1車位1,,,其他,,,,29.11,0,0,0,無,有,1500000,,坡道平面,29.11,1500000,建物坐落地號：建功段4地號；僅車位交易；,RPOQMLNKKHKGFCB47DA,0.0,0.0,0.0,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南路２２７號五樓之１１,6.88,商,,,1140211,土地1建物1車位1,五層,三十一層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1130129,117.7,2,2,1,有,有,15000000,127443,坡道平面,31.62,0,,RPQOMLSKKHKGFCB97DA,49.7,0.9,4.96,有,003
神岡區,土地,福庄段1203地號,330.64,,特定農業區,農牧用地,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3600000,10888,,0.0,0,,RPRNMLOKKHKGFDB67DA,0.0,0.0,0.0,無,004
后里區,土地,四月段15地號,243.34,,特定農業區,農牧用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1104150,4537,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLKHKGFDB27DA,0.0,0.0,0.0,無,
清水區,土地,三田段373地號,22.98,都市：其他:農業區,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,556000,24195,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTKKHKGFFB18DA,0.0,0.0,0.0,無,005
清水區,房地(土地+建物),臺中市清水區海濱路３８７之２７號,106.0,都市：其他:農業區,,,1140210,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740404,136.49,5,3,3,有,無,2600000,19049,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLTKKHKGFFB98DA,136.49,0.0,0.0,無,
東勢區,土地,高簡段651-1地號,43.07,住,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,650000,15092,,0.0,0,,RPPNMLTKKHKGFGB28DA,0.0,0.0,0.0,無,
東勢區,土地,高簡段657-4地號,14.35,住,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,650000,45296,,0.0,0,,RPQNMLTKKHKGFGB38DA,0.0,0.0,0.0,無,
東勢區,土地,大茅埔段5212地號,400.0,,山坡地保育區,丙種建築用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,750,,0.0,0,未登記建物；,RPRNMLLLKHKGFGB77DA,0.0,0.0,0.0,無,006
霧峰區,土地,錦州段926-8地號,330.85,,,,1140204,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12777427,38620,,0.0,0,政府機關標讓售；,RPTNMLRKKHKGFIB68DA,0.0,0.0,0.0,無,
龍井區,房地(土地+建物),臺中市龍井區新興路２９號五樓之４５,5.08,,鄉村區,乙種建築用地,1140209,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770801,20.189999999999998,1,0,1,有,有,1760000,87172,,0.0,0,,RPWNMLLKKHKGFKB58DA,13.18,0.0,1.67,無,007
東區,房地(土地+建物)+車位,臺中市東區一心街２４１號五樓之五,14.1,都市：其他:第二之一種商業區,,,1140207,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020205,104.06,3,2,2,有,有,11200000,107630,坡道機械,11.25,0,,RPSNMLTKKHKGFAB97DA,57.33,0.0,6.95,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩七街５２６號二樓之５,6.16,商,,,1140203,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101029,74.57,1,1,1,有,有,13500000,192545,坡道機械,9.65,1000000,,RPRPMLNJKHKGFCB57DA,37.09,0.0,5.01,有,008
南屯區,車位,臺中市南屯區楓樹六街１６６之１號等公共設施,1.37,都市：其他:第二之二種住宅區,,,1140206,土地1建物1車位1,,,其他,,,,36.0,0,0,0,無,有,1550000,,坡道平面,36.0,1550000,僅車位交易；,RPVNMLLKKHKGFCB67DA,0.0,0.0,0.0,有,009
西屯區,房地(土地+建物)+車位,臺中市西屯區大容東街８８號十四樓之５,14.2,住,,,1140209,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960320,153.98,3,2,2,有,有,22400000,145473,坡道平面,24.43,0,,RPVOMLSKKHKGFCB48DA,79.26,3.6,10.16,有,
西屯區,房地(土地+建物),臺中市西屯區長安路二段７１巷６３弄３３號五樓,46.25,住,,,1140212,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830527,146.02,4,2,2,有,無,5800000,39721,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKLKHKGFCB47DA,103.69,3.1,10.71,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區大英街３１１之３號,17.64,住,,,1140213,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821020,110.66,2,1,2,有,有,8000000,72294,坡道機械,0.0,0,,RPPOMLKLKHKGFCB17DA,70.32,11.35,0.0,有,
神岡區,土地,六張段64-2地號,17.92,,特定農業區,水利用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,604979,33760,,0.0,0,政府機關標讓售；,RPRNMLNKKHKGFDB57DA,0.0,0.0,0.0,無,
大甲區,土地,文化段743地號,33.07,,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,13607,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPWNMLOKKHKGFEB28DA,0.0,0.0,0.0,無,010
外埔區,土地,水美南段625地號,7.26,,山坡地保育區,農牧用地,1140215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000,2066,,0.0,0,,RPQNMLPKKHKGFEB77DA,0.0,0.0,0.0,無,011
清水區,土地,朝興段1033地號,21.0,都市：其他:第四種住宅區,,,1140218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,76190,,0.0,0,畸零地或有合併使用效益；,RPOPMLTKKHKGFFB28DA,0.0,0.0,0.0,無,
東勢區,土地,大茅埔段5213地號,7640.0,,山坡地保育區,農牧用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4800000,628,,0.0,0,,RPSNMLLLKHKGFGB87DA,0.0,0.0,0.0,無,
霧峰區,房地(土地+建物),臺中市霧峰區新埔路２３６號五樓之３,20.17,,鄉村區,乙種建築用地,1140213,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070427,85.23,2,2,1,有,有,6500000,76264,,0.0,0,,RPOOMLKLKHKGFIB67DA,51.29,0.0,4.93,有,012
南區,房地(土地+建物)+車位,臺中市南區復興北路５２８號九樓之１,16.14,都市：其他:第三種住宅區。,,,1140202,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130916,155.63,3,2,2,有,有,22880000,147015,坡道平面,32.73,0,,RPPNMLSJKHKGFAB47DA,75.16,0.0,5.92,有,013
西區,房地(土地+建物),臺中市西區向上路一段２８９巷９號８樓之１１,4.55,都市：其他:第二種住宅區,,,1140213,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821124,28.769999999999996,1,1,1,有,有,1850000,64303,,0.0,0,,RPTOMLTKKHKGFAB18DA,15.43,0.0,3.81,有,014
東區,土地,東勢子段62地號,12.4,都市：其他:第三種住宅區。,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,129032,,0.0,0,畸零地或有合併使用效益；,RPROMLKLKHKGFAB17DA,0.0,0.0,0.0,無,
