編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLLKKHKGFBB96DA,31,26.76,住家用,鋼筋混凝土造,82年10月14日,十三層,三層 陽台,全筆移轉
RPOOMLLKKHKGFBB96DA,31,19.13,共用部份,鋼筋混凝土造,82年10月14日,十三層,,持分移轉
RPRNMLPJKHKGFBB47DA,54,76.28,工業用,鋼筋混凝土加強磚造,59年10月20日,一層,一層,全筆移轉
RPOQMLNKKHKGFCB47DA,1,29.11,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、排煙室、樓梯間、一般昇降機、緊急昇降機、污水機房、消防機房、水箱、車道、停車空間、緊急發電機室、防災中心、台電配電室、消防中繼機房、電信機房、機房、機車停車區、梯廳、梯間、廁所、電梯機房、垃圾集中室、公共服務空間、無障礙廁所等二十四項。,鋼筋混凝土造,113年7月4日,二十四層,,持分移轉
RPOOMLQJKHKGFJB18DA,32,.52,守衛室,鋼筋混凝土造,81年8月25日,十二層,地下層,持分移轉
RPOOMLQJKHKGFJB18DA,32,103.40,集合住宅,鋼筋混凝土造,81年8月25日,十二層,七層 陽台 花台,全筆移轉
RPOOMLQJKHKGFJB18DA,32,8.44,梯間、水箱、機械室、門廳、人行道,鋼筋混凝土造,81年8月25日,十二層,,持分移轉
RPOOMLQJKHKGFJB18DA,32,21.00,梯間、水箱、機械室、門廳、人行道,鋼筋混凝土造,81年8月25日,十二層,,持分移轉
RPQNMLPKKHKGFBB47DA,20,34.70,住家用,ＲＣ造,93年9月3日,十四層,四層 陽台 雨遮,持分移轉
RPQNMLPKKHKGFBB47DA,20,12.36,共用部份,ＲＣ造,93年9月3日,十四層,,持分移轉
RPPNMLSKKHKGFJB58EA,35,135.34,集合住宅,鋼筋混凝土造,78年9月15日,七層,二層 陽台,全筆移轉
RPPNMLSKKHKGFJB58EA,35,27.31,防空避難室、停車空間,鋼筋混凝土造,78年9月15日,七層,地下層,持分移轉
RPPNMLSKKHKGFJB58EA,35,4.51,集合住宅、門廳,鋼筋混凝土造,78年9月15日,七層,一層 平台,持分移轉
RPPNMLSKKHKGFJB58EA,35,4.21,梯間、機械室、水塔,鋼筋混凝土造,78年9月15日,七層,,持分移轉
RPPNMLSKKHKGFJB58EA,35,.97,水塔、機械室、梯間,鋼筋混凝土造,78年9月15日,七層,,持分移轉
RPPNMLSKKHKGFJB58EA,35,.80,水塔、機械室、梯間,鋼筋混凝土造,78年9月15日,七層,,持分移轉
RPPNMLSKKHKGFJB58EA,35,.80,水塔、機械室、梯間,鋼筋混凝土造,78年9月15日,七層,,持分移轉
RPSNMLSKKHKGFJB78DA,49,30.00,自用農舍,磚造,65年6月12日,一層,一層,全筆移轉
RPPOMLKLKHKGFCB17DA,31,28.99,共有部份,鋼筋混凝土造,82年10月20日,八層,,持分移轉
RPPOMLKLKHKGFCB17DA,31,81.67,住家用,鋼筋混凝土造,82年10月20日,八層,一層 平台 花台,全筆移轉
RPSNMLTKKHKGFAB97DA,12,64.28,集合住宅,鋼筋混凝土造,102年2月5日,十層,五層 陽台,全筆移轉
RPSNMLTKKHKGFAB97DA,12,27.75,本共有部份係依使用執照之建築概要表記載項目有：台電受電室、防空避難室兼停車空間、管委會使用空間、公共遊憩設施空間、開放空間、門廳、梯間、水錶箱、機房、機械室及水箱、管委會健身室、頂蓋型廣場式開放空間、管理員室等１４項,鋼筋混凝土造,102年2月5日,十層,,持分移轉
RPSNMLTKKHKGFAB97DA,12,12.03,本共有部份係依使用執照之建築概要表記載項目有：梯廳及梯間等２項,鋼筋混凝土造,102年2月5日,十層,,持分移轉
RPTNMLKLKHKGFCB47DA,31,117.50,住家用,鋼筋混凝土造,83年5月27日,五層,五層 陽台 花台,全筆移轉
RPTNMLKLKHKGFCB47DA,31,28.52,共有部份,鋼筋混凝土造,83年5月27日,五層,,持分移轉
RPQOMLSKKHKGFCB97DA,1,55.56,辦公室,鋼骨鋼筋混凝土造、鋼筋混凝土造,113年1月29日,三十一層,五層 陽台 雨遮,全筆移轉
RPQOMLSKKHKGFCB97DA,1,21.12,本共有部分係依使用執照之建築物概要表記載項目有：梯廳、排煙室、機車汽車坡道、管委會使用空間、防災中心、公益設施、樓梯間、昇降機、緊急昇降機、無障礙昇降機、外廊、消防中繼機房、機械室、水箱等１４項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,113年1月29日,三十一層,,持分移轉
RPQOMLSKKHKGFCB97DA,1,41.02,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、汽車坡道、水箱、汽車機車坡道、消防機械室、梯廳、樓梯間、排煙室、昇降機、緊急昇降機、無障礙昇降機、防空避難室兼停車空間、機械室、電信室、機車停車空間、電錶箱區、台電配電室、發電機室、受電箱區、垃圾集中室、消防中繼機房等２１項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,113年1月29日,三十一層,,持分移轉
RPWNMLLKKHKGFKB58DA,37,14.85,住家用,鋼筋混凝土造,77年8月1日,五層,五層 陽台,全筆移轉
RPWNMLLKKHKGFKB58DA,37,2.89,走廊,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPWNMLLKKHKGFKB58DA,37,2.45,突出物、梯間、人行道、避難室,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPPNMLSJKHKGFAB47DA,,81.08,集合住宅,鋼筋混凝土造,113年9月16日,十五層,九層 陽台,全筆移轉
RPPNMLSJKHKGFAB47DA,,74.55,本共有部份係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、停車空間、消防機房兼污水機房、水箱、丙梯、排煙室、一般昇降機、電信室、管委會空間、甲梯（戶外安全梯）、乙梯（特別安全梯）、緊急昇降機、梯廳、水錶室、機械室、台電配電室、緊急發電機室等１７項,鋼筋混凝土造,113年9月16日,十五層,,持分移轉
RPVPMLTKKHKGFFB98DA,40,136.49,住家用,加強磚造,74年4月4日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLKLKHKGFBB96DA,11,34.48,住家用,鋼筋混凝土造,103年4月23日,十二層,七層 陽台 雨遮,持分移轉
RPOOMLKLKHKGFBB96DA,11,21.74,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，梯間，梯廳，消防機房，水箱，停車空間，發電機房，台電配電室，電信機房，門廳，公共服務空間，開放空間，機房等１３項,鋼筋混凝土造,103年4月23日,十二層,,持分移轉
RPSQMLKLKHKGFBB57DA,40,6.22,共用部份,鋼筋混凝土造,73年8月30日,七層,,持分移轉
RPSQMLKLKHKGFBB57DA,40,45.96,住家用,鋼筋混凝土造,73年8月30日,七層,四層 陽台,全筆移轉
RPPOMLSKKHKGFCB87DA,29,13.08,住家用,鋼筋混凝土造,84年11月10日,六層,六層,全筆移轉
RPPOMLSKKHKGFCB87DA,29,4.53,共用部份,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPPOMLSKKHKGFCB87DA,29,.79,共用部份,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPPOMLSKKHKGFCB87DA,29,1.57,共用部份,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPRPMLNJKHKGFCB57DA,3,42.10,集合住宅,鋼筋混凝土造,110年10月29日,二十四層,二層 陽台,全筆移轉
RPRPMLNJKHKGFCB57DA,3,19.62,本共有部分係依使用執照之建築物概要表記載項目有：梯廳（排煙室）、電梯、緊急昇降電梯（行動不便電梯）、停車空間、消防機房、污水機房、水箱、車道、樓梯間、管道間、泳池水箱、電信室、消防中繼機房、發電機室、機械室、消防中繼水箱、防空避難室兼汽．機停車空間、台電配電室、垃圾集中室、受電箱區、電錶位置等２１項。,鋼筋混凝土造,110年10月29日,二十四層,,持分移轉
