編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOJKHKGFDB57DA,四月段,1091.90,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09050000
RPOOMLLKKHKGFBB96DA,邱厝子段,4.40,都市：其他:第三種住宅區。,10000,81,持分移轉,00210090
RPRNMLPJKHKGFBB47DA,長安段,100.00,都市：其他:第二種住宅區,1,1,全筆移轉,06850000
RPRNMLPJKHKGFBB47DA,長安段,79.00,都市：其他:第二種住宅區,1,1,全筆移轉,06860000
RPRNMLPJKHKGFBB47DA,長安段,106.00,都市：其他:第二種住宅區,1,1,全筆移轉,06870000
RPXQMLRKKHKGFFB09DA,沙工段,2.46,都市：其他:道路用地,240,3,持分移轉,04260000
RPXQMLRKKHKGFFB09DA,沙工段,12.57,都市：其他:道路用地,240,3,持分移轉,04360000
RPXQMLRKKHKGFFB09DA,沙工段,12.68,都市：其他:道路用地,240,3,持分移轉,04670000
RPQNMLTKKHKGFAB77DA,下橋子頭段,5.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02220098
SPQNMLTKKHKGFAB87DA,下橋子頭段,6.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02220100
RPQNMLKLKHKGFDB27DA,四月段,243.34,非都市：特定農業區 ; 非都市編定：農牧用地,9816,485,持分移轉,00150000
RPOOMLQJKHKGFJB18DA,樹孝段,5.65,都市：其他:住宅區,100000,842,持分移轉,16900000
RPOOMLQJKHKGFJB18DA,樹孝段,.61,都市：其他:住宅區,100000,842,持分移轉,16940000
RPOOMLQJKHKGFJB18DA,樹孝段,8.79,都市：其他:住宅區,100000,842,持分移轉,17010000
RPQNMLPKKHKGFBB47DA,新賴厝三段,4.73,都市：其他:第一種商業區,1000000,1286,持分移轉,05000000
RPTNMLRKKHKGFIB68DA,錦州段,3.38,,1,1,全筆移轉,09250008
RPTNMLRKKHKGFIB68DA,錦州段,12.97,,1,1,全筆移轉,09260006
RPTNMLRKKHKGFIB68DA,錦州段,227.69,,1,1,全筆移轉,09260008
RPTNMLRKKHKGFIB68DA,錦州段,78.36,,1,1,全筆移轉,09290003
RPTNMLRKKHKGFIB68DA,錦州段,8.45,,1,1,全筆移轉,09290004
RPPNMLSKKHKGFJB58EA,番子路段,31.14,都市：其他:住宅區,10000,208,持分移轉,01870000
RPSNMLSKKHKGFJB78DA,福利段,710.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03670000
RPRNMLOKKHKGFDB67DA,福庄段,330.64,非都市：特定農業區 ; 非都市編定：農牧用地,9600,466,持分移轉,12030000
RPPNMLTKKHKGFGB28DA,高簡段,43.07,都市：其他:住宅區,1,1,全筆移轉,06510001
RPRNMLLLKHKGFGB77DA,大茅埔段,400.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,52120000
RPQNMLTKKHKGFGB38DA,高簡段,14.35,都市：其他:住宅區,1,1,全筆移轉,06570004
RPPOMLKLKHKGFCB17DA,大新段,17.64,都市：其他:第二種住宅區,10000,200,持分移轉,07550000
RPRNMLNKKHKGFDB57DA,六張段,17.92,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,00640002
RPSNMLTKKHKGFAB97DA,旱新段,14.10,都市：其他:第二之一種商業區,10000,28,持分移轉,08090000
RPTNMLKLKHKGFCB47DA,下石碑段,26.50,都市：其他:第二種住宅區,4,1,持分移轉,15160000
RPTNMLKLKHKGFCB47DA,下石碑段,19.75,都市：其他:第二種住宅區,4,1,持分移轉,15270000
RPQNMLPKKHKGFEB77DA,水美南段,7.26,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06250000
RPWNMLOKKHKGFEB28DA,文化段,33.07,都市：其他:公園用地,100000,1301,持分移轉,07430000
RPQOMLSKKHKGFCB97DA,豐功段,6.88,都市：其他:第四種商業區,100000,156,持分移轉,02520000
RPSNMLLLKHKGFGB87DA,大茅埔段,7640.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,52130000
RPWNMLLKKHKGFKB58DA,新東段,5.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,2459,5,持分移轉,04210000
RPOPMLTKKHKGFFB28DA,朝興段,21.00,都市：其他:第四種住宅區,1,1,全筆移轉,10330000
RPPNMLSJKHKGFAB47DA,番婆段,16.14,都市：其他:第三種住宅區。,10000,129,持分移轉,03770000
RPVPMLTKKHKGFFB98DA,海濱段,106.00,都市：其他:農業區,1,1,全筆移轉,11630006
RPOOMLKLKHKGFBB96DA,太和段,7.75,都市：其他:第三種住宅區。,20000,75,持分移轉,00860000
RPSQMLKLKHKGFBB57DA,東峰段,7.98,都市：其他:第一種商業區,10000,85,持分移轉,02080000
RPOOMLTKKHKGFFB18DA,三田段,22.98,都市：其他:農業區,480,3,持分移轉,03730000
RPPOMLSKKHKGFCB87DA,何厝段,2.62,都市：其他:市場用地,1000000,1181,持分移轉,02610010
RPRPMLNJKHKGFCB57DA,惠禮段,6.16,都市：其他:第二種商業區,100000,170,持分移轉,00650000
RPROMLKLKHKGFAB17DA,東勢子段,12.40,都市：其他:第三種住宅區。,1,1,全筆移轉,00620000
RPQNMLKLKHKGFCB17DA,協仁段,3.55,都市：其他:農業區,80000,129,持分移轉,03470002
RPVOMLSKKHKGFCB48DA,大墩段,14.20,都市：其他:第二種住宅區,10000,92,持分移轉,04450000
RPOOMLQJKHKGFFB77DA,忠孝段,65.00,都市：其他:第四種住宅區,1,1,全筆移轉,00520003
RPTOMLKLKHKGFCB57DA,廣明段,4.87,都市：其他:第二種住宅區,100000,86,持分移轉,06750000
