鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北屯區,房地(土地+建物)+車位,臺中市北屯區天津路與北平路與興安路街口,19.69,商,,,1140121,土地1建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.51,3,2,2,有,無,28600000,165505,坡道平面,25.79,2000000,,RPTNMLLLJHKGFBB37CB,德鑫一璟,H棟17號,
北屯區,房地(土地+建物)+車位,臺中市北屯區太和東街與太和五街口,24.7,住,,,1140122,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.56,2,2,2,有,無,13600000,138822,坡道平面,35.0,2000000,,RPXNMLMLJHKGFBB87CB,知哲永樂,C棟2F號,
后里區,房地(土地+建物)+車位,臺中市后里區水門路18號旁,24.65,,鄉村區,乙種建築用地,1140121,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.61,2,2,2,有,無,8000000,110272,一樓平面,14.4,1140000,,RPXNMLMLJHKGFDB08CB,銘佳最美,1棟4C號,
北區,房地(土地+建物)+車位,臺中市北區英才路、博館二街117巷,26.11,住,,,1140122,土地2建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,131.76,2,2,2,有,無,17970000,168174,坡道平面,38.88,2350000,,RPOOMLNLJHKGFBB17CB,七月埕,A2棟4號,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德九路,39.05,住,,,1140123,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.07,2,2,2,有,無,38800000,233091,坡道平面,69.92,5200000,因車位合約面積為34.959平方公尺，故造成共有部分面積含車位m2及車位面積因系統要求小數點第二位進位,RPPOMLNLJHKGFBB27CB,有愛臻邸,7C號,
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十一街與文心南五路三段,45.0,住,,,1140121,土地1建物1車位1,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.41,3,2,2,有,無,37100000,224132,坡道平面,24.26,2550000,,RPSNMLOLJHKGFCB67CB,精銳ABBA,3F-A號,
南屯區,房地(土地+建物)+車位,臺中市南屯區春安路與春安一街,12.42,住,,,1140121,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.63,2,2,2,有,無,14010000,129046,坡道平面,26.4,1850000,,RPTNMLOLJHKGFCB77CB,睦唐與樹,B1棟9F號,
西屯區,房地(土地+建物)+車位,臺中市西屯區逢甲路73號,7.23,商,,,1140121,土地97建物1車位1,十五層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,81.38,1,1,1,有,無,15430000,234006,坡道機械,22.92,1750000,此戶為露台戶,RPVNMLOLJHKGFCB97CB,碧城FJ TOWER,F棟15號,
西屯區,房地(土地+建物)+車位,臺中市西屯區逢甲路73號,9.25,商,,,1140123,土地97建物1車位1,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,102.76,2,1,1,有,無,20580000,239506,坡道平面,27.48,2550000,,RPWNMLOLJHKGFCB08CB,碧城FJ TOWER,F棟19號,
