編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLJHKGFBB37CB,中清段,11.78,都市：住,100000,2772,持分移轉,02380000
RPPNMLPLJHKGFBB37CB,中清段,3.38,都市：住,100000,2772,持分移轉,02370003
RPXNMLMLJHKGFDB08CB,四塊庄段,24.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,24151,1772,持分移轉,01940000
RPQNMLPLJHKGFCB57CB,上石碑段,.07,都市：住,100000,888,持分移轉,08350000
RPQNMLPLJHKGFCB57CB,上石碑段,.78,都市：住,100000,888,持分移轉,08350003
RPQNMLPLJHKGFCB57CB,上石碑段,.83,都市：住,100000,888,持分移轉,08350004
RPQNMLPLJHKGFCB57CB,上石碑段,.76,都市：住,100000,888,持分移轉,08350007
RPQNMLPLJHKGFCB57CB,上石碑段,1.70,都市：住,100000,888,持分移轉,08350011
RPQNMLPLJHKGFCB57CB,上石碑段,.83,都市：住,100000,888,持分移轉,08360023
RPQNMLPLJHKGFCB57CB,上石碑段,4.86,都市：住,100000,888,持分移轉,08370003
RPQNMLPLJHKGFCB57CB,上石碑段,.04,都市：住,100000,888,持分移轉,08370004
RPQNMLPLJHKGFCB57CB,上石碑段,4.15,都市：住,100000,888,持分移轉,08420000
RPPNMLPLJHKGFDB57CB,大仁段,25.86,都市：住,100000,3112,持分移轉,04860000
RPPNMLQLJHKGFCB57CB,惠禮段,19.07,都市：商,100000,1129,持分移轉,00700000
RPPNMLRLJHKGFCB67CB,建功段,14.60,都市：住,10000,19,持分移轉,00070001
RPPNMLLJKHKGFCB96CB,豐業段,24.61,都市：住,100000,994,持分移轉,01340000
RPPNMLMJKHKGFBB96CB,仁平段,34.25,都市：住,10000,72,持分移轉,04210000
RPSNMLNJKHKGFBB37CB,南興段,12.75,都市：住,100000,809,持分移轉,00230000
RPSNMLNJKHKGFBB37CB,南興段,24.13,都市：住,100000,809,持分移轉,00250000
RPPNMLNJKHKGFCB17CB,文商段,6.45,都市：商,100000,323,持分移轉,00390000
RPPNMLNJKHKGFCB17CB,文商段,6.42,都市：商,100000,323,持分移轉,00400000
RPQNMLNJKHKGFCB27CB,永富段,44.60,都市：住,100000,664,持分移轉,03090000
RPXNMLNJKHKGFFB28CB,福至段,31.17,都市：住,100000,372,持分移轉,06360000
RPOOMLNJKHKGFFB47CB,福至段,31.17,都市：住,100000,372,持分移轉,06360000
RPPOMLNJKHKGFFB57CB,福至段,31.17,都市：住,100000,372,持分移轉,06360000
RPPOMLNLJHKGFBB27CB,美和段,39.05,都市：住,100000,1532,持分移轉,02620000
RPOOMLNLJHKGFBB17CB,乾溝子段,23.80,都市：住,10000,349,持分移轉,01680017
RPOOMLNLJHKGFBB17CB,乾溝子段,2.30,都市：住,10000,349,持分移轉,01680088
RPPNMLOJKHKGFBB17CB,軍和段,162.91,都市：住,1,1,全筆移轉,00550000
RPQNMLPJKHKGFBB37CB,南興段,8.82,都市：住,100000,560,持分移轉,00230000
RPQNMLPJKHKGFBB37CB,南興段,16.70,都市：住,100000,560,持分移轉,00250000
RPXNMLMLJHKGFBB87CB,太和段,24.70,都市：住,10000000,232943,持分移轉,00980000
RPTNMLLLJHKGFBB37CB,東山段,19.69,都市：商,100000,565,持分移轉,02280000
RPRNMLPJKHKGFBB47CB,南興段,8.82,都市：住,100000,560,持分移轉,00230000
RPRNMLPJKHKGFBB47CB,南興段,16.70,都市：住,100000,560,持分移轉,00250000
RPUNMLPJKHKGFBB77CB,榮德段,42.03,都市：住,10000,142,持分移轉,01200000
RPVNMLPJKHKGFBB87CB,榮德段,42.03,都市：住,10000,142,持分移轉,01200000
RPPNMLPJKHKGFCB37CB,惠民段,13.72,都市：其他:第六種新市政中心專用區,100000,342,持分移轉,00140000
RPQNMLPJKHKGFCB47CB,永富段,44.60,都市：住,100000,664,持分移轉,03090000
RPRNMLPJKHKGFCB57CB,鎮福段,34.61,都市：住,100000,988,持分移轉,00110000
RPSNMLPJKHKGFCB67CB,樂田段,17.99,都市：住,100000,949,持分移轉,00160000
RPSNMLPJKHKGFCB67CB,樂田段,4.12,都市：住,100000,949,持分移轉,00170000
RPSNMLPJKHKGFCB67CB,樂田段,12.46,都市：住,100000,949,持分移轉,00180000
RPWNMLPJKHKGFCB08CB,樂田段,17.40,都市：住,100000,918,持分移轉,00160000
RPWNMLPJKHKGFCB08CB,樂田段,3.98,都市：住,100000,918,持分移轉,00170000
RPWNMLPJKHKGFCB08CB,樂田段,12.05,都市：住,100000,918,持分移轉,00180000
RPQOMLPJKHKGFCB57CB,樂田段,13.42,都市：住,100000,708,持分移轉,00160000
RPQOMLPJKHKGFCB57CB,樂田段,3.07,都市：住,100000,708,持分移轉,00170000
RPQOMLPJKHKGFCB57CB,樂田段,9.30,都市：住,100000,708,持分移轉,00180000
RPQNMLPJKHKGFDB57CB,后寶段,22.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,388,持分移轉,09070000
RPQNMLQJKHKGFBB47CB,碧柳段,6.26,都市：住,100000,305,持分移轉,00090000
RPQNMLQJKHKGFBB47CB,碧柳段,6.96,都市：住,100000,305,持分移轉,00100000
RPRNMLQJKHKGFBB57CB,碧柳段,7.16,都市：住,100000,349,持分移轉,00090000
RPRNMLQJKHKGFBB57CB,碧柳段,7.97,都市：住,100000,349,持分移轉,00100000
RPSNMLQJKHKGFBB67CB,碧柳段,8.02,都市：住,100000,391,持分移轉,00090000
RPSNMLQJKHKGFBB67CB,碧柳段,8.93,都市：住,100000,391,持分移轉,00100000
RPVNMLOLJHKGFCB97CB,西屯段,.20,都市：商,10000,50,持分移轉,20150000
RPVNMLOLJHKGFCB97CB,西屯段,1.31,都市：商,10000,50,持分移轉,20150034
RPVNMLOLJHKGFCB97CB,西屯段,1.32,都市：商,10000,50,持分移轉,20150035
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150036
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150037
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150038
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150039
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150040
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150041
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150042
RPVNMLOLJHKGFCB97CB,西屯段,.09,都市：商,10000,50,持分移轉,20150043
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150044
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150045
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150046
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150047
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150048
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150049
RPVNMLOLJHKGFCB97CB,西屯段,.05,都市：商,10000,50,持分移轉,20150050
RPVNMLOLJHKGFCB97CB,西屯段,.06,都市：商,10000,50,持分移轉,20150051
RPVNMLOLJHKGFCB97CB,西屯段,.06,都市：商,10000,50,持分移轉,20150052
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150053
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150054
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150055
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150056
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150057
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150058
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150059
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150060
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150061
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150062
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150063
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150064
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150065
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150066
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150067
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150068
RPVNMLOLJHKGFCB97CB,西屯段,.04,都市：商,10000,50,持分移轉,20150069
RPVNMLOLJHKGFCB97CB,西屯段,.07,都市：商,10000,50,持分移轉,20150070
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150071
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150072
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150073
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150074
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150075
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150076
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150077
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150078
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150079
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150080
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150081
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150082
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150083
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150084
RPVNMLOLJHKGFCB97CB,西屯段,.03,都市：商,10000,50,持分移轉,20150085
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150086
RPVNMLOLJHKGFCB97CB,西屯段,.02,都市：商,10000,50,持分移轉,20150087
