鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北屯區,租賃房屋,臺中市北屯區文心路四段５０６號１９樓之６,9.89,住,,,1140121,土地1建物1車位0,十九層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040423,132.26,3,2,2,有,有,有,36000,272,,0.0,0,租金總額含管理費；續租案件；,RPTNMLLLJHKGFBB47CC,整棟(戶)出租,有,1140210~1150209,有,冷氣、熱水器、洗衣機、電視機、冰箱,
北屯區,車位,臺中市北屯區文心路四段２７８號等公共設施B２-３２９,0.0,,,,1140121,土地0建物0車位1,,,其他,,,,27.23,0,0,0,無,無,無,3000,,坡道平面,27.23,3000,其他清潔保養費；,RPWOMLLLJHKGFBB87CC,,,1140201~1150131,,,
太平區,租賃房屋,臺中市太平區樹孝路４５７巷１７號,0.0,,,,1140121,土地0建物1車位0,全,4,透天厝,住宅、停車空間、梯間,鋼筋混凝土造,0900402,186.08,5,2,3,有,無,無,15300,82,,0.0,0,社會住宅包租代管公會版4期405-1續租案件；,RPPNMLLLJHKGFJB87CC,整棟(戶)出租,無,1140205~1150204,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
太平區,租賃房屋,臺中市太平區樹孝路４５７巷１９號,0.0,,,,1140121,土地0建物1車位0,全,4,透天厝,住宅、停車空間、梯間,鋼筋混凝土造,0900402,219.61,6,2,5,有,無,無,15700,71,,0.0,0,社會住宅包租代管公會版4期399-1續租案件；,RPTNMLLLJHKGFJB28CC,整棟(戶)出租,無,1140205~1150204,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋+車位,臺中市北屯區太原路三段３９１號八樓之１,0.0,,,,1140121,土地0建物1車位1,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120711,151.3,3,2,2,有,有,有,28000,222,坡道平面,29.59,1000,社會住宅包租代管公會版4期386-1續租案件；,RPPNMLMLJHKGFBB17CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋,臺中市北屯區文心路四段６７２號５樓之３７,0.0,,,,1140121,土地0建物1車位0,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841124,43.44,1,0,1,有,有,有,11800,272,,0.0,0,,RPRNMLMLJHKGFBB37CC,獨立套房,有,1140121~1150120,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺中市北區太平北街８號３樓之１,0.0,,,,1140121,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790312,31.4,1,0,1,有,有,有,7200,229,,0.0,0,台中市政府包租代管計畫。管理費800元由出租人負擔。,RPTNMLMLJHKGFBB57CC,獨立套房,無,1140222~1150221,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北屯區,租賃房屋,臺中市北屯區文心路四段６７２號１２樓之１５,0.0,,,,1140122,土地0建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841124,37.61,1,0,1,有,有,有,6000,160,,0.0,0,社會住宅包租代管公會版41期246續租案件；,RPSOMLMLJHKGFBB57CC,獨立套房,有,1140301~1150228,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
北屯區,租賃房屋,臺中市北屯區遼寧路一段３７７號十一樓,0.0,,,,1140122,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890302,156.24,4,2,2,有,有,有,17200,110,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPRPMLMLJHKGFBB57CC,整棟(戶)出租,有,1140201~1150131,有,熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
