編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLMLJHKGFCB27CC,6,45.74,集合住宅,鋼筋混凝土造,107年11月26日,十五層,,
RPOOMLMLJHKGFCB27CC,6,13.06,本共有部分係依使用執照之建築概要表記載項目有：停車空間、車道、梯廳、一般安全梯、昇降機、進氣管道、排氣管道、消防機房、雨水機房、Ａ＋Ｂ梯水箱、電信機房、防空避難室兼停車空間、台電配電室、發電機室、洗衣間、管委會使用空間、門廳、排煙室、機車停車區、走廊等２０項。,鋼筋混凝土造,107年11月26日,十五層,,
RPOOMLMLJHKGFCB27CC,6,11.02,本共有部分係依使用執照之建築概要表記載項目有：排煙室、梯廳、特別安全梯、昇降機、緊急升降機、走廊、戶外安全梯、樓梯間、機械室、水箱等１０項。,鋼筋混凝土造,107年11月26日,十五層,,
RPQOMLMLJHKGFCB47CC,2,20.90,寄宿舍,鋼筋混凝土造,111年7月28日,七層,,
RPQOMLMLJHKGFCB47CC,2,14.24,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、台電配電室、消防及發電機房、電信室、水箱、樓梯間、無障礙昇降機、梯廳、辦公室、管委會使用空間、親子廁所、無障礙廁所、資源回收空間、機房、機房＋管道間、走廊、車道、管道間等十八項。,鋼筋混凝土造,111年7月28日,七層,,
RPRPMLMLJHKGFBB57CC,25,106.03,住家用,鋼筋混凝土造,89年3月2日,十四層,,
RPRPMLMLJHKGFBB57CC,25,12.70,共用部份,鋼筋混凝土造,89年3月2日,十四層,,
RPRPMLMLJHKGFBB57CC,25,37.51,共用部份,鋼筋混凝土造,89年3月2日,十四層,,
RPTNMLMLJHKGFBB57CC,35,25.16,住家用,鋼筋混凝土造,79年3月12日,七層,,
RPTNMLMLJHKGFBB57CC,35,6.24,共用部份,鋼筋混凝土造,79年3月12日,七層,,
RPSOMLMLJHKGFBB57CC,29,24.44,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPSOMLMLJHKGFBB57CC,29,13.17,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPRNMLMLJHKGFBB37CC,29,28.28,住家用,鋼筋混凝土造,84年11月24日,二十四層,,
RPRNMLMLJHKGFBB37CC,29,15.16,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPQOMLNLJHKGFBB47CC,6,39.42,集合住宅,鋼筋混凝土造,107年11月30日,十五層,,
RPQOMLNLJHKGFBB47CC,6,36.22,本共有部分係依使用執照之建築概要表記載項目有：停車空間，一般安全梯，排煙室，緊急用昇降機，消防機房，污水機房，昇降機，水箱，機房，電信機房，防空避難室兼停車空間，台電配電室，緊急發電機室，戶外安全梯，管理員室，管委會使用空間，環保資源室，梯廳，梯間，機械室，水錶室等２１項,鋼筋混凝土造,107年11月30日,十五層,,
RPVNMLNLJHKGFBB87CC,4,84.02,集合住宅,鋼筋混凝土造,109年8月20日,十五層,,
