編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLLJHKGFBB47CC,東峰段,9.89,都市：住,,,,00040000
RPUOMLNLJHKGFBB87CC,東新段,4.41,都市：住,,,,01530000
RPPNMLQLJHKGFBB57CC,碧柳段,21.10,都市：住,,,,00680000
RPRNMLNJKHKGFCB47CC,大新段,25.03,都市：住,,,,03480000
RPWNMLNJKHKGFCB97CC,惠安段,6.34,都市：商,,,,01680000
RPQOMLOJKHKGFBB47CC,中興段,7.78,都市：住,,,,06220000
RPXNMLOJKHKGFCB18CC,民安段,16.89,都市：住,,,,15380000
RPROMLOJKHKGFIB28CC,新高鐵段,12.40,都市：商,,,,00890000
RPVNMLPJKHKGFCB08CC,楓溪段,1349.31,都市：住,,,,04240000
RPOOMLQJKHKGFBB47CC,文正段,3.25,都市：住,,,,00120020
RPUNMLRJKHKGFCB18CC,上石碑段,13.47,都市：住,,,,26800000
RPUNMLRJKHKGFCB18CC,上石碑段,.23,都市：住,,,,26930001
RPUNMLRJKHKGFCB18CC,上石碑段,.60,都市：住,,,,26790002
RPUNMLRJKHKGFCB18CC,上石碑段,3.25,都市：住,,,,26780000
RPUNMLRJKHKGFCB18CC,上石碑段,.01,都市：住,,,,26730001
RPUNMLRJKHKGFCB18CC,上石碑段,.19,都市：住,,,,26710016
RPTNMLLKKHKGFCB57CC,寶文段,24.80,都市：住,,,,00720021
RPWNMLLKKHKGFCB87CC,寶文段,24.80,都市：住,,,,00720021
RPOOMLLKKHKGFCB17CC,寶文段,24.80,都市：住,,,,00720021
RPTOMLMKKHKGFBB67CC,邱厝子段,12.41,都市：住,,,,00200000
RPXOMLMKKHKGFCB18CC,福安段,15.49,都市：住,,,,00080001
RPVOMLMKKHKGFCB97CC,惠民段,19.75,都市：其他:第五種新市政中心專用區,,,,01380000
RPPPMLMKKHKGFCB47CC,上石碑段,82.45,都市：住,,,,07680000
RPUNMLSKKHKGFCB38CC,國安段,11.57,都市：住,,,,05930489
RPXNMLKLKHKGFCB97CC,大新段,10.14,都市：商,,,,03470000
