編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLNLJHKGFBB87CC,坡道平面,2500,23.87,地下三樓
RPOOMLNLJHKGFBB27CC,坡道平面,0,27.23,地下三樓
RPPNMLMLJHKGFBB17CC,坡道平面,1000,29.59,地下二樓
RPWOMLLLJHKGFBB87CC,坡道平面,3000,27.23,地下二樓
RPXPMLNLJHKGFBB28CC,坡道平面,0,27.60,地下二樓
RPQPMLNLJHKGFBB57CC,坡道平面,0,23.87,地下二樓
RPQPMLNLJHKGFCB67CC,坡道平面,1700,37.24,地下二樓
RPSNMLOLJHKGFBB67CC,坡道平面,0,24.59,地下三樓
RPVOMLOLJHKGFBB08CC,坡道平面,0,33.62,地下二樓
RPRNMLQLJHKGFCB87CC,坡道平面,0,26.94,地下二樓
RPQOMLNJKHKGFBB37CC,坡道平面,0,27.60,地下三樓
RPRNMLNJKHKGFCB47CC,坡道平面,0,,地下二樓
RPSOMLNJKHKGFBB57CC,坡道機械,2500,13.62,地下四樓
RPSPMLOLJHKGFCB97CC,坡道平面,0,22.28,地下三樓
RPUOMLNJKHKGFBB77CC,坡道平面,0,30.89,地下二樓
RPSOMLNJKHKGFCB67CC,坡道平面,2500,35.91,地下四樓
RPWNMLNJKHKGFCB97CC,坡道機械,0,,地下一樓
RPQOMLOJKHKGFBB47CC,升降機械,0,,地下一樓
RPPNMLNJKHKGFJB97CC,坡道平面,2600,30.03,地下一樓
RPPNMLOJKHKGFHB87CC,坡道平面,0,30.32,地下二樓
RPPNMLOJKHKGFHB87CC,坡道平面,0,30.32,地下二樓
RPPNMLOJKHKGFHB87CC,坡道平面,0,30.32,地下二樓
RPPNMLOJKHKGFHB87CC,坡道平面,0,30.32,地下二樓
RPXNMLOJKHKGFCB18CC,坡道平面,0,33.46,地下二樓
RPQNMLPJKHKGFBB47CC,坡道機械,0,19.20,地下三樓
RPPOMLNJKHKGFBB27CC,坡道機械,2200,13.62,地下四樓
RPQNMLQJKHKGFBB57CC,坡道平面,3200,31.88,地下一樓
RPOOMLRJKHKGFBB57CC,坡道機械,0,16.88,地下二樓
RPUNMLRJKHKGFCB18CC,坡道平面,0,26.94,地下三樓
RPPPMLRJKHKGFCB87CC,坡道機械,2000,15.88,地下一樓
RPTNMLLKKHKGFCB57CC,坡道平面,3000,7.63,地下一樓
RPOOMLLKKHKGFCB17CC,坡道平面,3000,7.63,地下一樓
RPTNMLKKKHKGFIB08CC,坡道平面,0,26.36,地下一樓
RPTOMLMKKHKGFBB67CC,坡道機械,0,,地下二樓
RPXOMLMKKHKGFCB18CC,坡道機械,0,,地下二樓
RPVOMLMKKHKGFCB97CC,坡道平面,3500,17.63,地下五樓含以下
RPVOMLMKKHKGFCB97CC,坡道平面,3500,17.63,地下五樓含以下
RPPPMLMKKHKGFCB47CC,坡道機械,0,,地下二樓
RPPPMLMKKHKGFCB47CC,坡道機械,0,,地下二樓
RPXNMLNKKHKGFCB18CC,坡道平面,0,23.14,地下一樓
RPTNMLNKKHKGFBB67CC,坡道平面,3000,35.63,地下二樓
RPVOMLOKKHKGFBB08CC,坡道平面,2000,33.91,地下二樓
RPPNMLNKKHKGFIB97CC,坡道平面,3900,38.51,地下三樓
RPRNMLOKKHKGFBB57CC,一樓平面,0,43.42,一樓
RPPNMLPKKHKGFCB57CC,坡道平面,0,18.62,地下四樓
RPPNMLPKKHKGFCB57CC,坡道機械,0,9.05,地下五樓含以下
RPQNMLPKKHKGFCB67CC,坡道平面,0,18.62,地下四樓
RPQNMLPKKHKGFCB67CC,坡道機械,0,9.05,地下五樓含以下
RPWNMLRKKHKGFIB09CC,坡道平面,0,,地下一樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下三樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下三樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下三樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下四樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下四樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下四樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下四樓
RPXOMLRKKHKGFCB68CC,坡道平面,0,,地下四樓
RPUNMLSKKHKGFBB28CC,坡道機械,0,11.73,地下三樓
RPWPMLSKKHKGFBB68CC,坡道機械,255,18.18,地下二樓
RPUNMLSKKHKGFCB38CC,坡道機械,0,,地下四樓
RPRQMLTKKHKGFBB38CC,坡道平面,0,31.79,地下二樓
RPRQMLTKKHKGFBB38CC,坡道平面,0,31.79,地下二樓
RPQNMLKLKHKGFKB08CC,坡道平面,2500,30.04,地下一樓
