鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
信義區,房地(土地+建物),基隆市信義區深溪路５５巷５０號４樓之３,6.37,住,,,1140208,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,28.03,0,0,0,無,有,2800000,99893,,0.0,0,,RPWNMLTKKHKGFDC78DA,20.77,0.0,0.0,有,01
中正區,房地(土地+建物),基隆市中正區中正路３１８巷４３號５樓,28.48,住,,,1140209,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830726,99.67999999999999,5,3,3,有,無,3350000,33608,,0.0,0,本案為法院判決買回案,RPTOMLTKKHKGFDC58DA,87.17,0.0,9.9,無,02
中正區,房地(土地+建物)+車位,基隆市中正區中正路１６６之１號八樓之２,17.44,商,,,1140208,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120926,223.01,3,2,2,有,有,29480000,139150,坡道平面,28.4,2400000,土地價款11374000元建物價款15706000元車位價款2400000元,RPTOMLKKKHKGFDC67DA,111.21,4.87,14.82,有,
中正區,房地(土地+建物)+車位,基隆市中正區中正路１６６之１號八樓之３,15.14,商,,,1140208,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120926,197.12,3,2,2,有,有,25870000,139106,坡道平面,28.4,2400000,土地價款9857000元建物價款13613000元車位價款2400000元,RPUOMLKKKHKGFDC77DA,99.29,2.55,11.64,有,
中正區,房地(土地+建物),基隆市中正區調和街２９６號十四樓之２,25.06,住,,,1140204,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080212,106.7,2,2,1,有,有,7500000,70291,,0.0,0,,RPPOMLTKKHKGFDC18DA,62.06,5.13,7.32,有,03
中正區,車位,基隆市中正區義一路１２２之５號,0.17,商,,,1140217,土地1建物1車位1,一層,十四層,其他,商業用,鋼筋混凝土造,0910712,33.44,0,0,0,無,有,2200000,,坡道平面,33.44,2200000,僅車位交易；,RPOOMLKLKHKGFDC27DA,0.0,0.0,0.0,有,04
信義區,土地,東信段一小段46-157地號,1.0,,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,90000,0,,0.0,0,,RPPOMLLLKHKGFDC47DA,0.0,0.0,0.0,無,
安樂區,建物,基隆市安樂區基金二路１巷３８之１號２樓,0.0,,,,1140209,土地0建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870907,163.19,2,2,2,有,無,3750000,22979,,0.0,0,建物坐落地號：武嶺段871地號；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLKHKGFDC77DA,110.56,0.0,16.95,無,
七堵區,房地(土地+建物),基隆市七堵區百二街７１號３樓,42.86,住,,,1140211,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870305,99.7,3,2,2,有,無,3000000,30090,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLQJKHKGFDC77DA,82.04,0.0,10.15,無,
