編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOLKHKGFDC77DA,26,127.51,住家用,鋼筋混凝土造,87年9月7日,三層,二層 陽台,全筆移轉
RPQNMLOLKHKGFDC77DA,26,35.68,共用部份,鋼筋混凝土造,87年9月7日,三層,,持分移轉
RPPOMLTKKHKGFDC18DA,6,74.51,集合住宅,鋼筋混凝土造,108年2月12日,十四層,十四層 陽台 雨遮,全筆移轉
RPPOMLTKKHKGFDC18DA,6,13.53,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,,持分移轉
RPPOMLTKKHKGFDC18DA,6,18.66,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,,持分移轉
RPPOMLQJKHKGFDC77DA,27,92.19,住家用,鋼筋混凝土造,87年3月5日,五層,三層 陽台,全筆移轉
RPPOMLQJKHKGFDC77DA,27,7.51,共用部份,鋼筋混凝土造,87年3月5日,五層,,持分移轉
RPTOMLTKKHKGFDC58DA,31,97.07,住家用,鋼筋混凝土造,83年7月26日,五層,五層 陽台,全筆移轉
RPTOMLTKKHKGFDC58DA,31,2.61,共用部份,鋼筋混凝土造,83年7月26日,五層,,持分移轉
RPTOMLKKKHKGFDC67DA,1,130.90,集合住宅,鋼筋混凝土造,112年9月26日,二十九層,八層 陽台 雨遮,全筆移轉
RPTOMLKKKHKGFDC67DA,1,92.11,本建物共有部分之項目有：梯廳．排煙室．緊急昇降機．排煙室兼梯廳．管委會使用空間．陽台．雨遮．中繼消防機房．樓梯間．機械室．電梯機械室．水箱．防空避難室兼停車空間．車道．安全梯．防災中心．排風機房．垃圾儲藏室．垃圾車專用車位．台電配電場所．停車空間．機房．生活水箱．進風機房．機車停車空間．緊急發電室．污水機房．消防水池．消防泵浦機房等共２９項。,鋼筋混凝土造,112年9月26日,二十九層,,持分移轉
RPQOMLOLKHKGFDC87DA,53,75.35,住家用,加強磚造,60年11月29日,四層,三層,全筆移轉
RPQOMLOLKHKGFDC87DA,53,4.59,共用部份,加強磚造,60年11月29日,四層,,持分移轉
RPWNMLSKKHKGFDC68DA,,82.50,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPVNMLSKKHKGFDC58DA,49,55.01,住家用,鋼筋混凝土加強磚造,64年9月5日,四層,四層,全筆移轉
RPQNMLTKKHKGFDC18DA,30,145.05,住家用,鋼筋混凝土造,84年5月15日,七層,五層 陽台,全筆移轉
RPQNMLTKKHKGFDC18DA,30,17.61,共用部份,鋼筋混凝土造,84年5月15日,七層,,持分移轉
RPPNMLTKKHKGFDC08DA,11,100.16,住家用,鋼筋混凝土造,102年8月26日,十四層,十四層 陽台 雨遮,全筆移轉
RPPNMLTKKHKGFDC08DA,11,19.46,本共有部分之項目有樓電梯間、梯廳、門廳、樓梯間、機房、水箱等共６項。,鋼筋混凝土造,102年8月26日,十四層,,持分移轉
RPPNMLTKKHKGFDC08DA,11,56.63,本共有部分之項目有供管委會使用空間、樓電梯間、門廳、出入口雨遮、防空避難室兼停車空間、停車空間等共６項。,鋼筋混凝土造,102年8月26日,十四層,,持分移轉
RPPNMLTKKHKGFDC08DA,11,2.62,本共有部分之項目為車道。,鋼筋混凝土造,102年8月26日,十四層,,持分移轉
