編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLLKHKGFDC47DA,東信段一小段,1.00,,1,1,全筆移轉,00460157
RPPOMLTKKHKGFDC18DA,調和段,25.06,都市：其他:住宅區(住二),10000,33,持分移轉,11250000
RPPOMLQJKHKGFDC77DA,五堵段五堵北小段,42.86,都市：其他:住宅區,280,30,持分移轉,10660000
RPTOMLTKKHKGFDC58DA,港濱段,28.48,都市：其他:住宅區(住二),2000,128,持分移轉,16510000
RPTOMLKKKHKGFDC67DA,港灣段三小段,17.44,都市：其他:商業區,100000,927,持分移轉,00040000
RPQOMLOLKHKGFDC87DA,東信段三小段,58.25,都市：其他:住宅區,4,1,持分移轉,00350046
RPWNMLSKKHKGFDC68DA,忠義段六小段,54.20,都市：其他:住宅區,1,1,全筆移轉,00310034
RPWNMLSKKHKGFDC68DA,忠義段六小段,22.46,都市：其他:道路用地,1,1,全筆移轉,00310093
RPWNMLSKKHKGFDC68DA,忠義段六小段,.34,都市：其他:住宅區,1,1,全筆移轉,00310094
RPVNMLSKKHKGFDC58DA,仁德段,23.50,都市：其他:住宅區(住二),4,1,持分移轉,02210000
RPQNMLTKKHKGFDC18DA,深澳段,34.12,都市：其他:住宅區(住二),10000,178,持分移轉,00910000
RPPNMLTKKHKGFDC08DA,田寮段,17.97,都市：其他:商業區,10000,177,持分移轉,04900000
RPPNMLTKKHKGFDC08DA,田寮段,1.47,都市：其他:商業區,10000,177,持分移轉,04910002
RPRNMLTKKHKGFDC28DA,延平段,28.75,都市：其他:住宅區(住一),4,1,持分移轉,11120000
RPXOMLOKKHKGFDC48DA,西定段,35.00,都市：其他:住宅區,3,1,持分移轉,03770000
RPXOMLOKKHKGFDC48DA,西定段,2.00,都市：其他:道路用地,3,1,持分移轉,03770001
RPOOMLKLKHKGFDC27DA,日新段五小段,.17,都市：其他:商業區(商四),20000,2,持分移轉,00010000
RPPNMLLLKHKGFDC37DA,港濱段,32.50,都市：其他:住宅區(住一),4,1,持分移轉,13440000
RPPNMLLLKHKGFDC37DA,港濱段,3.25,都市：其他:道路用地,4,1,持分移轉,13440001
RPUOMLTJJHKGFDC48DA,日新段五小段,20.70,都市：其他:商業區(商四),30,3,持分移轉,00030000
RPUOMLTJJHKGFDC48DA,日新段五小段,3.70,都市：其他:商業區(商四),30,3,持分移轉,00030001
RPUOMLKKKHKGFDC77DA,港灣段三小段,15.14,都市：其他:商業區,100000,805,持分移轉,00040000
