編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLKKKHKGFDC67DA,坡道平面,2400000,28.40,地下二樓
RPPNMLTKKHKGFDC08DA,坡道平面,0,32.61,地下一樓
RPOOMLKLKHKGFDC27DA,坡道平面,2200000,33.44,地下一樓
RPUOMLKKKHKGFDC77DA,坡道平面,2400000,28.40,地下二樓
RPSNMLTKKHKGFDC38DA,升降機械,0,20.30,地下一樓
RPTNMLKLKHKGFDC67DA,坡道平面,0,,地下三樓
RPRNMLLLKHKGFDC57DA,坡道平面,1750000,36.75,地下三樓
RPWNMLMLJHKGFDC08DA,坡道平面,1500000,43.94,地下二樓
RPWNMLMLJHKGFDC08DA,坡道平面,1500000,43.94,地下二樓
RPXNMLOLKHKGFDC48DA,坡道平面,0,29.66,地下二樓
RPXNMLOLKHKGFDC48DA,坡道平面,0,29.66,地下二樓
RPORMLMKKHKGFDC67DA,坡道平面,0,,地下二樓
RPPNMLLLKHKGFDC47EA,坡道平面,0,,地下一樓
RPROMLTKKHKGFDC38DA,坡道平面,0,,地下一樓
RPVOMLKMKIJGFDC08DA,坡道平面,0,15.87,地下一樓
RPOOMLRKKHKGFDC87DA,坡道平面,0,17.88,地下三樓
RPUNMLSKKHKGFDC48DA,坡道平面,0,,地下二樓
RPRNMLPJKHKGFDC77DA,坡道平面,0,32.08,地下二樓
RPQNMLKLKHKGFDC37DA,坡道平面,0,,地下四樓
RPTNMLRKKHKGFDC28DA,坡道平面,0,36.73,地下二樓
RPSNMLLLKHKGFDC67DA,坡道平面,1800000,36.75,地下三樓
RPTNMLLLKHKGFDC77DA,坡道平面,1800000,36.75,地下二樓
RPVNMLQKJHKGFDC28DA,坡道平面,0,35.98,地下二樓
RPUNMLOLJHKGFDC08DA,坡道機械,0,10.50,地下二樓
RPUNMLOLJHKGFDC08DA,坡道機械,0,10.50,地下二樓
RPQNMLSLKIJGFDC18DA,坡道平面,0,,地下一樓
RPUNMLMLJHKGFDC87DA,坡道平面,0,32.04,地下二樓
RPSNMLRKKHKGFDC18DA,其他,0,,一樓
RPOOMLTKKHKGFDC08DA,坡道平面,1350000,32.08,地下二樓
RPOPMLNKKHKGFDC57DA,坡道平面,1650000,32.08,地下一樓
RPUNMLKKKIJGFDC67DA,坡道平面,0,,地下二樓
RPUNMLKKKIJGFDC67DA,坡道平面,0,,地下二樓
RPUNMLKKKIJGFDC67DA,坡道平面,0,,地下二樓
RPRNMLOJJHKGFDC57DA,坡道平面,1200000,32.43,地下一樓
RPTNMLKKJHKGFDC47DA,坡道平面,0,34.16,地下二樓
