編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHKGFDC57CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPPNMLOKKHKGFDC57CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPSNMLOKKHKGFDC87CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPSNMLOKKHKGFDC87CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPQNMLOKKHKGFDC67CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPQNMLOKKHKGFDC67CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPQNMLOJKHKGFDC57CB,武嶺段,.11,都市：住,100000,300,持分移轉,05220004
RPQNMLOJKHKGFDC57CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05260000
RPQNMLOJKHKGFDC57CB,武嶺段,.02,都市：住,100000,300,持分移轉,05330000
RPQNMLOJKHKGFDC57CB,武嶺段,.42,都市：住,100000,300,持分移轉,05650000
RPQNMLOJKHKGFDC57CB,武嶺段,.30,都市：住,100000,300,持分移轉,05650001
RPQNMLOJKHKGFDC57CB,武嶺段,.01,都市：住,100000,300,持分移轉,05660017
RPQNMLOJKHKGFDC57CB,武嶺段,.13,都市：住,100000,300,持分移轉,05660019
RPQNMLOJKHKGFDC57CB,武嶺段,3.93,都市：住,100000,300,持分移轉,05660020
RPQNMLOJKHKGFDC57CB,武嶺段,3.14,都市：住,100000,300,持分移轉,05660021
RPQNMLOJKHKGFDC57CB,武嶺段,8.14,都市：住,100000,300,持分移轉,05660022
RPQNMLOJKHKGFDC57CB,武嶺段,.05,都市：住,100000,300,持分移轉,05660023
RPQNMLOJKHKGFDC57CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05670002
RPQNMLOJKHKGFDC57CB,武嶺段,1.66,都市：住,100000,300,持分移轉,05680002
RPQNMLOJKHKGFDC57CB,武嶺段,.09,都市：住,100000,300,持分移轉,05680004
RPQNMLOJKHKGFDC57CB,武嶺段,.18,都市：住,100000,300,持分移轉,05680005
RPQNMLOJKHKGFDC57CB,武嶺段,3.30,都市：住,100000,300,持分移轉,05690002
RPQNMLOJKHKGFDC57CB,武嶺段,.20,都市：住,100000,300,持分移轉,05690003
RPTNMLOKKHKGFDC97CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPTNMLOKKHKGFDC97CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
