鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
仁愛區,租賃房屋,基隆市仁愛區劉銘傳路７８號４樓,0.0,,,,1140121,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610908,56.86,3,1,1,有,無,有,18000,317,,0.0,0,,RPSNMLLLJHKGFDC67CC,整棟(戶)出租,無,1140131~1150130,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區樂利二街６２巷８８號３樓,0.0,,,,1140121,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,106.56,3,1,2,有,有,無,15000,141,,0.0,0,,RPROMLMLJHKGFDC77CC,整棟(戶)出租,有,1140206~1150205,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區東信路１８０巷５０之３號,0.0,,,,1140122,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670712,99.89,2,1,2,有,無,有,12500,125,,0.0,0,,RPSOMLMLJHKGFDC87CC,整棟(戶)出租,無,1140213~1150212,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋+車位,基隆市中正區新豐街９８號２樓之３,0.0,,,,1140122,土地0建物1車位1,二層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120928,157.82,3,1,2,有,有,有,28500,181,坡道平面,41.4,0,,RPRNMLNLJHKGFDC77CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、洗衣機、電視機、冰箱,一般代管
中正區,租賃房屋,基隆市中正區新豐街２２６號７樓,0.0,,,,1140122,土地0建物1車位0,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,32.29,1,0,1,有,有,有,7000,217,,0.0,0,,RPQNMLOLJHKGFDC77CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區泰和街１５之２號,0.0,,,,1140121,土地0建物1車位0,全,4,透天厝,地下一層：停車空間、一至四層：集合住宅,鋼筋混凝土造,1011106,231.96,4,2,3,有,有,有,19800,85,,0.0,0,,RPSNMLOLJHKGFDC97CC,整棟(戶)出租,無,1140210~1150209,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區安一路３７０巷１４之３號,0.0,,,,1140123,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0631213,69.95,2,2,1,有,無,有,9000,129,,0.0,0,,RPUNMLOLJHKGFDC18CC,整棟(戶)出租,無,1140124~1150123,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,基隆市中正區觀海街１８５號７樓,0.0,,,,1140125,土地0建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,138.89,2,2,2,有,有,有,8000,58,,0.0,0,,RPPNMLNJKHKGFDC47CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋+車位,基隆市七堵區福二街２１７號７樓,0.0,,,,1140124,土地0建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820607,119.65,3,1,2,有,有,無,18600,155,坡道平面,0.0,1000,,RPQNMLNJKHKGFDC57CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
