編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNLJHKGFDC77CC,1,78.33,集合住宅,鋼筋混凝土造,112年9月28日,八層,,
RPRNMLNLJHKGFDC77CC,1,26.34,本建物共有部分有：無障礙電梯．無障礙樓梯．安全梯．梯廳．蓄水池．電梯間．樓梯間．水箱．電梯機房等共９項。,鋼筋混凝土造,112年9月28日,八層,,
RPRNMLNLJHKGFDC77CC,1,53.15,本建物共有部分有：公共服務空間．頂蓋型開放空間．梯廳．進風管道間．汽車道．儲藏室．停車空間．緊急發電機室．電信室．資源回收室．機車道．機房．電錶室．台電配電場所．消防幫浦室．防空避難室兼停車空間．雨水機房等共１７項。,鋼筋混凝土造,112年9月28日,十四層,,
RPSNMLLLJHKGFDC67CC,52,56.86,住家用,鋼筋混凝土加強磚造,61年9月8日,四層,,
RPSOMLMLJHKGFDC87CC,47,99.89,住家用,鋼筋混凝土造,67年7月12日,五層,,
RPUNMLNJKHKGFDC97CC,29,80.13,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPUNMLNJKHKGFDC97CC,29,12.76,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPUNMLNJKHKGFDC97CC,29,16.17,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPQNMLNJKHKGFDC57CC,32,93.29,住家用,鋼筋混凝土造,82年6月7日,七層,,
RPQNMLNJKHKGFDC57CC,32,3.73,共用部份,鋼筋混凝土造,82年6月7日,七層,,
RPQNMLNJKHKGFDC57CC,32,22.63,共用部份,鋼筋混凝土造,82年6月7日,七層,,
RPRNMLNJKHKGFDC67CC,29,30.85,住家用,鋼筋混凝土造,85年4月26日,十六層,,
RPRNMLNJKHKGFDC67CC,29,6.25,共用部份,鋼筋混凝土造,85年4月26日,十六層,,
RPRNMLNJKHKGFDC67CC,29,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,,
RPUNMLOLJHKGFDC18CC,50,69.95,住家用,鋼筋混凝土加強磚造,63年12月13日,四層,,
RPSNMLOLJHKGFDC97CC,12,202.84,地下一層：停車空間、一至四層：集合住宅,鋼筋混凝土造,101年11月6日,四層,,
RPSNMLOLJHKGFDC97CC,12,9.12,本共有部分之項目有消防機械間．排風口．發電機室．台電配電室．梯間．電信室．機械間．管道間．供管委會使用空間．管委會會議室．水箱．騎樓等共１２項。,鋼筋混凝土造,101年11月6日,五層,,
RPSNMLOLJHKGFDC97CC,12,.06,本共有部分之項目有管理室．停車位等共２項。,鋼筋混凝土造,101年11月6日,五層,,
RPSNMLOLJHKGFDC97CC,12,19.94,本共有部分之項目有停車空間。,鋼筋混凝土造,101年11月6日,五層,,
RPPNMLNJKHKGFDC47CC,26,66.94,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLNJKHKGFDC47CC,26,16.05,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLNJKHKGFDC47CC,26,.82,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLNJKHKGFDC47CC,26,3.82,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLNJKHKGFDC47CC,26,48.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLNJKHKGFDC47CC,26,1.56,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPSNMLNJKHKGFDC77CC,17,21.52,住家用,鋼筋混凝土造,97年7月1日,七層,,
RPPNMLNJKHKGFDC47CC,26,.74,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPSNMLNJKHKGFDC77CC,17,3.45,共用部份,鋼筋混凝土造,97年7月1日,七層,,
RPSNMLNJKHKGFDC77CC,17,4.97,共用部份,鋼筋混凝土造,97年7月1日,七層,,
RPPOMLNJKHKGFDC57CC,43,87.85,住家用,鋼筋混凝土造,71年6月3日,五層,,
RPQOMLNJKHKGFDC67CC,25,25.85,住家用,鋼筋混凝土造,88年12月31日,十二層,,
RPQOMLNJKHKGFDC67CC,25,5.32,共用部份,鋼筋混凝土造,88年12月31日,十四層,,
RPQOMLNJKHKGFDC67CC,25,5.05,共用部份,鋼筋混凝土造,88年12月31日,十二層,,
RPXNMLNJKHKGFDC28CC,20,248.12,住家用,鋼筋混凝土造,93年11月26日,四層,,
RPQNMLOLJHKGFDC77CC,28,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPQNMLOLJHKGFDC77CC,28,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPQNMLOLJHKGFDC77CC,28,1.28,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPQNMLOLJHKGFDC77CC,28,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPOOMLNJKHKGFDC47CC,,89.22,住家用,加強磚造,,二層,,
RPWNMLNJKHKGFDC18CC,24,88.47,住家用,鋼筋混凝土造,90年5月24日,五層,,
RPWNMLNJKHKGFDC18CC,24,10.76,共用部份,鋼筋混凝土造,90年5月24日,五層,,
RPROMLNJKHKGFDC77CC,31,100.99,住家用,鋼筋混凝土造,82年8月4日,五層,,
RPROMLNJKHKGFDC77CC,31,2.20,共用部份,鋼筋混凝土造,82年8月4日,五層,,
RPVNMLNJKHKGFDC08CC,30,95.08,住家用,鋼筋混凝土造,84年1月27日,十層,,
RPVNMLNJKHKGFDC08CC,30,34.54,共用部份,鋼筋混凝土造,84年1月27日,十層,,
RPVNMLNJKHKGFDC08CC,30,3.27,共用部份,鋼筋混凝土造,84年1月27日,九層,,
RPPNMLOJKHKGFDC57CC,29,69.05,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPPNMLOJKHKGFDC57CC,29,11.57,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPRNMLOJKHKGFDC77CC,47,63.96,住家用,鋼筋混凝土造,66年9月14日,四層,,
RPPNMLOJKHKGFDC57CC,29,13.06,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPQNMLOJKHKGFDC67CC,27,97.33,住家用,鋼筋混凝土造,87年5月14日,五層,,
RPQNMLOJKHKGFDC67CC,27,23.04,共用部份,鋼筋混凝土造,87年5月14日,五層,,
RPSNMLOJKHKGFDC87CC,43,71.08,住家用,鋼筋混凝土造,70年12月31日,五層,,
RPRNMLOKKHKGFDC87CC,28,38.43,住家用,鋼筋混凝土造,85年12月9日,七層,,
RPRNMLOKKHKGFDC87CC,28,5.57,共用部份,鋼筋混凝土造,85年12月9日,七層,,
RPRNMLOKKHKGFDC87CC,28,12.41,共用部份,鋼筋混凝土造,85年12月9日,七層,,
RPSNMLOKKHKGFDC97CC,1,58.77,集合住宅,鋼筋混凝土造,113年7月16日,十一層,,
RPSNMLOKKHKGFDC97CC,1,29.56,本建物共有部分之項目有：管委會使用空間，辦公室，台電配電場所，受電箱室，電錶室，行動不便者電梯，安全梯，梯廳，汙水處理機房，資源回收空間，消防泵浦室，水箱，受水室，管理員室，樓梯間，電梯間，機械室，機車停車空間，停車空間，緊急發電機室，機電設備空間，電信機房，防空避難室兼停車空間等共２３項。,鋼筋混凝土造,113年7月16日,十一層,,
RPTNMLOKKHKGFDC08CC,46,19.81,住家用,鋼筋混凝土造,68年3月19日,四層,,
RPROMLMLJHKGFDC77CC,29,88.16,住家用,鋼筋混凝土造,85年3月22日,七層,,
RPROMLMLJHKGFDC77CC,29,5.35,共用部份,鋼筋混凝土造,85年3月22日,七層,,
RPROMLMLJHKGFDC77CC,29,13.05,共用部份,鋼筋混凝土造,85年3月22日,七層,,
RPTNMLNJKHKGFDC87CC,30,72.33,住家用,鋼筋混凝土造,83年9月30日,五層,,
RPTNMLNJKHKGFDC87CC,30,8.22,共用部份,鋼筋混凝土造,83年9月30日,五層,,
RPPNMLQJKHKGFDC77CC,50,89.55,住家用,鋼筋混凝土加強磚造,64年1月4日,四層,,
RPTNMLOJKHKGFDC97CC,28,54.15,住家用,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLOJKHKGFDC97CC,28,1.18,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLOJKHKGFDC97CC,28,.78,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLOJKHKGFDC97CC,28,8.55,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLOJKHKGFDC97CC,28,.60,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPQNMLPJKHKGFDC77CC,48,59.21,住家用,鋼筋混凝土造,66年5月20日,四層,,
RPTNMLQJKHKGFDC18CC,43,101.85,住家用,鋼筋混凝土造,70年12月23日,五層,,
RPPNMLOJKHKGFDC67DC,29,40.84,住家用,鋼筋混凝土造,85年4月26日,十六層,,
