鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北區,房地(土地+建物),臺南市北區北華街１８４之４號,49.02,商,,,1140212,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570130,72.47,2,1,2,有,無,5717780,78899,,0.0,0,建物傾斜，不堪居住，建物價款0元。,RPPNMLMKKHKGFAD17DA,72.47,0.0,0.0,無,001
安南區,土地,和業段135-1地號,19.49,都市：其他:細部計畫道路用地,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,41047,,0.0,0,,RPWNMLLKKHKGFBD87DA,0.0,0.0,0.0,無,
南區,土地,南山段137-1地號,12.3,都市：其他:細部計畫道路用地,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,198325,16124,,0.0,0,包含公共設施保留地用地；,RPPOMLQJKHKGFCD77DA,0.0,0.0,0.0,無,
南區,土地,南山段137-2地號,2.3,都市：其他:細部計畫道路用地,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,37085,16124,,0.0,0,包含公共設施保留地用地；,RPQOMLQJKHKGFCD87DA,0.0,0.0,0.0,無,
南區,土地,南山段137-3地號,0.7,都市：其他:細部計畫道路用地,,,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19040,0,,0.0,0,包含公共設施保留地用地；,RPVNMLKKKHKGFCD77DA,0.0,0.0,0.0,無,002
新營區,土地,新東段223-2地號,82.78,住,,,1140209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2557902,30900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKLKHKGFDD67DA,0.0,0.0,0.0,無,
後壁區,房地(土地+建物),臺南市後壁區後壁里８鄰後壁１４７之２４號,20.59,商,,,1140211,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680801,36.07,2,1,2,有,無,606000,16801,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTKKHKGFED58DA,34.13,0.0,1.93,無,
六甲區,土地,林鳳營段867地號,2243.0,,特定農業區,農牧用地,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3200000,1427,,0.0,0,,RPRNMLNKKHKGFFD97DA,0.0,0.0,0.0,無,
北門區,土地,溪底寮段三寮灣小段187-5地號,40.48,,鄉村區,交通用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,190000,4694,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPSNMLOKKHKGFGD28DA,0.0,0.0,0.0,無,
北門區,土地,溪底寮段三寮灣小段187-12地號,112.0,,鄉村區,乙種建築用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1110000,9911,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOKKHKGFGD38DA,0.0,0.0,0.0,無,
安定區,土地,蘇興段1075地號,97.33,,鄉村區,乙種建築用地,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,25686,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLSKKHKGFHD58DA,0.0,0.0,0.0,無,
仁德區,房地(土地+建物)+車位,臺南市仁德區仁和里保華路３６１號四樓之２,54.87,住,,,1140211,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990127,197.32999999999998,4,2,2,有,有,12750000,64613,坡道平面,0.0,0,,RPWPMLSKKHKGFID86DA,116.52,0.0,9.4,有,
關廟區,土地,松腳段1048-1地號,2.0,住,,,1140216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,25000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPVNMLTKKHKGFID66DA,0.0,0.0,0.0,無,
楠西區,土地,楠中段293地號,45.58,住,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,10970,,0.0,0,地上未登記建物為災損房屋未登記建物；,RPPNMLSKKHKGFJD68DA,0.0,0.0,0.0,無,
永康區,房地(土地+建物),臺南市永康區大橋里中華路８６２號五樓之７,6.63,住,,,1140214,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861015,37.64,1,0,1,有,無,3570000,94846,,0.0,0,,RPQNMLRKKHKGFKD78DA,22.41,0.0,3.95,有,003
北區,房地(土地+建物),臺南市北區大興街２３３巷２０弄１６號,55.02,住,,,1140212,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0641006,74.34,2,2,2,有,無,2154862,28987,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKKHKGFAD08EA,74.34,0.0,0.0,無,
