編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKKHKGFAD17DA,57,72.47,住家用,加強磚造,57年1月30日,二層,一層 二層,全筆移轉
RPSNMLTKKHKGFED58DA,46,36.07,住商用,加強磚造,68年8月1日,二層,一層 二層 陽台 騎樓,持分移轉
RPQNMLRKKHKGFKD78DA,27,26.36,住家用,鋼筋混凝土造,86年10月15日,八層,五層 陽台,全筆移轉
RPQNMLRKKHKGFKD78DA,27,11.28,共有部分,鋼筋混凝土造,86年10月15日,八層,,持分移轉
RPQNMLTKKHKGFAD08EA,49,74.34,住家用,加強磚造,64年10月6日,二層,一層 二層,全筆移轉
RPWPMLSKKHKGFID86DA,15,125.92,住家用,鋼筋混凝土造,99年1月27日,十三層,四層 陽台,全筆移轉
RPWPMLSKKHKGFID86DA,15,71.41,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、突出物１、２層、梯間、機械室、水箱。,鋼筋混凝土造,99年1月27日,十三層,,持分移轉
RPTNMLTKKHKGFAD38EA,43,523.91,住商用,鋼筋混凝土造,71年5月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓 地下層,全筆移轉
RPUNMLTKKHKGFAD48EA,,394.52,工業用,加強磚造,45年0月0日,二層,一層 二層,全筆移轉
RPPNMLKLKHKGFDD47EA,,336.67,住宅,鋼筋混凝土造,113年12月6日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPRNMLSKKHKGFDD28DA,42,161.93,住商用,鋼筋混凝土造,72年4月7日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPROMLTKKHKGFID98DA,17,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,四層 雨遮,全筆移轉
RPROMLTKKHKGFID98DA,17,5.12,共有部分,鋼筋混凝土造,96年9月20日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,3.13,避難室,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,.05,集合住宅,鋼筋混凝土造,70年9月7日,四層,一層 平台,持分移轉
RPPNMLMKKHKGFBD27DA,43,.05,集合住宅,鋼筋混凝土造,70年9月7日,四層,一層 平台,持分移轉
RPPNMLMKKHKGFBD27DA,43,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMKKHKGFBD27DA,43,91.74,集合住宅,鋼筋混凝土造,70年9月7日,四層,三層 陽台,全筆移轉
RPPNMLMKKHKGFBD27DA,43,7.81,共有部分,鋼筋混凝土造,70年9月7日,四層,,持分移轉
RPPNMLMLKHKGFED67DA,33,48.70,住家用,鋼筋混凝土造,81年3月12日,二層,一層,全筆移轉
RPPNMLMLKHKGFED67DA,33,4.96,共有部分,鋼筋混凝土造,81年3月12日,二層,,持分移轉
RPPNMLOLKHKGFED87DA,,105.01,住家用,鋼筋混凝土加強磚造,67年7月0日,二層,一層 二層 陽台 騎樓,全筆移轉
RPRNMLOKKHKGFAD57DA,,37.51,住家用,磚造,54年0月0日,二層,一層 二層,持分移轉
RPPOMLOKKHKGFKD48DA,3,229.85,住宅，店鋪,鋼筋混凝土構造,111年2月21日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPWNMLLLKHKGFKD88DA,37,129.27,住商用,鋼筋混凝土造,77年5月19日,二層,一層 二層 陽台 騎樓 電梯樓梯間 見其他登記事項,全筆移轉
RPWNMLKLKHKGFKD78DA,40,98.68,住商用,加強磚造,73年11月13日,二層,一層 二層 陽台 騎樓 電梯樓梯間,全筆移轉
RPVNMLTKKHKGFAD48DA,57,74.90,住家用,加強磚造,57年1月30日,二層,一層 二層,全筆移轉
