編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKKHKGFAD17DA,大銃段,49.02,都市：其他:商業區,1,1,全筆移轉,08880000
RPSNMLTKKHKGFED58DA,頭前段,20.59,都市：其他:商業區,6,2,持分移轉,03280000
RPQOMLQJKHKGFCD87DA,南山段,2.30,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370002
RPPOMLQJKHKGFCD77DA,南山段,12.30,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370001
RPVNMLTKKHKGFID66DA,松腳段,2.00,都市：其他:住宅區,1,1,全筆移轉,10480001
RPPNMLSKKHKGFJD68DA,楠中段,45.58,都市：其他:住宅區,1,1,全筆移轉,02930000
RPRNMLNKKHKGFFD97DA,林鳳營段,796.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08660000
RPRNMLNKKHKGFFD97DA,林鳳營段,1447.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08670000
RPQNMLRKKHKGFKD78DA,六甲頂段,6.63,都市：其他:住宅區,10000,173,持分移轉,05260000
RPSNMLKLKHKGFDD67DA,新東段,82.78,都市：其他:住宅區,1,1,全筆移轉,02230002
RPQNMLTKKHKGFAD08EA,大豐段,55.02,都市：其他:住宅區,1,1,全筆移轉,11830000
RPWNMLLKKHKGFBD87DA,和業段,19.49,都市：其他:細部計畫道路用地,6,2,持分移轉,01350001
RPWPMLSKKHKGFID86DA,二空段,54.87,都市：其他:住宅區,100000,1118,持分移轉,08000000
RPWNMLQJKHKGFCD38DA,南山段,2.50,都市：其他:道路用地,1,1,全筆移轉,01370006
RPWNMLQJKHKGFCD38DA,南山段,2.20,都市：其他:道路用地,1,1,全筆移轉,01370007
RPPNMLKLKHKGFGD77EA,槺榔段,191.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01730007
RPQNMLTKKHKGFGD68EA,大文段,108.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05850004
RPPNMLKLKHKGFDD47EA,新營段,155.74,都市：其他:住宅區,1,1,全筆移轉,13040001
RPRNMLSKKHKGFDD28DA,東昇段,92.44,都市：其他:道路用地,8,7,持分移轉,08980000
RPRNMLSKKHKGFDD28DA,東昇段,85.90,都市：其他:住宅區,1,1,全筆移轉,09000000
RPPNMLKLKHKGFED47DA,新興段,2005.00,都市：其他:農業區,1,1,全筆移轉,01650000
RPPNMLLLKHKGFED57DA,崎子頭段,1396.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00260000
RPPNMLLLKHKGFED57DA,崎子頭段,107.00,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,00260001
RPXNMLTKKHKGFFD56DA,社子段,4191.00,都市：其他:保護區,1,1,全筆移轉,08340000
RPPNMLRKKHKGFHD38DA,三德段,.29,都市：其他:道路用地,192,1,持分移轉,08220000
RPOPMLSKKHKGFHD58DA,蘇興段,97.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10750000
RPPNMLLLKHKGFJD08DA,玉田段,136.13,都市：其他:商業區,1,1,全筆移轉,04060000
RPUOMLOKKHKGFKD98DA,鹽中段,30.80,都市：其他:道路用地,1600,221,持分移轉,14100000
RPTOMLOKKHKGFKD88DA,永華段,.61,都市：其他:道路用地,1,1,全筆移轉,00970001
RPTOMLOKKHKGFKD88DA,永華段,1.73,都市：其他:道路用地,1,1,全筆移轉,00970002
RPTOMLOKKHKGFKD88DA,永華段,5.24,都市：其他:道路用地,1,1,全筆移轉,00970003
RPTOMLOKKHKGFKD88DA,永華段,7.39,都市：其他:道路用地,1,1,全筆移轉,00970004
RPTOMLOKKHKGFKD88DA,永華段,3.49,都市：其他:道路用地,1,1,全筆移轉,00970005
RPRNMLKKKHKGFCD37DA,南山段,2.70,都市：其他:道路用地,1,1,全筆移轉,01370005
RPQNMLLLKHKGFDD67EA,岸南段,2445.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02680000
RPVNMLKKKHKGFCD77DA,南山段,.70,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370003
RPQNMLTKKHKGFED48EA,前大埔段,1008.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,118,21,持分移轉,02230001
RPRNMLKLKHKGFGD97EA,玉成段,10.03,都市：其他:道路用地,18,1,持分移轉,15810000
RPRNMLKLKHKGFGD97EA,玉成段,17.62,都市：其他:道路用地,18,1,持分移轉,15820000
RPRNMLKLKHKGFGD97EA,玉成段,171.22,都市：其他:第一種住宅區,1,1,全筆移轉,15870000
RPRNMLKLKHKGFGD97EA,玉成段,12.99,都市：其他:第一種住宅區,18,1,持分移轉,15950000
RPRNMLKLKHKGFGD97EA,玉成段,.05,都市：其他:道路用地,18,1,持分移轉,15950001
RPSNMLKLKHKGFGD08EA,三吉段,43.86,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,14500001
RPPNMLLLKHKGFGD87EA,港東段,12.08,都市：其他:農業區,1,1,全筆移轉,14110003
RPROMLTKKHKGFID98DA,保甲段,1.18,都市：其他:住宅區,100000,264,持分移轉,03900000
RPROMLTKKHKGFID98DA,保甲段,3.49,都市：其他:住宅區,100000,264,持分移轉,03910000
RPPNMLLKKHKGFCD27DA,南山段,2.10,都市：其他:道路用地,1,1,全筆移轉,01370004
RPPNMLMKKHKGFBD27DA,安中段,.87,都市：其他:住宅區,100000,56,持分移轉,00450000
RPPNMLMKKHKGFBD27DA,安中段,1.69,都市：其他:住宅區,100000,56,持分移轉,01270000
RPPNMLMKKHKGFBD27DA,安中段,6.22,都市：其他:住宅區,100000,56,持分移轉,01310000
RPPNMLMKKHKGFBD27DA,安中段,2.69,都市：其他:住宅區,100000,56,持分移轉,01370000
RPPNMLMKKHKGFBD27DA,安中段,.04,都市：其他:住宅區,7200000,112,持分移轉,01410000
RPPNMLMKKHKGFBD27DA,安中段,2.04,都市：其他:住宅區,100000,56,持分移轉,01460000
RPPNMLMKKHKGFBD27DA,安中段,.07,都市：其他:住宅區,100000,56,持分移轉,03110000
RPPNMLMKKHKGFBD27DA,怡中段,.46,都市：其他:住宅區,100000,56,持分移轉,10930000
RPPNMLMKKHKGFBD27DA,怡中段,.04,都市：其他:住宅區,100000,56,持分移轉,10930002
RPPNMLMKKHKGFBD27DA,怡中段,.40,都市：其他:住宅區,100000,56,持分移轉,10930003
RPPNMLMKKHKGFBD27DA,怡中段,4.77,都市：其他:住宅區,100000,56,持分移轉,10950000
RPPNMLMKKHKGFBD27DA,怡中段,7.39,都市：其他:住宅區,100000,56,持分移轉,10970000
RPPNMLMKKHKGFBD27DA,怡中段,2.24,都市：其他:住宅區,100000,56,持分移轉,11020000
RPPNMLMKKHKGFBD27DA,怡中段,40.16,都市：其他:住宅區,96,1,持分移轉,11100000
RPSNMLKKKHKGFCD47DA,南山段,1.80,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370009
RPTNMLOKKHKGFGD38DA,溪底寮段三寮灣小段,112.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01870012
RPSNMLOKKHKGFGD28DA,溪底寮段三寮灣小段,40.48,非都市：鄉村區 ; 非都市編定：交通用地,100,8,持分移轉,01870005
RPXNMLNKKHKGFCD28DA,南山段,2.00,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370008
RPRNMLLKKHKGFCD47DA,南山段,1.70,都市：其他:細部計畫道路用地,1,1,全筆移轉,01370010
RPPNMLKLKHKGFDD37DA,三和段,1157.03,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110000
RPPNMLKLKHKGFDD37DA,飯店段,1165.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10530000
RPPNMLMLKHKGFED67DA,嶺頂段,54.70,都市：其他:第一種住宅區,10000,98,持分移轉,09800000
RPPNMLMLKHKGFED67DA,嶺頂段,2.17,都市：其他:第一種住宅區,10000,98,持分移轉,09810000
RPPNMLMLKHKGFED67DA,嶺頂段,3.44,都市：其他:第一種住宅區,10000,98,持分移轉,09830000
RPPNMLOLKHKGFED87DA,頂中段,81.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08940000
RPPNMLKLKHKGFBD27EA,原佃段,51.49,都市：其他:農業區,5,1,持分移轉,00090000
RPPNMLKLKHKGFBD27EA,原佃段,79.39,都市：其他:主要計畫道路用地,5,1,持分移轉,00090001
RPPNMLKLKHKGFBD27EA,原佃段,64.27,都市：其他:農業區,5,1,持分移轉,00090002
RPPNMLKLKHKGFBD27EA,原佃段,49.74,都市：其他:主要計畫道路用地,5,1,持分移轉,00100001
