鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
佳里區,房地(土地+建物)+車位,臺南市佳里區佳西路482號對面,38.0,住,,,1140122,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.73,3,2,2,有,無,9280000,81427,一樓平面,11.5,1200000,,RPPNMLNLJHKGFGD87CB,慕光里2,A棟9號,
永康區,房地(土地+建物)+車位,臺南市永康區永善路、永善一街前後臨路。,24.22,住,,,1140121,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.53,3,2,2,有,無,17300000,122278,坡道平面,24.97,1580000,,RPPNMLNLJHKGFKD28CB,遠雄東御苑,A棟A06F08號,
中西區,房地(土地+建物)+車位,臺南市中西區府前路二段258巷29弄,7.64,其他,,,1140124,土地1建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.44,2,2,1,有,無,13900000,145365,坡道機械,12.0,1480000,,RPQNMLPLJHKGFAD57CB,三發 DIAMOND ONE,G棟6號,
永康區,房地(土地+建物)+車位,臺南市永康區大灣路119巷,28.48,住,,,1140123,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.55,3,2,2,有,無,13130000,96693,坡道平面,33.79,1550000,,RPPNMLQLJHKGFKD58CB,伯捷HOKI,k1號,
中西區,房地(土地+建物)+車位,臺南市中西區府前路二段258巷29弄,14.11,其他,,,1140125,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.05,3,2,2,有,無,23520000,134934,坡道平面,21.64,2280000,,RPPNMLLMJHKGFAD17CB,三發 DIAMOND ONE,E棟9號,
中西區,房地(土地+建物)+車位,臺南市中西區府前路二段258巷29弄,11.57,其他,,,1140131,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.89,2,2,2,有,無,19530000,134236,坡道平面,21.64,2180000,,RPQNMLLMJHKGFAD27CB,三發 DIAMOND ONE,F棟4號,
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段與光賢街,22.13,住,,,1140125,土地4建物1車位1,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.38,3,2,2,有,無,24670000,155499,坡道平面,30.27,1950000,,RPPNMLNJKHKGFAD17CB,艾美御之苑,B2-18F號,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.77,商,,,1140123,土地2建物1車位1,七層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.99,2,2,1,有,無,10700000,121027,坡道機械,10.19,800000,,RPTNMLNJKHKGFBD67CB,南科卓越城,A棟A08-07F號,
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.77,商,,,1140123,土地2建物1車位1,六層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.53,2,2,1,有,無,9990000,111753,坡道機械,10.19,900000,,RPUNMLNJKHKGFBD77CB,南科卓越城,E棟E11-06F號,
