編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNJKHKGFBD77CB,和館段,2.99,都市：商,100000,63,持分移轉,01000000
RPUNMLNJKHKGFBD77CB,和館段,6.78,都市：商,100000,63,持分移轉,01000004
RPPNMLLMJHKGFAD17CB,星鑽段,14.11,都市：其他:第二種觀光休閒特定專區,100000,589,持分移轉,24200000
RPPNMLQLJHKGFKD58CB,國聖段,28.48,都市：住,10000,137,持分移轉,02700000
RPQNMLPLJHKGFAD57CB,星鑽段,7.64,都市：其他:第二種觀光休閒特定專區,100000,319,持分移轉,24200000
RPTNMLNJKHKGFBD67CB,和館段,2.99,都市：商,100000,63,持分移轉,01000000
RPTNMLNJKHKGFBD67CB,和館段,6.78,都市：商,100000,63,持分移轉,01000004
RPPNMLNLJHKGFKD28CB,市政段,24.22,都市：住,100000,479,持分移轉,01950000
RPQNMLLMJHKGFAD27CB,星鑽段,11.57,都市：其他:第二種觀光休閒特定專區,100000,483,持分移轉,24200000
RPPNMLNJKHKGFAD17CB,武聖段,2.46,都市：住,10000,44,持分移轉,25340000
RPPNMLNJKHKGFAD17CB,武聖段,1.16,都市：住,10000,44,持分移轉,25340001
RPPNMLNJKHKGFAD17CB,武聖段,12.08,都市：住,10000,44,持分移轉,25340002
RPPNMLNJKHKGFAD17CB,武聖段,6.43,都市：住,10000,44,持分移轉,25340003
RPRNMLNJKHKGFKD38CB,竹行段,4.33,都市：住,10000,127,持分移轉,11560000
RPRNMLNJKHKGFKD38CB,竹行段,14.22,都市：住,10000,127,持分移轉,11580000
RPSNMLNJKHKGFKD48CB,竹行段,6.28,都市：住,10000,184,持分移轉,11560000
RPSNMLNJKHKGFKD48CB,竹行段,20.61,都市：住,10000,184,持分移轉,11580000
RPSNMLPJKHKGFID48CB,武東段,30.29,都市：住,100000,942,持分移轉,04850000
RPRNMLOJKHKGFAD47CB,文元段,42.21,都市：住,1,1,全筆移轉,03900015
RPRNMLOJKHKGFAD47CB,北元段,5.74,都市：住,1,1,全筆移轉,01020025
RPRNMLOJKHKGFAD47CB,文元段,18.68,都市：其他:道路用地,100000,6407,持分移轉,03910000
RPPNMLPJKHKGFKD38CB,平道段,26.26,都市：商,10000,73,持分移轉,02990000
RPPNMLQJKHKGFDD77CB,金華段,25.58,都市：住,100000,1747,持分移轉,08740000
RPWNMLRJKHKGFID09CB,大同段,32.37,都市：住,100000,1146,持分移轉,02520000
RPXNMLRJKHKGFID56CB,大同段,32.37,都市：住,100000,1146,持分移轉,02520000
RPPNMLRJKHKGFID38CB,大同段,32.20,都市：住,100000,1140,持分移轉,02520000
RPPNMLSJKHKGFAD67CB,星鑽段,7.64,都市：其他:第二種觀光休閒特定專用區,100000,319,持分移轉,24200000
RPPNMLTJKHKGFHD48CB,富強段,20.92,都市：住,10000,113,持分移轉,03160002
RPPNMLKKKHKGFAD96CB,金城段,60.12,都市：住,100000,2704,持分移轉,00670002
RPPNMLLKKHKGFHD77CB,港口段,33.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1419,持分移轉,14910002
