鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
安平區,租賃房屋+車位,臺南市安平區永華路二段２８６號二十八樓,0.0,,,,1140122,土地0建物1車位1,二十八層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1070921,190.49,3,2,2,有,有,有,45000,236,坡道平面,36.46,0,租金總額含管理費；網路費；,RPUNMLMLJHKGFAD77CC,整棟(戶)出租,有,1140122~1150721,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般代管
中西區,租賃房屋,臺南市中西區北門路一段１２３巷１７號,0.0,,,,1140121,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住家用,磚造,0490101,76.8,1,2,1,有,無,無,20000,260,,0.0,0,,RPRPMLMLJHKGFAD67CC,,無,1140301~1170228,無,冷氣、洗衣機,
東區,租賃房屋,臺南市東區生產路２９７巷１２號,0.0,,,,1140121,土地0建物0車位0,全,2,透天厝,住商用,加強磚造,0680308,20.4,6,4,6,有,無,有,12000,588,,0.0,0,多人共同承租2；租金總額含水費；網路費；,RPSNMLMLJHKGFCD77CC,分租套房,無,1140121~1150121,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
東區,租賃房屋,臺南市東區崇明２４街８０號２樓之１３,0.0,,,,1140121,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1110601,44.519999999999996,1,0,1,有,有,有,14300,321,,0.0,0,管理費:1200元.水費250元,RPWNMLMLJHKGFCD18CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
新市區,租賃房屋,臺南市新市區仁愛街１４７號,0.0,,,,1140122,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700722,159.92,6,2,2,有,無,有,18000,113,,0.0,0,1.契約書未約定土地租賃標的。2.由所有權人提供出租資訊。,RPQNMLMLJHKGFHD08CC,分層出租,無,1140203~1150202,無,冷氣、熱水器、冰箱,
安南區,租賃房屋,臺南市安南區郡安路六段５３號,0.0,,,,1140122,土地0建物1車位0,一層,2,店面(店鋪),住家用,加強磚造,0681227,55.89,5,2,3,有,無,無,19000,340,,0.0,0,,RPPNMLNLJHKGFBD47CC,,無,1140301~1170228,無,熱水器,
安南區,租賃房屋+車位,臺南市安南區博和路２２１號五樓之８,0.0,,,,1140121,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130229,152.93,2,2,2,有,有,無,22000,144,坡道平面,23.33,0,1.契約書未約定土地租賃標的2.由出租人提供租屋資訊租金總額含管理費；,RPSNMLNLJHKGFBD77CC,整棟(戶)出租,有,1140301~1150228,有,冷氣、熱水器,
善化區,租賃房屋,臺南市善化區溪尾１８３之１號,73.57,,鄉村區,乙種建築用地,1140123,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680801,106.68,4,2,3,有,無,無,18000,169,,0.0,0,,RPSNMLNLJHKGFHD38CC,整棟(戶)出租,無,1140205~1170204,無,冷氣、洗衣機,
仁德區,租賃房屋,臺南市仁德區文賢路二段１５巷１８弄１７號９樓之２,0.0,,,,1140123,土地0建物0車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920910,14.88,5,2,5,有,無,有,8500,571,,0.0,0,910租金總額含水費；網路費；其他垃圾代收費；,RPUNMLNLJHKGFID68CC,分租套房,無,1140123~1150122,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
