編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLMLJHKGFAD77CC,6,106.10,集合住宅,鋼筋混凝土構造,107年9月21日,二十九層,,
RPUNMLMLJHKGFAD77CC,6,84.39,本共有部分之項目有門廊、門廳、垃圾暫存空間、防災中心、管委會使用空間、樓梯間、車道、出入口緩衝空間、外廊、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,107年9月21日,二十九層,,
RPRPMLMLJHKGFAD67CC,65,76.80,住家用,磚造,49年1月1日,三層,,
RPTNMLOLJHKGFAD87CC,13,21.49,住家用,鋼筋混凝土構造,101年6月4日,五層,,
RPSNMLOLJHKGFAD77CC,43,237.99,避難室,鋼筋混凝土造,70年9月14日,七層,,
RPUNMLOLJHKGFAD97CC,43,80.79,住家用,鋼筋混凝土造,70年9月14日,七層,,
RPPOMLOLJHKGFCD77CC,46,93.44,住商用,加強磚造,68年2月27日,二層,,
RPSNMLMLJHKGFCD77CC,46,20.40,住商用,加強磚造,68年3月8日,二層,,
RPWNMLMLJHKGFCD18CC,3,27.74,集合住宅,鋼筋混凝土構造,111年6月1日,六層,,
RPWNMLMLJHKGFCD18CC,3,16.78,本共有部分之項目有：防空避難室兼停車空間、梯廳、安全梯、台電配電室、緊急發電機、電信室、消防機房、汙水機房、雨水機房、水箱、管理委員會空間、中央監控室、戶外安全梯、機房、管委會空間（走廊）、管委會空間等十六項。,鋼筋混凝土構造,111年6月1日,六層,,
RPSNMLOLJHKGFHD48CC,9,24.35,住家用,鋼筋混凝土造,105年3月4日,四層,,
RPQNMLOLJHKGFHD28CC,12,25.64,店舖、停車空間、住宅,鋼筋混凝土造,102年1月15日,四層,,
RPRNMLOLJHKGFHD38CC,10,18.00,住家用,鋼筋混凝土造,104年6月30日,四層,,
RPQNMLMLJHKGFHD08CC,44,159.92,住商用,鋼筋混凝土造,70年7月22日,三層,,
RPSNMLNLJHKGFHD38CC,45,106.68,住家用,加強磚造,68年8月1日,二層,,
RPPNMLPLJHKGFHD28CC,10,18.00,住家用,鋼筋混凝土造,103年9月25日,四層,,
RPPNMLRLJHKGFCD97CC,49,13.22,住商用,鋼筋混凝土造,64年9月10日,三層,,
RPQNMLRLJHKGFCD08CC,35,18.18,住家用,鋼筋混凝土造,78年8月30日,五層,,
RPPNMLRLJHKGFAD77CC,38,15.00,住商用,鋼筋混凝土造,75年9月2日,五層,,
RPRNMLRLJHKGFCD18CC,20,16.00,住宅、停車空間,ＲＣ造,93年11月16日,五層,,
RPWNMLNJKHKGFAD97CC,4,53.79,集合住宅,鋼筋混凝土構造,110年5月3日,十八層,,
RPWNMLNJKHKGFAD97CC,4,38.74,本共有部分之項目有防災中心、停車空間、機電設備空間、防空避難室兼停車空間、台電配電場所、自來水箱、車道、門廳、儲藏室、樓梯間、梯廳、昇降梯、屋頂平台等１３項。,鋼筋混凝土構造,110年5月3日,十八層,,
RPWNMLNJKHKGFCD18CC,32,73.26,住家用,鋼筋混凝土造,82年7月19日,六層,,
RPWNMLNJKHKGFCD18CC,32,28.09,共有部分,鋼筋混凝土造,82年7月19日,六層,,
RPXNMLNJKHKGFCD28CC,27,93.20,住家用,鋼筋混凝土造,86年9月8日,八層,,
RPXNMLNJKHKGFCD28CC,27,8.17,共有部分,鋼筋混凝土造,86年9月8日,八層,,
RPXNMLNJKHKGFCD28CC,27,29.95,共有部分,鋼筋混凝土造,86年9月8日,八層,,
RPPNMLNLJHKGFBD47CC,45,55.89,住家用,加強磚造,68年12月27日,二層,,
RPSNMLNLJHKGFBD77CC,1,84.41,集合住宅,鋼筋混凝土造,113年2月29日,七層,,
RPSNMLNLJHKGFBD77CC,1,68.52,本共有部分之項目有：防空避難室兼停車空間、停車空間、樓梯間、梯廳、升降機道、機械室、水箱、管委會使用空間、機電設備空間、車道、機械設備空間、門廊共１２項。,鋼筋混凝土造,113年2月29日,七層,,
RPOOMLNJKHKGFCD47CC,44,25.00,店舖、住宅,鋼筋混凝土造,70年7月15日,四層,,
RPQOMLNJKHKGFCD67CC,43,134.95,住家用,鋼筋混凝土造,71年5月20日,五層,,
RPQOMLNJKHKGFCD67CC,43,34.93,共有部分,鋼筋混凝土造,71年5月20日,五層,,
RPTOMLNJKHKGFCD97CC,29,82.78,住家用,鋼筋混凝土造,84年11月15日,二十三層,,
RPTOMLNJKHKGFCD97CC,29,2.57,共有部分,鋼筋混凝土造,84年11月15日,二十三層,,
RPTOMLNJKHKGFCD97CC,29,21.05,共有部分,鋼筋混凝土造,84年11月15日,二十三層,,
RPQNMLNJKHKGFHD08CC,30,92.06,住家用,鋼筋混凝土造,83年9月23日,八層,,
RPQNMLNJKHKGFHD08CC,30,13.69,梯間，機械室，水箱,鋼筋混凝土造,83年9月23日,八層,,
RPQNMLNJKHKGFHD08CC,30,12.29,,鋼筋混凝土造,83年9月23日,八層,,
RPRNMLNJKHKGFHD18CC,46,155.21,住商用,鋼筋混凝土造,68年7月9日,三層,,
RPOOMLOLJHKGFKD48CC,30,103.70,住家用,鋼筋混凝土造,84年5月23日,十六層,,
RPOOMLOLJHKGFKD48CC,30,23.50,共有部分,鋼筋混凝土造,84年5月23日,十六層,,
RPVOMLOLJHKGFKD56CC,26,78.32,住家用,鋼筋混凝土造,88年5月19日,十四層,,
RPVOMLOLJHKGFKD56CC,26,23.85,共有部分,鋼筋混凝土造,88年5月19日,十四層,,
RPVOMLOLJHKGFKD56CC,26,8.70,共有部分,鋼筋混凝土造,88年5月19日,十四層,,
RPQNMLNLJHKGFKD48CC,18,8.54,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPQNMLNLJHKGFKD48CC,18,8.54,共有部分,鋼筋混凝土造,95年9月18日,八層,,
RPSNMLNJKHKGFKD58CC,27,20.41,住家用,鋼筋混凝土造,87年6月2日,七層,,
RPSNMLNJKHKGFKD58CC,27,2.23,共有部分,鋼筋混凝土造,87年6月2日,七層,,
RPSNMLNJKHKGFKD58CC,27,5.42,共有部分,鋼筋混凝土造,87年6月2日,七層,,
RPUNMLNJKHKGFKD78CC,18,9.21,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPUNMLNJKHKGFKD78CC,18,9.18,共有部分,鋼筋混凝土造,95年9月18日,八層,,
RPTNMLNJKHKGFKD68CC,18,8.64,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPTNMLNJKHKGFKD68CC,18,8.62,共有部分,鋼筋混凝土造,95年9月18日,八層,,
RPPNMLOJKHKGFAD37CC,30,28.45,住家用,鋼筋混凝土造,84年7月4日,十八層,,
RPPNMLOJKHKGFAD37CC,30,12.89,共有部分,鋼筋混凝土造,84年7月4日,十八層,,
RPROMLNJKHKGFKD58CC,11,21.49,住宅，停車空間,鋼筋混凝土構造,102年8月21日,四層,,
RPQNMLOJKHKGFAD47CC,32,89.43,住家用,鋼筋混凝土造,81年11月23日,七層,,
RPQNMLOJKHKGFAD47CC,32,21.86,共有部分,鋼筋混凝土造,81年11月23日,七層,,
RPQNMLOJKHKGFAD47CC,32,6.14,共有部分,鋼筋混凝土造,81年11月23日,七層,,
RPPNMLRLJHKGFKD78CC,36,33.00,住商用,鋼筋混凝土造,78年2月20日,四層,,
RPUNMLOJKHKGFAD87CC,9,89.06,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,,
RPUNMLOJKHKGFAD87CC,9,37.98,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,,
RPTNMLOJKHKGFAD77CC,39,95.84,住家用,鋼筋混凝土造,75年7月10日,五層,,
RPTNMLOJKHKGFAD77CC,39,17.71,共有部分,鋼筋混凝土造,75年7月10日,五層,,
RPRNMLOJKHKGFAD57CC,31,110.14,住家用,鋼筋混凝土造,82年8月4日,八層,,
RPRNMLOJKHKGFAD57CC,31,22.22,共有部分,鋼筋混凝土造,82年8月4日,八層,,
RPRNMLOJKHKGFAD57CC,31,19.45,共有部分,鋼筋混凝土造,82年8月4日,八層,,
RPSNMLOJKHKGFAD67CC,31,32.79,住家用,鋼筋混凝土造,82年11月25日,七層,,
RPSNMLOJKHKGFAD67CC,31,13.06,共有部分,鋼筋混凝土造,82年11月25日,七層,,
RPWNMLOJKHKGFAD08CC,9,58.47,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,,
RPWNMLOJKHKGFAD08CC,9,24.72,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,,
RPQOMLOJKHKGFAD57CC,30,164.44,住商用,鋼筋混凝土造,84年4月27日,四層,,
RPVNMLOJKHKGFAD97CC,30,28.45,住家用,鋼筋混凝土造,84年7月4日,十八層,,
RPVNMLOJKHKGFAD97CC,30,12.89,共有部分,鋼筋混凝土造,84年7月4日,十八層,,
