編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLNLJHKGFHD38CC,什美段,73.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01740000
RPWNMLOJKHKGFKD09CC,橋北段,14.87,都市：住,,,,00130000
RPQNMLOLJHKGFID38CC,勝利段,195.06,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08510000
RPQNMLRJKHKGFBD87CC,溪頂段,87.10,都市：住,,,,15800000
RPSNMLLKKHKGFHD18CC,善中段,73.16,都市：住,,,,16110000
RPSNMLLKKHKGFHD18CC,善中段,6.63,都市：住,,,,16650000
RPVNMLLKKHKGFKD78CC,兵北段,3.85,都市：住,,,,08500000
RPSNMLKKKHKGFKD38CC,橋北段,16.36,都市：住,,,,00520000
RPRNMLNKKHKGFID38CC,白崙段,10.12,都市：商,,,,00720000
RPVNMLRKKHKGFKD76CC,永興段,15.57,都市：住,,,,01470024
RPVNMLRKKHKGFKD76CC,永興段,1.91,都市：住,,,,01470004
RPQNMLLLKHKGFKD38CC,二王段,79.33,都市：商,,,,08990000
RPSNMLRKKHKGFCD28CC,裕東段,180.60,都市：住,,,,06290001
RPSNMLRKKHKGFCD28CC,裕東段,180.60,都市：住,,,,06290002
RPQNMLOKKHKGFID38CC,二空段,15.50,都市：住,,,,10670000
