編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLMLJHKGFAD77CC,坡道平面,0,36.46,地下二樓
RPWNMLNJKHKGFAD97CC,升降機械,0,11.17,地下二樓
RPSNMLNLJHKGFBD77CC,坡道平面,0,23.33,地下一樓
RPWNMLOJKHKGFKD09CC,坡道平面,0,19.23,地下三樓
RPSNMLPJKHKGFAD77CC,坡道機械,0,16.66,地下四樓
RPROMLPJKHKGFAD77CC,坡道平面,0,30.55,地下二樓
RPUNMLPJKHKGFHD68CC,升降機械,0,,地下一樓
RPVNMLQJKHKGFKD56CC,坡道機械,0,,地下二樓
RPXNMLQJKHKGFKD76CC,升降機械,0,,地下一樓
RPQNMLRJKHKGFAD77CC,坡道平面,0,27.34,地下五樓含以下
RPQNMLRJKHKGFAD77CC,坡道平面,0,27.34,地下五樓含以下
RPPNMLKKKHKGFID87CC,坡道機械,2000,,地下一樓
RPSNMLKKKHKGFKD38CC,坡道平面,0,20.49,地下二樓
RPXNMLMKKHKGFAD08CC,坡道平面,0,,地下一樓
RPPNMLSJKHKGFDD08CC,坡道平面,0,,地下一樓
RPPOMLNKKHKGFKD48CC,坡道機械,0,,地下一樓
RPRNMLNKKHKGFID38CC,坡道平面,0,17.45,地下三樓
RPTNMLOKKHKGFKD88CC,坡道機械,0,10.33,地下三樓
RPRNMLRKKHKGFBD08CC,坡道平面,1000,29.98,地下一樓
RPSNMLOKKHKGFHD48CC,坡道平面,0,33.77,地下一樓
RPVNMLRKKHKGFKD76CC,坡道平面,0,40.45,地下二樓
RPSNMLSKKHKGFKD56CC,一樓平面,0,9.00,一樓
RPQNMLRKKHKGFCD08CC,坡道平面,2500,25.33,地下三樓
RPUNMLLLKHKGFBD87CC,坡道機械,0,21.38,地下三樓
RPSOMLRKKHKGFCD38CC,坡道平面,3000,29.01,地下二樓
RPWNMLOLKHKGFKD66CC,坡道平面,0,36.35,地下一樓
RPQNMLOKKHKGFID38CC,坡道平面,0,32.27,地下三樓
RPPNMLRKKHKGFID58CC,坡道平面,1000,32.27,地下二樓
