鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
前金區,房地(土地+建物),高雄市前金區自立二路３之６號,5.2,都市：其他:第二種特定商業專用區,,,1140205,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0631121,9.69,4,2,3,有,無,1250000,128999,,0.0,0,,RPUNMLNKKHKGFAE87DA,9.69,0.0,0.0,無,001
前金區,房地(土地+建物),高雄市前金區大同一路２１７號,4.4,都市：其他:第二種特定商業專用區,,,1140204,土地2建物1車位0,全,三層,透天厝,,加強磚造,0570614,7.75,4,2,3,有,無,1050000,135484,,0.0,0,,RPVNMLNKKHKGFAE97DA,7.75,0.0,0.0,無,002
鼓山區,土地,內惟段三小段573地號,17.0,都市：其他:道路用地,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,20588,,0.0,0,包含公共設施保留地用地；,RPQNMLRKKHKGFAE87DA,0.0,0.0,0.0,無,003
楠梓區,房地(土地+建物),高雄市楠梓區楠都東街１８３號六樓之２７,3.69,商,,,1140211,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,24.580000000000002,1,0,1,有,有,1620000,65907,,0.0,0,含傢俱設備費；,RPTPMLMKKHKGFEE28DA,18.14,0.0,0.0,有,004
楠梓區,土地,和平段一小段428地號,67.0,農,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1863900,27819,,0.0,0,,RPXPMLSKKHKGFEE66DA,0.0,0.0,0.0,無,005
楠梓區,土地,和平段一小段428地號,67.0,農,,,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1783540,26620,,0.0,0,,RPOQMLSKKHKGFEE48DA,0.0,0.0,0.0,無,005
岡山區,房地(土地+建物),高雄市岡山區成功路１３６號四樓之６,31.29,住,,,1140213,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110627,69.38,2,1,2,有,有,2500000,36033,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKKHKGFFE58DA,46.7,0.0,4.75,有,007
燕巢區,土地,燕西段1085-4地號,41.18,住,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,496000,12045,,0.0,0,本筆土地為裡地無連接道路瑕疵物件；,RPRNMLOKKHKGFFE18DA,0.0,0.0,0.0,無,
燕巢區,土地,燕西段1085-5地號,35.0,住,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,420000,12000,,0.0,0,本筆土地為裡地無連接道路瑕疵物件；,RPSNMLOKKHKGFFE28DA,0.0,0.0,0.0,無,
橋頭區,土地,仕興段804-1地號,28.0,住,,,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1945800,69493,,0.0,0,畸零地或有合併使用效益；,RPPNMLQKKHKGFFE18DA,0.0,0.0,0.0,無,
橋頭區,土地,芋林段1341-4地號,76.8,,鄉村區,乙種建築用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,967680,12600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPXOMLSKKHKGFFE66DA,0.0,0.0,0.0,無,
鳳山區,土地,新甲段1159-6地號,46.32,都市：其他:道路用地,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,975976,21070,,0.0,0,包含公共設施保留地用地；,RPXNMLNKKHKGFGE78DA,0.0,0.0,0.0,無,
鳥松區,房地(土地+建物)+車位,高雄市鳥松區明湖路１３號五樓之１,50.89,住,,,1140205,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970115,252.08999999999997,3,2,2,有,有,27200000,107898,坡道平面,27.72,0,,RPPNMLRJKHKGFIE48DA,133.61,8.07,16.46,有,
仁武區,房地(土地+建物),高雄市仁武區澄仁路４２號,39.56,商,,,1140209,土地1建物1車位0,全,四層,透天厝,商辦用,鋼筋混凝土造,0940222,81.54,5,2,3,有,無,7000000,85847,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKKHKGFIE08DA,77.7,0.0,3.84,無,008
大社區,房地(土地+建物),高雄市大社區翠屏路８４巷５９號十八樓,17.54,住,,,1140207,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830128,119.16,3,2,2,有,有,5200000,43639,,0.0,0,,RPROMLKKKHKGFIE18DA,86.18,0.67,5.7,有,
仁武區,土地,仁德段242地號,734.94,都市：其他:道路用地,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13544004,18429,,0.0,0,包含公共設施保留地用地；,RPVPMLNKKHKGFIE98DA,0.0,0.0,0.0,無,009
路竹區,土地,東安段1081地號,11.37,住,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,238700,20994,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKKHKGFJE98DA,0.0,0.0,0.0,無,010
大寮區,房地(土地+建物),高雄市大寮區立隆街１５９號,91.0,住,,,1140213,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0720325,137.4,3,1,2,有,無,2600000,18923,,0.0,0,,RPPNMLOKKHKGFLE58DA,137.4,0.0,0.0,無,
林園區,土地,新測段145地號,2844.93,住,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,98968002,34787,,0.0,0,,RPVNMLTKKHKGFLE07DA,0.0,0.0,0.0,無,011
林園區,土地,新測段151地號,62.75,都市：其他:道路用地,,,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,238450,3800,,0.0,0,,SPVNMLTKKHKGFLE17DA,0.0,0.0,0.0,無,012
鳳山區,土地,竹子腳段25-12地號,97.0,住,,,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11349000,117000,,0.0,0,,RPPNMLSKKHKGFGE58EA,0.0,0.0,0.0,無,
林園區,房地(土地+建物),高雄市林園區五福路２５２巷１５弄３６號,120.0,住,,,1140207,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0770105,178.35,4,3,4,有,無,2440000,13681,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKKHKGFLE56EA,167.32,5.15,5.88,無,
鼓山區,房地(土地+建物),高雄市鼓山區篤敬路３８號八樓之１,2.3,商,,,1140203,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850405,29.17,2,1,2,有,有,2220000,76132,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKLKHKGFAE87DA,17.97,0.2,2.09,有,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路２３８之１號八樓,17.86,住,,,1140201,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1081018,147.05,3,1,2,有,有,10500000,71404,坡道平面,26.41,0,,RPWOMLNJKHKGFCE28DA,69.42,2.39,6.04,有,013
三民區,房地(土地+建物),高雄市三民區昌裕街１０８號五樓之１５,5.66,住,,,1140211,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850125,36.04,1,1,1,有,有,2160000,59933,,0.0,0,,RPRPMLLKKHKGFDE87DA,23.08,0.0,0.0,有,014
梓官區,房地(土地+建物),高雄市梓官區赤崁北路３０號,51.06,,一般農業區,農牧用地,1140208,土地6建物1車位0,全,一層,透天厝,住家用,加強磚造,0630900,1.14,6,4,4,有,無,150000,131579,,0.0,0,本案持分交易，共有6筆土地、建物2筆已保存、2筆未保存頂樓加蓋；其他增建；未登記建物；,RPQPMLKKKHKGFFE87DA,1.14,0.0,0.0,無,015
梓官區,土地,梓和段491地號,17.26,都市：其他:道路用地,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,365400,21170,,0.0,0,包含公共設施保留地用地；,RPWNMLOKKHKGFFE68DA,0.0,0.0,0.0,無,016
岡山區,土地,清水段181地號,690.93,,一般農業區,農牧用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2625524,3800,,0.0,0,農作物；,RPRNMLKLKHKGFFE87DA,0.0,0.0,0.0,無,017
鳳山區,土地,文山段240-2地號,313.19,都市：其他:道路用地,,,1140208,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8043169,25681,,0.0,0,包含公共設施保留地用地；,RPTNMLSKKHKGFGE88DA,0.0,0.0,0.0,無,018
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝利路４３號八樓,21.35,住,,,1140207,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605,84.98,3,1,2,有,有,1369945,16119,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLSKKHKGFGE48DA,47.58,0.0,5.34,有,019
六龜區,土地,埔仔厝段887地號,1258.09,,一般農業區,農牧用地,1140201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,1272,,0.0,0,農作物；,RPPNMLKLKHKGFKE18DA,0.0,0.0,0.0,無,020
林園區,房地(土地+建物),高雄市林園區忠孝西路９８號,94.0,住,,,1140210,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0640701,146.0,7,3,3,有,無,9600000,65753,,0.0,0,含裝潢費；含傢俱設備費；其他增建；包含公共設施保留地用地；,RPOOMLTKKHKGFLE09DA,146.0,0.0,0.0,無,
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路２號二十樓之５,2.9,商,,,1140204,土地1建物1車位1,二十層,二十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870714,77.72999999999999,0,0,0,無,有,4000000,51460,坡道平面,4.9,0,二等親買賣親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKKHKGFCE28EA,48.91,1.28,0.0,有,021
三民區,房地(土地+建物),高雄市三民區三德西街８６號,4.3,都市：其他:第二種特定商業專用區,,,1140207,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0580318,12.04,5,1,4,有,無,1000000,83056,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKKHKGFDE48EA,12.04,0.0,0.0,無,
大樹區,土地,三和段439地號,234.15,,一般農業區,農牧用地,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,1495,,0.0,0,農作物；,RPQNMLTKKHKGFGE78EA,0.0,0.0,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路４５８號五樓之２０,6.09,商,,,1140213,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,62.989999999999995,1,1,1,有,有,6020000,95571,,0.0,0,,RPTNMLOKKHKGFAE87DA,41.73,1.28,0.0,有,022
前金區,土地,後金段293-9地號,4.05,都市：其他:第三種特定商業專用區,,,1140213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2440000,602469,,0.0,0,本案買賣雙方約定印花稅、登記規費各半。親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTKKHKGFAE58DA,0.0,0.0,0.0,無,023
