編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLNKKHKGFFE58DA,3,51.45,集合住宅,鋼筋混凝土造,111年6月27日,五層,四層 陽台,全筆移轉
RPWNMLNKKHKGFFE58DA,3,17.93,本共有部分之項目有管委會使用空間、樓梯間、基地內通路兼車道、門廊、機電空間（電信室）、機械室、水箱、停車空間等８項。,鋼筋混凝土造,111年6月27日,五層,,持分移轉
RPUNMLNKKHKGFAE87DA,50,9.69,店舖、住宅,加強磚造,63年11月21日,三層,一層 二層 三層 騎樓,持分移轉
RPVNMLNKKHKGFAE97DA,57,7.75,,加強磚造,57年6月14日,三層,一層 二層 三層 騎樓,持分移轉
RPPNMLOKKHKGFLE58DA,42,137.40,住商用,鋼筋混凝土造,72年3月25日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLKKKHKGFIE08DA,20,81.54,停車空間、店舖、辦公室,鋼筋混凝土造,94年2月22日,四層,一層 二層 三層 四層 陽台,持分移轉
RPPNMLRJKHKGFIE48DA,17,158.14,集合住宅,鋼筋混凝土造,97年1月15日,十五層,五層 陽台 雨遮,全筆移轉
RPPNMLRJKHKGFIE48DA,17,93.95,共有部分,鋼筋混凝土造,97年1月15日,二十三層,,持分移轉
RPWOMLNJKHKGFCE28DA,5,77.85,集合住宅,鋼筋混凝土,108年10月18日,十五層,八層 陽台 雨遮,全筆移轉
RPWOMLNJKHKGFCE28DA,5,69.20,本共有部分之項目有防空避難室兼停車空間、外廊、樓梯間、門廳、供管委會使用空間、機械室、水箱等７項。,見其它登記事項,108年10月18日,十五層,,持分移轉
RPOOMLTKKHKGFLE09DA,50,146.00,住商用,加強磚造,64年7月1日,二層,一層 二層 騎樓,全筆移轉
RPROMLKKKHKGFIE18DA,31,26.61,共有部分,鋼筋混凝土造,83年1月28日,十九層,,持分移轉
RPROMLKKKHKGFIE18DA,31,92.55,住家用,鋼筋混凝土造,83年1月28日,十九層,十八層 陽台 花台,全筆移轉
RPTNMLOKKHKGFAE87DA,16,43.01,住家用,鋼筋混凝土造,98年3月25日,十五層,五層 雨遮,全筆移轉
RPTNMLOKKHKGFAE87DA,16,19.98,共有部分,鋼筋混凝土造,98年3月25日,十五層,,持分移轉
RPTPMLMKKHKGFEE28DA,43,6.44,,鋼筋混凝土造,70年12月31日,六層,,持分移轉
RPTPMLMKKHKGFEE28DA,43,18.14,套房公寓,鋼筋混凝土造,70年12月31日,六層,六層,全筆移轉
RPOOMLSKKHKGFGE48DA,13,52.92,集合住宅,鋼筋混凝土造,101年6月5日,十四層,八層 陽台,持分移轉
RPOOMLSKKHKGFGE48DA,13,32.06,本共有部分之項目有：防空避難室兼停車空間、停車空間、門廊、安全梯、緊急升降機、梯廳、排煙室、電梯、污水控制室、發電機室、門廳、進排風管道、過樑、廁所、社區活動室、管理站、活動室、社區教室、警衛室、走廊、管委會使用空間、樓梯間、水箱、電梯機械房等項。,鋼筋混凝土造,101年6月5日,十四層,,持分移轉
RPROMLSKKHKGFCE38DA,33,153.14,住商用,鋼筋混凝土造,81年6月4日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLTKKHKGFLE56EA,37,178.35,住商用,鋼筋混凝土造,77年1月5日,二層,一層 二層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPQOMLNKKHKGFDE87DA,49,116.97,店舖、住宅,鋼筋混凝土造,65年4月26日,三層,一層 二層 三層,全筆移轉
RPQNMLKLKHKGFGE97EA,44,73.53,住家用,鋼筋混凝土造,69年9月27日,五層,三層,全筆移轉
RPQNMLTKKHKGFDE48EA,56,12.04,住家用,加強磚造,58年3月18日,三層,一層 二層 三層 騎樓,持分移轉
RPRPMLLKKHKGFDE87DA,29,23.08,住家用,鋼筋混凝土造,85年1月25日,七層,五層,全筆移轉
RPRPMLLKKHKGFDE87DA,29,12.96,見使用執照,鋼筋混凝土造,85年1月25日,七層,,持分移轉
RPPNMLTKKHKGFCE28EA,27,50.19,商業用,鋼筋混凝土造,87年7月14日,二十八層,二十層 雨遮,持分移轉
RPPNMLTKKHKGFCE28EA,27,27.54,共有部分,鋼筋混凝土造,87年7月14日,二十八層,,持分移轉
RPQOMLMKKHKGFDE77DA,54,211.74,店舖、住宅,加強磚造,59年10月31日,三層,一層 二層 三層 騎樓 地下層,全筆移轉
RPUOMLOKKHKGFDE38DA,56,34.23,住家用,加強磚造,58年2月1日,二層,一層 二層,持分移轉
RPQNMLOLKHKGFCE87DA,45,80.72,住宅,鋼筋混凝土造,68年10月24日,四層,四層,全筆移轉
RPQPMLKKKHKGFFE87DA,,.53,住家用,加強磚造,63年10月0日,一層,一層,持分移轉
RPQPMLKKKHKGFFE87DA,,.61,住家用,加強磚造,63年9月0日,一層,一層,持分移轉
RPWOMLSKKHKGFEE09DA,26,27.46,住家用,鋼筋混凝土結構造,88年6月16日,九層,八層 陽台 雨遮,持分移轉
RPWOMLSKKHKGFEE09DA,26,8.63,見使用執照,見使用執照,88年6月16日,九層,,持分移轉
RPQNMLOLKHKGFFE18DA,37,54.66,住商用,鋼筋混凝土造,77年7月21日,三層,一層 二層 三層,持分移轉
RPRNMLKLKHKGFDE67DA,39,48.28,,鋼筋混凝土造,74年10月28日,七層,五層 陽台,持分移轉
RPPNMLLLKHKGFGE87DA,46,68.73,住家用,鋼筋混凝土造,68年4月30日,五層,五層,全筆移轉
RPUOMLLLKHKGFGE48DA,43,80.59,住家用,鋼筋混凝土造,71年7月10日,五層,五層,全筆移轉
RPQNMLKLKHKGFDE67EA,32,7.77,見使用執照,鋼筋混凝土造,82年7月1日,八層,,持分移轉
