編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOQMLSKKHKGFEE48DA,和平段一小段,67.00,都市：其他:農業區,12,1,持分移轉,04280000
RPSNMLOKKHKGFFE28DA,燕西段,35.00,都市：其他:住宅區,1,1,全筆移轉,10850005
RPQNMLRKKHKGFAE87DA,內惟段三小段,17.00,都市：其他:道路用地,1,1,全筆移轉,05730000
RPXPMLSKKHKGFEE66DA,和平段一小段,67.00,都市：其他:農業區,12,1,持分移轉,04280000
RPWNMLNKKHKGFFE58DA,成功段,31.29,都市：其他:住宅區,10000,319,持分移轉,07230000
RPRNMLOKKHKGFFE18DA,燕西段,41.18,都市：其他:住宅區,1,1,全筆移轉,10850004
RPPNMLQKKHKGFFE18DA,仕興段,28.00,都市：其他:住宅區,1,1,全筆移轉,08040001
RPUNMLNKKHKGFAE87DA,前金段,5.20,都市：其他:第二種特定商業專用區,60,3,持分移轉,04450042
RPVNMLNKKHKGFAE97DA,前金段,3.00,都市：其他:第二種特定商業專用區,60,3,持分移轉,04450041
RPVNMLNKKHKGFAE97DA,前金段,1.40,都市：其他:第二種特定商業專用區,60,3,持分移轉,04450045
RPQNMLTKKHKGFJE98DA,東安段,11.37,都市：其他:住宅區,12,4,持分移轉,10810000
RPPNMLOKKHKGFLE58DA,大寮段芎蕉腳小段,91.00,都市：其他:住宅區,1,1,全筆移轉,10350005
RPRNMLKKKHKGFIE08DA,仁雄段,39.56,都市：其他:鄰里中心商業區,2,1,持分移轉,02820032
RPPNMLSKKHKGFGE58EA,竹子腳段,95.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,00250012
RPPNMLSKKHKGFGE58EA,竹子腳段,2.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,00250026
RPXNMLNKKHKGFGE78DA,新甲段,46.32,都市：其他:道路用地,1000000,198801,持分移轉,11590006
RPXOMLSKKHKGFFE66DA,芋林段,76.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13410004
RPVPMLNKKHKGFIE98DA,仁德段,734.94,都市：其他:道路用地,780000,268000,持分移轉,02420000
RPPNMLRJKHKGFIE48DA,育才段,50.89,都市：其他:第一種住宅區,10000,35,持分移轉,03160000
RPWNMLOKKHKGFFE68DA,梓和段,17.26,都市：其他:道路用地,15220,2244,持分移轉,04910000
RPRNMLKLKHKGFFE87DA,清水段,690.93,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01810000
