編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRJKHKGFIE48DA,坡道平面,0,27.72,地下一樓
RPWOMLNJKHKGFCE28DA,坡道平面,0,26.41,地下二樓
RPOOMLSKKHKGFGE48DA,坡道平面,0,,地下一樓
RPPNMLTKKHKGFCE28EA,坡道平面,0,4.90,地下三樓
RPQNMLKLKHKGFDE67EA,坡道機械,480000,,地下一樓
RPQNMLKLKHKGFEE77EA,坡道平面,1800000,22.99,地下二樓
RPQNMLKLKHKGFEE77EA,坡道平面,1800000,22.99,地下二樓
RPRNMLKLKHKGFDE77EA,坡道機械,500000,,地下一樓
RPPNMLLLKHKGFBE37DA,坡道平面,0,12.65,地下四樓
RPWOMLLKKHKGFEE38DA,坡道平面,2550000,47.98,地下三樓
RPVNMLTKKHKGFBE68DA,坡道平面,0,26.01,地下五樓含以下
RPSOMLLLKHKGFEE08DA,坡道平面,1900000,14.46,地下二樓
RPVNMLRKKHKGFCE58DA,坡道平面,0,,地下一樓
RPWNMLTKKHKGFEE09DA,坡道平面,0,28.73,地下二樓
RPSNMLQJKHKGFLE98DA,一樓平面,0,,一樓
RPWOMLNLJHKGFGE78DA,坡道平面,0,,地下一樓
RPQNMLPJJHKGFDE77DA,坡道機械,0,11.52,地下二樓
RPQNMLOLKHKGFBE77DA,坡道平面,0,15.40,地下二樓
RPPOMLTKKHKGFCE28DA,坡道平面,1250000,21.97,地下二樓
RPPOMLRKJHKGFBE87DA,坡道平面,0,16.86,地下五樓含以下
RPTNMLTKKHKGFEE78DA,坡道機械,0,8.13,地下三樓
RPQNMLRJKHKGFDE08DA,坡道平面,0,22.60,地下二樓
RPRNMLPJKHKGFGE28DA,一樓平面,0,,一樓
RPPOMLMJJHKGFFE67DA,坡道機械,0,9.10,地下三樓
RPPOMLNKJHKGFCE57DA,坡道平面,0,34.76,地下三樓
RPVNMLKKKHKGFCE87DA,坡道機械,0,8.77,地下三樓
RPROMLMKKHKGFDE87DA,坡道平面,0,,地下二樓
RPXNMLOJKHKGFLE66DA,坡道平面,0,24.09,地下二樓
RPSOMLLKKHKGFCE77DA,坡道平面,1500000,24.38,地下三樓
