鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
左營區,房地(土地+建物)+車位,高雄市左營區大中二路,8.47,住,,,1140121,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,89.02,2,1,1,有,無,9600000,109811,坡道機械,12.98,1250000,,RPSNMLLLJHKGFEE87CB,高鐵SONG,A6棟0號,
左營區,房地(土地+建物)+車位,高雄市左營區大中二路,12.02,住,,,1140122,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.28,3,2,2,有,無,14500000,113952,坡道平面,38.34,2200000,,RPTNMLNLJHKGFEE18CB,高鐵SONG,A5棟0號,
仁武區,房地(土地+建物)+車位,高雄市仁武區京富路,12.27,住,,,1140122,土地2建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.18,1,1,2,有,無,7600000,83659,坡道平面,21.46,1600000,,RPPNMLNLJHKGFIE18CB,龍騰鑫世紀,A9棟4號,
三民區,房地(土地+建物)+車位,高雄市三民區澄清路,11.32,住,,,1140122,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.54,2,1,1,有,無,13100000,139119,坡道機械,15.08,1350000,,RPPNMLOLJHKGFDE77CB,綠廳院,E2棟0號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳育路與鳳甲二街,9.85,住,,,1140122,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,83.16,2,1,1,有,無,10450000,122385,坡道平面,15.75,2200000,,RPRNMLOLJHKGFGE28CB,?揚新樂章,A5棟3號,
鳥松區,房地(土地+建物),高雄市鳥松區大昌路與本館路30之6號附近,139.0,住,,,1140122,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,398.84,5,2,7,有,無,60500000,151690,,0.0,0,,RPRNMLOLJHKGFIE48CB,優秀賞56期,A棟5號,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.81,商,,,1140125,土地34建物1車位0,十六層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,66.59,2,1,1,有,無,8950000,134405,,0.0,0,,RPQNMLPLJHKGFAE67CB,港灣1號院,B棟16號,
三民區,房地(土地+建物)+車位,高雄市三民區覺民路,0.0,,,,1140124,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.14,3,2,2,有,無,12250000,86207,坡道平面,27.6,1600000,總價含地上權標的價款426萬元地上權房屋；,RPPNMLQLJHKGFDE97CB,KS1,E6棟0號,
左營區,房地(土地+建物)+車位,高雄市左營區埤仔頭路,16.99,住,,,1140124,土地5建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,,138.45,3,2,2,有,無,16780000,126432,坡道平面,22.34,2100000,,RPPNMLQLJHKGFEE08CB,寶格莉,A棟9號,
岡山區,房地(土地+建物)+車位,高雄市岡山區富貴南街39巷和富貴西街口,26.62,住,,,1140124,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,,88.18,2,2,2,有,無,9960000,112951,一樓平面,0.0,1050000,車位屬無登記面積,RPPNMLRLJHKGFFE28CB,皇家晶典25期-富貴集,A棟3號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,20.26,商,,,1140124,土地1建物1車位1,九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.38,3,2,2,有,無,27830000,136858,坡道平面,22.01,2050000,,RPPNMLNJKHKGFBE37CB,知道明,A3棟9號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,20.91,商,,,1140122,土地1建物1車位1,三層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,220.79,3,2,2,有,無,27880000,129440,坡道平面,22.01,2150000,,RPQNMLNJKHKGFBE47CB,知道明,A2棟3號,
左營區,房地(土地+建物)+車位,高雄市左營區大中二路,14.58,住,,,1140124,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.44,3,2,2,有,無,17800000,119202,坡道平面,36.57,2200000,,RPPNMLNJKHKGFEE67CB,高鐵SONG,A1棟0號,
岡山區,房地(土地+建物)+車位,高雄市岡山區介壽路,22.14,住,,,1140127,土地1建物1車位1,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.83,2,2,2,有,無,20500000,124975,坡道平面,21.6,2100000,,RPPNMLNJKHKGFFE77CB,鑫龍騰鑫首席,A5棟7號,
鼓山區,房地(土地+建物),高雄市鼓山區明倫路vs昌盛路,4.61,商,,,1140122,土地1建物1車位0,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.52,2,1,2,有,無,13310000,194250,,0.0,0,,RPPNMLOJKHKGFAE37CB,郡都巨蛋,A6棟15號,
鼓山區,房地(土地+建物),高雄市鼓山區明倫路vs昌盛路,9.19,商,,,1140125,土地1建物1車位0,壹層+二層,20,店面(店鋪),商業用,鋼筋混凝土造,,136.6,0,0,2,有,無,42000000,307467,,0.0,0,一、二樓開放空間自行隔間,RPQNMLOJKHKGFAE47CB,郡都巨蛋,S棟5號,
鼓山區,房地(土地+建物),高雄市鼓山區明倫路vs昌盛路,4.05,商,,,1140126,土地1建物1車位0,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.19,2,1,1,有,無,11850000,196877,,0.0,0,,RPRNMLOJKHKGFAE57CB,郡都巨蛋,A8棟3號,
鼓山區,房地(土地+建物),高雄市鼓山區明倫路vs昌盛路,5.01,商,,,1140126,土地1建物1車位0,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.44,2,1,2,有,無,14950000,200833,,0.0,0,,RPSNMLOJKHKGFAE67CB,郡都巨蛋,A6棟20號,
小港區,房地(土地+建物)+車位,高雄市小港區坪鳳段686地號,19.18,住,,,1140124,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.22,2,2,1,有,無,6380000,81325,一樓平面,14.91,1150000,,RPPNMLOJKHKGFCE57CB,興璽智慧宅2,A3棟0號,
小港區,房地(土地+建物),高雄市小港區坪鳳段686地號,19.18,住,,,1140124,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.31,2,2,1,有,無,5350000,83191,,0.0,0,,RPQNMLOJKHKGFCE67CB,興璽智慧宅2,A3棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區建國三路與同盟三路交叉口,5.78,商,,,1140131,土地2建物1車位1,十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.48,2,1,1,有,無,13140000,164564,坡道平面,27.09,2050000,,RPQNMLOJKHKGFDE77CB,立信 立.天下,D7棟14號,
梓官區,房地(土地+建物)+車位,高雄市梓官區通安路及通安路181巷及通安路209巷,25.42,,鄉村區,乙種建築用地,1140122,土地4建物1車位1,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,92.42,2,2,2,有,無,7830000,81129,其他,7.0,900000,,RPQNMLOJKHKGFFE97CB,城海戀,B9棟0號,
鳳山區,房地(土地+建物),高雄市鳳山區紅毛港路與鳳和二街,24.93,住,,,1140124,土地2建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.83,2,1,1,有,無,9370000,102036,,0.0,0,,RPPNMLOJKHKGFGE97CB,唯森,A5棟0號,
小港區,房地(土地+建物)+車位,高雄市小港區宏平路439號旁,9.57,商,,,1140121,土地1建物1車位1,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.91,3,2,2,有,無,13800000,94061,坡道平面,23.27,1700000,,RPUNMLPJKHKGFCE18CB,和築親親,B棟2號,
小港區,房地(土地+建物)+車位,高雄市小港區高松路和松直街交叉路口,18.65,商,,,1140121,土地2建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.02,3,2,2,有,無,14850000,85386,坡道平面,23.5,1400000,,RPVNMLPJKHKGFCE28CB,Power City,F棟F1-9號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.81,住,,,1140124,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.05,3,2,2,有,無,23160000,156781,坡道平面,24.85,2120000,,RPPNMLPJKHKGFDE77CB,遠雄沐蘊,A07棟F03號,
