編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQLJHKGFEE08CB,左南段,9.67,都市：住,100000,524,持分移轉,24430000
RPPNMLQLJHKGFEE08CB,左南段,1.32,都市：住,100000,524,持分移轉,24430001
RPPNMLQLJHKGFEE08CB,左南段,4.28,都市：住,100000,524,持分移轉,24530000
RPPNMLQLJHKGFEE08CB,左南段,1.34,都市：住,100000,524,持分移轉,24540000
RPPNMLQLJHKGFEE08CB,左南段,.39,都市：住,100000,524,持分移轉,24930000
RPSNMLLLJHKGFEE87CB,新光段,8.47,都市：住,100000,377,持分移轉,01180000
RPTNMLNLJHKGFEE18CB,新光段,12.02,都市：住,100000,535,持分移轉,01180000
RPPNMLOLJHKGFDE77CB,澄正段,11.32,都市：住,100000,171,持分移轉,00040000
RPPNMLNJKHKGFEE67CB,新光段,14.58,都市：住,100000,649,持分移轉,01180000
RPPNMLOJKHKGFAE37CB,龍華段八小段,4.61,都市：商,100000,454,持分移轉,22570000
RPQNMLPLJHKGFAE67CB,大智段,.08,都市：商,100000,76,持分移轉,07280000
RPQNMLPLJHKGFAE67CB,大智段,.10,都市：商,100000,76,持分移轉,07290000
RPQNMLPLJHKGFAE67CB,大智段,.00,都市：商,100000,76,持分移轉,07300000
RPQNMLPLJHKGFAE67CB,大智段,.03,都市：商,100000,76,持分移轉,07320000
RPQNMLPLJHKGFAE67CB,大智段,.03,都市：商,100000,76,持分移轉,07330000
RPQNMLPLJHKGFAE67CB,大智段,.07,都市：商,100000,76,持分移轉,07340000
RPQNMLPLJHKGFAE67CB,大智段,.02,都市：商,100000,76,持分移轉,07350000
RPQNMLPLJHKGFAE67CB,大智段,.08,都市：商,100000,76,持分移轉,07370000
RPQNMLPLJHKGFAE67CB,大智段,.07,都市：商,100000,76,持分移轉,07380000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07420000
RPQNMLPLJHKGFAE67CB,大智段,.04,都市：商,100000,76,持分移轉,07430000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07440000
RPQNMLPLJHKGFAE67CB,大智段,.04,都市：商,100000,76,持分移轉,07450000
RPQNMLPLJHKGFAE67CB,大智段,.01,都市：商,100000,76,持分移轉,07460000
RPQNMLPLJHKGFAE67CB,大智段,.01,都市：商,100000,76,持分移轉,07470000
RPQNMLPLJHKGFAE67CB,大智段,.03,都市：商,100000,76,持分移轉,07480000
RPQNMLPLJHKGFAE67CB,大智段,.07,都市：商,100000,76,持分移轉,07490000
RPQNMLPLJHKGFAE67CB,大智段,.02,都市：商,100000,76,持分移轉,07500000
RPQNMLPLJHKGFAE67CB,大智段,.01,都市：商,100000,76,持分移轉,07510000
RPQNMLPLJHKGFAE67CB,大智段,.04,都市：商,100000,76,持分移轉,07520000
RPQNMLPLJHKGFAE67CB,大智段,.27,都市：商,100000,76,持分移轉,07530000
RPQNMLPLJHKGFAE67CB,大智段,.13,都市：商,100000,76,持分移轉,07540000
RPQNMLPLJHKGFAE67CB,大智段,1.04,都市：商,100000,76,持分移轉,07550000
RPQNMLPLJHKGFAE67CB,大智段,.06,都市：商,100000,76,持分移轉,07560000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07570000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07580000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07590000
RPQNMLPLJHKGFAE67CB,大智段,.05,都市：商,100000,76,持分移轉,07600000
