編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQLJHKGFEE08CB,坡道平面,2100000,22.34,地下二樓
RPSNMLLLJHKGFEE87CB,坡道機械,1250000,12.98,地下四樓
RPPNMLQLJHKGFDE97CB,坡道平面,1600000,27.60,地下一樓
RPTNMLNLJHKGFEE18CB,坡道平面,2200000,38.34,地下二樓
RPPNMLOLJHKGFDE77CB,坡道機械,1350000,15.08,地下三樓
RPPNMLNJKHKGFEE67CB,坡道平面,2200000,36.57,地下一樓
RPPNMLOJKHKGFCE57CB,一樓平面,1150000,14.91,一樓
RPPNMLNJKHKGFFE77CB,坡道平面,2100000,21.60,地下二樓
RPPNMLRLJHKGFFE28CB,一樓平面,1050000,,一樓
RPQNMLOJKHKGFFE97CB,其他,900000,7.00,一樓
RPVNMLPJKHKGFCE28CB,坡道平面,1400000,23.50,地下二樓
RPUNMLPJKHKGFCE18CB,坡道平面,1700000,23.27,地下一樓
RPPNMLPJKHKGFDE77CB,坡道平面,2120000,24.85,地下三樓
RPQNMLPJKHKGFDE87CB,坡道平面,2250000,20.76,地下二樓
RPRNMLPJKHKGFFE18CB,坡道平面,1650000,23.23,地下三樓
RPSNMLPJKHKGFFE28CB,坡道平面,1400000,21.41,地下三樓
RPWNMLPJKHKGFFE68CB,坡道平面,1650000,23.23,地下三樓
RPOOMLPJKHKGFFE97CB,坡道平面,1550000,23.23,地下二樓
RPXNMLPJKHKGFFE78CB,坡道平面,1750000,23.23,地下二樓
RPQNMLRJKHKGFFE28CB,一樓平面,1400000,20.60,一樓
RPPNMLSJKHKGFBE87CB,坡道平面,2100000,22.55,地下三樓
RPQNMLOJKHKGFDE77CB,坡道平面,2050000,27.09,地下五樓含以下
RPPNMLNJKHKGFBE37CB,坡道平面,2050000,22.01,地下三樓
RPQNMLNJKHKGFBE47CB,坡道平面,2150000,22.01,地下二樓
RPVOMLSJKHKGFCE68CB,坡道平面,2300000,14.55,地下五樓含以下
RPUNMLSJKHKGFEE68CB,坡道平面,2200000,19.58,地下三樓
RPVNMLSJKHKGFEE78CB,坡道平面,2000000,19.58,地下四樓
RPWNMLSJKHKGFEE88CB,坡道平面,2350000,19.58,地下二樓
RPXNMLSJKHKGFEE98CB,坡道平面,2200000,19.58,地下三樓
RPPOMLSJKHKGFEE28CB,坡道平面,1950000,19.58,地下三樓
RPQOMLSJKHKGFEE38CB,坡道平面,1850000,19.58,地下四樓
RPSOMLSJKHKGFEE58CB,坡道平面,2000000,19.58,地下三樓
RPROMLSJKHKGFEE48CB,坡道平面,2000000,19.58,地下三樓
RPTOMLSJKHKGFEE68CB,坡道平面,2100000,19.58,地下三樓
RPUOMLSJKHKGFEE78CB,坡道平面,2000000,19.58,地下四樓
RPQNMLTJKHKGFAE97CB,坡道平面,2250000,37.57,地下五樓含以下
RPPNMLKKKHKGFAE07CB,坡道平面,2350000,23.26,地下四樓
RPPNMLKKKHKGFCE27CB,坡道平面,2300000,14.55,地下五樓含以下
RPRNMLKKKHKGFCE47CB,坡道平面,2300000,14.55,地下五樓含以下
RPSNMLKKKHKGFCE57CB,坡道平面,2300000,14.55,地下五樓含以下
RPQNMLKKKHKGFCE37CB,坡道平面,2200000,17.56,地下五樓含以下
RPPNMLKKKHKGFEE47CB,坡道機械,1000000,19.83,地下三樓
RPTNMLKKKHKGFCE67CB,坡道平面,2300000,14.55,地下五樓含以下
RPPNMLQJKHKGFIE38CB,坡道平面,2000000,17.73,地下三樓
RPPNMLNLJHKGFIE18CB,坡道平面,1600000,21.46,地下三樓
RPTNMLKKKHKGFEE87CB,坡道機械,1450000,15.39,地下一樓
RPRNMLKKKHKGFEE67CB,坡道平面,2200000,25.48,地下四樓
RPPOMLKKKHKGFEE57CB,坡道機械,1450000,15.39,地下一樓
RPVNMLKKKHKGFEE08CB,升降機械,1450000,13.38,一樓
RPSOMLKKKHKGFEE87CB,升降機械,1450000,13.38,一樓
RPOPMLKKKHKGFEE57CB,升降機械,1650000,13.38,一樓
RPXOMLKKKHKGFEE38CB,升降機械,1650000,13.38,一樓
RPPNMLKKKHKGFIE87CB,坡道平面,1900000,25.00,地下二樓
RPPNMLKKKHKGFIE87CB,坡道平面,1900000,25.00,地下二樓
RPUNMLKKKHKGFIE38CB,坡道平面,1850000,25.00,地下二樓
RPVNMLKKKHKGFIE48CB,坡道平面,1800000,25.00,地下二樓
RPTNMLKKKHKGFIE28CB,坡道平面,1850000,25.00,地下二樓
RPSNMLLKKHKGFCE67CB,坡道平面,1750000,27.79,地下二樓
RPWNMLKKKHKGFIE58CB,坡道平面,2220000,24.20,地下二樓
RPXNMLLKKHKGFCE18CB,坡道平面,2300000,14.55,地下五樓含以下
RPUNMLLKKHKGFCE87CB,坡道平面,2150000,19.61,地下二樓
RPPNMLLKKHKGFDE47CB,坡道機械,1250000,19.70,地下五樓含以下
RPQNMLLKKHKGFEE67CB,坡道平面,2300000,38.34,地下一樓
RPPNMLMKKHKGFCE47CB,坡道平面,2300000,14.55,地下五樓含以下
RPQNMLMKKHKGFCE57CB,坡道平面,2300000,14.55,地下五樓含以下
RPRNMLMKKHKGFCE67CB,坡道平面,2300000,14.55,地下五樓含以下
