鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
楠梓區,租賃房屋,高雄市楠梓區後昌路１３２號,72.0,商,,,1140121,土地1建物1車位0,全,3,透天厝,店舖、住宅,鋼筋混凝土造,0680525,156.4,5,2,4,有,無,無,58000,371,,0.0,0,租金總額含稅；含增建或未登記建物；租賃期間有約定不同租金114.1.21-114.2.28 搬遷準備期不計租金，0元整114.3.1-117.2.29 每月租金新台幣58000元117.3.1-120.2.28 每月租金新台幣60900元；,RPUOMLLLJHKGFEE28CC,,無,1140121~1200228,無,熱水器,
仁武區,租賃房屋,高雄市仁武區八德一路２４２號,0.0,,,,1140121,土地0建物1車位0,見其他登記事項,4,店面(店鋪),日用品零售及日常服務業（店舖）住宅、樓梯間、機械房,鋼筋混凝土造,1020705,260.16,5,2,6,有,無,無,48000,185,,0.0,0,租金總額含稅；,RPTNMLLLJHKGFIE48CC,,無,1140215~1170331,無,,
大社區,租賃房屋,高雄市大社區翠屏路８４巷３９號１２樓,0.0,,,,1140121,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830128,43.14,1,0,1,有,有,有,7500,174,,0.0,0,,RPVNMLLLJHKGFIE68CC,獨立套房,有,1140125~1150124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
鼓山區,租賃房屋,高雄市鼓山區美術南二路５２號四樓,0.0,,,,1140122,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971021,161.29,4,2,2,有,有,有,35000,217,,0.0,0,多人共同承租2；租金總額含管理費；未租賃車位，建物登記含有車位面積；,RPUOMLMLJHKGFAE97CC,整棟(戶)出租,有,1140127~1150126,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
鼓山區,租賃房屋,高雄市鼓山區美術北一街５號９樓,0.0,,,,1140121,土地0建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950525,93.91,2,2,1,有,有,有,20500,218,,0.0,0,租金總額含管理費；,RPVOMLMLJHKGFAE08CC,整棟(戶)出租,有,1140121~1150120,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
苓雅區,租賃房屋,高雄市苓雅區自強三路３號３５樓之７L室１-１桌,0.0,,,,1140122,土地0建物1車位0,三十五層,85,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0880401,2.0,0,0,0,無,有,無,2500,1250,,0.0,0,屋主自行隔間出租租金總額含稅；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPQNMLMLJHKGFBE57CC,,有,1140301~1150228,有,,
新興區,租賃房屋,高雄市新興區七賢一路４８０號１０樓之１７,0.0,,,,1140121,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0701204,31.67,1,0,1,有,有,有,6500,205,,0.0,0,此為社會住宅水電瓦斯管理費均由承租人付擔,RPTNMLMLJHKGFBE87CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
三民區,租賃房屋,高雄市三民區民族一路３８０號,54.01,商,,,1140121,土地2建物1車位0,全,2,透天厝,住商用,加強磚造,0580720,97.55,1,2,2,有,無,無,18333,188,,0.0,0,,RPPNMLMLJHKGFDE67CC,整棟(戶)出租,無,1140121~1150120,無,,
左營區,租賃房屋,高雄市左營區文學路３２２號７樓之１,0.0,,,,1140121,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840927,144.42,3,2,2,有,有,有,19800,137,,0.0,0,此為社會住宅水電瓦斯管理費均由承租人付擔,RPWNMLMLJHKGFEE48CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
鳳山區,租賃房屋,高雄市鳳山區?南路８２巷２弄４１號,0.0,,,,1140121,土地0建物1車位0,全,4,透天厝,住家用,加強磚造,0610320,76.93,4,2,3,有,無,無,23000,299,,0.0,0,含增建或未登記建物；,RPSNMLMLJHKGFGE28CC,整棟(戶)出租,無,1140201~1150131,無,冷氣、熱水器,一般代管
鼓山區,租賃房屋+車位,高雄市鼓山區美術東四路２９號七樓之１,0.0,,,,1140123,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1130514,129.05,2,2,2,有,有,有,37000,287,坡道平面,33.1,0,租金總額含管理費；,RPPNMLNLJHKGFAE47CC,整棟(戶)出租,有,1140201~1160131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
苓雅區,租賃房屋,高雄市苓雅區福德二路２０號,186.0,商,,,1140123,土地1建物1車位0,見其他登記事項,2,店面(店鋪),商業用,見使用執照,0860812,305.4,0,0,0,無,無,無,105000,344,,0.0,0,,RPVOMLNLJHKGFBE28CC,,無,1140326~1190325,無,,
苓雅區,租賃房屋,高雄市苓雅區自強三路５號十六樓之２４,0.0,,,,1140121,土地0建物1車位0,十六層,85,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0880401,34.91,1,0,1,有,有,有,6000,172,,0.0,0,,RPQPMLNLJHKGFBE87CC,獨立套房,有,1140121~1150120,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
苓雅區,租賃房屋,高雄市苓雅區成功一路２３８號７樓之５,0.0,,,,1140121,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710918,49.53,1,0,1,有,有,有,14500,293,,0.0,0,,RPRPMLNLJHKGFBE97CC,獨立套房,有,1140121~1150120,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
苓雅區,租賃房屋,高雄市苓雅區明德街２３號３樓之１４,0.0,,,,1140122,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0720321,53.53,2,1,1,有,有,有,12000,224,,0.0,0,續租案件；,RPSPMLNLJHKGFBE08CC,整棟(戶)出租,有,1140220~1150219,有,冷氣、熱水器,社會住宅代管
前鎮區,租賃房屋+車位,高雄市前鎮區廣西路２０９號１１樓之１,0.0,,,,1140123,土地0建物1車位1,十一層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1070620,108.03,2,2,1,有,有,有,25000,231,坡道平面,24.86,0,多人共同承租2；租金總額含管理費；,RPSOMLNLJHKGFCE08CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
前鎮區,租賃房屋,高雄市前鎮區民權二路５３２號五樓,0.0,,,,1140122,土地0建物1車位0,五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970307,286.59000000000003,3,2,3,有,有,有,50000,174,,0.0,0,租金總額含管理費；網路費；未租賃車位，建物登記含有車位面積；續租案件；,RPTOMLNLJHKGFCE18CC,整棟(戶)出租,有,1140201~1140331,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
三民區,租賃房屋,高雄市三民區愛國路９７號４樓之１３,0.0,,,,1140121,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,21.810000000000002,1,0,1,有,有,有,5000,229,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLNLJHKGFDE87CC,獨立套房,有,1140208~1150207,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
三民區,租賃房屋,高雄市三民區愛國路９９號６樓之１５,0.0,,,,1140121,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950726,21.950000000000003,1,0,1,有,有,有,5300,241,,0.0,0,含增建或未登記建物；續租案件；,RPRNMLNLJHKGFDE97CC,獨立套房,有,1140201~1140731,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
三民區,租賃房屋,高雄市三民區德興街１號九樓,0.0,,,,1140122,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1100630,115.28,3,1,2,有,有,有,26000,226,,0.0,0,租金總額含管理費；未租賃車位，建物登記含有車位面積；,RPOOMLNLJHKGFDE77CC,整棟(戶)出租,有,1140210~1150209,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
