編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMLJHKGFGE28CC,53,76.93,住家用,加強磚造,61年3月20日,二層,,
RPVNMLLLJHKGFIE68CC,31,28.91,住家用,鋼筋混凝土造,83年1月28日,十九層,,
RPVNMLLLJHKGFIE68CC,31,14.23,共有部分,鋼筋混凝土造,83年1月28日,十九層,,
RPVOMLMLJHKGFAE08CC,19,65.86,住家用,鋼筋混凝土造,95年5月25日,十九層,,
RPVOMLMLJHKGFAE08CC,19,28.05,共有部分,鋼筋混凝土造,95年5月25日,十九層,,
RPTNMLLLJHKGFIE48CC,12,260.16,日用品零售及日常服務業（店舖）住宅、樓梯間、機械房,鋼筋混凝土造,102年7月5日,四層,,
RPUOMLMLJHKGFAE97CC,16,98.71,住家用,鋼筋混凝土造,97年10月21日,十五層,,
RPUOMLMLJHKGFAE97CC,16,62.58,共有部分,鋼筋混凝土造,97年10月21日,十五層,,
RPPNMLNLJHKGFAE47CC,1,61.92,集合住宅,鋼筋混凝土,113年5月14日,十五層,,
RPPNMLNLJHKGFAE47CC,1,67.13,本共有部分之項目有防空避難室兼停車空間、門廳、樓梯間、供管委會使用空間、機械室、水箱等６項。,鋼筋混凝土,113年5月14日,十五層,,
RPSPMLNLJHKGFBE08CC,42,53.53,,鋼筋混凝土造,72年3月21日,七層,,
RPWNMLMLJHKGFEE48CC,29,111.96,住家用,鋼筋混凝土造,84年9月27日,十二層,,
RPWNMLMLJHKGFEE48CC,29,32.46,見使用執照,鋼筋混凝土造,84年9月27日,十二層,,
RPVOMLNLJHKGFBE28CC,27,305.40,商業用,見使用執照,86年8月12日,二層,,
RPQNMLNLJHKGFDE87CC,18,12.23,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPQNMLNLJHKGFDE87CC,,9.58,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPOOMLNLJHKGFDE77CC,4,70.48,集合住宅,鋼筋混凝土,110年6月30日,十五層,,
RPOOMLNLJHKGFDE77CC,4,44.80,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廳、管委會使用空間、機械室及水箱等項。,鋼筋混凝土,110年6月30日,十五層,,
RPRNMLNLJHKGFDE97CC,18,12.23,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPRNMLNLJHKGFDE97CC,,9.72,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPQNMLMLJHKGFBE57CC,26,2.00,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPRNMLNLJHKGFEE08CC,18,8.70,辦公室,鋼筋混凝土造,96年6月4日,十三層,,
RPRNMLNLJHKGFEE08CC,18,2.11,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPRNMLNLJHKGFEE08CC,18,4.31,共用部分,鋼筋混凝土造,96年6月4日,十三層,,
RPSOMLNLJHKGFEE28CC,31,221.05,住家用,鋼筋混凝土造,82年11月20日,十四層,,
RPPNMLMLJHKGFDE67CC,56,97.55,住商用,加強磚造,58年7月20日,二層,,
RPTNMLMLJHKGFBE87CC,43,26.28,集合住宅,鋼筋混凝土造,70年12月4日,十二層,,
RPTNMLMLJHKGFBE87CC,43,5.39,,鋼筋混凝土造,70年12月4日,十二層,,
RPQPMLNLJHKGFBE87CC,26,24.32,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPQPMLNLJHKGFBE87CC,26,7.27,機房，電樓梯間，走道，排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPQPMLNLJHKGFBE87CC,26,1.13,水箱、電樓梯間、控制室、機房、排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPQPMLNLJHKGFBE87CC,26,2.19,門廳，電樓梯間，機房，走道，陽台，鍋爐室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,
RPSNMLNLJHKGFFE28CC,33,405.90,工業用,鋼造,80年9月19日,一層,,
RPPNMLNLJHKGFFE97CC,33,87.67,住商用,鋼筋混凝土造,80年9月30日,五層,,
RPQNMLNLJHKGFFE08CC,13,174.79,商業用,鋼骨構造,101年4月30日,一層,,
RPPNMLNLJHKGFIE28CC,1,70.24,集合住宅,鋼筋混凝土,113年4月2日,十五層,,
RPPNMLNLJHKGFIE28CC,1,67.32,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、門廳、門廊、車道、梯間、樓梯間、機械室、水箱等１０項,鋼筋混凝土,113年4月2日,十五層,,
RPQNMLNLJHKGFGE18CC,20,83.93,集合住宅,鋼筋混凝土,94年6月30日,十四層,,
RPQNMLNLJHKGFGE18CC,20,57.68,水箱、機械室、社區服務中心、車道、樓梯間、防空避難室、停車空間、管理員室、門廳、頂蓋型廣場式開放空間,鋼筋混凝土,94年6月30日,十四層,,
RPROMLOLJHKGFAE87CC,29,155.11,住商用,鋼筋混凝土造,84年11月1日,八層,,
RPROMLOLJHKGFAE87CC,29,32.50,見使用執照,鋼筋混凝土造,84年11月1日,八層,,
RPSOMLOLJHKGFAE97CC,1,48.71,集合住宅,鋼筋混凝土,112年9月20日,二十四層,,
RPSOMLOLJHKGFAE97CC,1,49.22,本共有部分之項目有電樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、中繼設備空間等６項。,鋼筋混凝土,112年9月20日,二十四層,,
RPWNMLOLJHKGFAE28CC,48,60.65,,鋼筋混凝土造,65年11月3日,四層,,
RPTNMLOLJHKGFAE97CC,21,83.03,住家用,鋼筋混凝土造,93年3月22日,十二層,,
RPTNMLOLJHKGFAE97CC,21,61.04,共有部分,鋼筋混凝土造,93年3月22日,十二層,,
RPVNMLOLJHKGFAE18CC,64,88.14,,加強磚造,49年9月22日,二層,,
RPPNMLOLJHKGFDE87CC,17,10.85,商業用,鋼筋混凝土造,97年5月14日,十三層,,
RPPNMLOLJHKGFDE87CC,17,1.92,停車空間、汽車昇降機,鋼筋混凝土造,97年5月14日,十三層,,
RPPNMLOLJHKGFDE87CC,17,6.49,緊急發電機室、受電室、水箱、樓梯間、走道、梯廳、機械室、電信室,鋼筋混凝土造,97年5月14日,十三層,,
RPQNMLOLJHKGFDE97CC,17,14.44,商業用,鋼筋混凝土造,97年5月14日,十三層,,
RPQNMLOLJHKGFDE97CC,17,1.92,停車空間、汽車昇降機,鋼筋混凝土造,97年5月14日,十三層,,
RPQNMLOLJHKGFDE97CC,17,8.43,緊急發電機室、受電室、水箱、樓梯間、走道、梯廳、機械室、電信室,鋼筋混凝土造,97年5月14日,十三層,,
RPQNMLOLJHKGFCE87CC,33,25.03,住家用,鋼筋混凝土造,80年7月30日,四層,,
RPUOMLOLJHKGFCE38CC,22,112.21,住家用,鋼筋混凝土造,92年7月9日,十層,,
RPUOMLOLJHKGFCE38CC,22,84.13,共有部分,鋼筋混凝土造,92年7月9日,十層,,
RPSOMLNLJHKGFCE08CC,7,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,,
RPSOMLNLJHKGFCE08CC,7,15.36,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,,
RPSOMLNLJHKGFCE08CC,7,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,,
RPPNMLOLJHKGFIE38CC,7,26.08,集合住宅,鋼筋混凝土,107年6月6日,四層,,
RPUNMLOLJHKGFGE68CC,53,74.04,住家用,加強磚造,61年3月20日,二層,,
RPQNMLOLJHKGFIE48CC,2,68.96,集合住宅,鋼筋混凝土,111年9月20日,六層,,
RPQNMLOLJHKGFIE48CC,2,20.68,本共有部分之項目有停車空間、水箱、電信室、台電配電室、發電機室及消防機械室、樓梯間、機械室等７項,鋼筋混凝土,111年9月20日,六層,,
RPRPMLNLJHKGFBE97CC,42,35.29,,鋼筋混凝土造,71年9月18日,十二層,,
RPRPMLNLJHKGFBE97CC,42,14.24,,鋼筋混凝土造,71年9月18日,十二層,,
RPPNMLPLJHKGFAE67CC,5,39.66,住宅,鋼筋混凝土,109年6月19日,七層,,
RPUOMLLLJHKGFEE28CC,46,156.40,店舖、住宅,鋼筋混凝土造,68年5月25日,三層,,
RPPNMLRLJHKGFAE87CC,19,93.99,住家用,鋼筋混凝土造,94年8月2日,十四層,,
RPPNMLRLJHKGFAE87CC,19,61.09,共有部分,鋼筋混凝土造,94年8月2日,十四層,,
RPRNMLPLJHKGFBE97CC,51,16.52,,加強磚造,63年5月28日,二層,,
RPQNMLPLJHKGFGE38CC,37,26.40,住商用,鋼筋混凝土造,77年6月8日,五層,,
RPPNMLRLJHKGFFE38CC,14,252.42,住商用,鋼筋混凝土造,100年7月19日,四層,,
RPPNMLNJKHKGFAE37CC,19,86.33,住家用,鋼筋混凝土造,95年1月26日,十五層,,
