編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLNLJHKGFBE28CC,五塊厝段,186.00,都市：商,,,,20010001
RPPNMLMLJHKGFDE67CC,灣復段,2.45,都市：商,,,,06750000
RPPNMLMLJHKGFDE67CC,灣復段,51.56,都市：商,,,,06760000
RPSNMLNLJHKGFFE28CC,華崗段,641.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,05950000
RPPNMLNLJHKGFFE97CC,橋南段,259.00,都市：商,,,,03450000
RPROMLOLJHKGFAE87CC,龍華段一小段,32.44,都市：住,,,,10870000
RPTNMLOLJHKGFAE97CC,龍中段,23.63,都市：住,,,,01680000
RPUOMLLLJHKGFEE28CC,後勁段二小段,72.00,都市：商,,,,11790000
RPPNMLLJKHKGFEE57CC,援中段一小段,7.66,都市：商,,,,01720000
RPTOMLOLJHKGFCE28CC,竹北段一小段,2420.35,都市：住,,,,20960000
RPUNMLOLJHKGFEE48CC,和平段五小段,21.78,都市：住,,,,02330001
RPSNMLNJKHKGFDE97CC,建安段,47.00,都市：商,,,,06060000
RPTNMLNJKHKGFEE18CC,新庄段十三小段,4.53,都市：其他:商,,,,15380000
RPPNMLTLJHKGFEE48CC,新庄段八小段,27.00,都市：住,,,,00740003
RPPOMLOJKHKGFCE77CC,高松段一小段,76.00,都市：住,,,,10810002
RPQOMLOJKHKGFCE87CC,高松段一小段,76.00,都市：住,,,,10810002
RPUNMLNJKHKGFCE08CC,鳳宮段,12.96,都市：住,,,,05570000
RPPNMLNJKHKGFCE57CC,新生段,44.00,都市：住,,,,02320000
RPWNMLOJKHKGFGE78CC,竹子腳段,11.70,都市：住,,,,00500005
RPWNMLOJKHKGFGE78CC,竹子腳段,5.87,都市：住,,,,00720001
RPWNMLOJKHKGFGE78CC,竹子腳段,4.36,都市：住,,,,00720010
RPPNMLPJKHKGFIE38CC,山水段,61.00,都市：住,,,,03550007
RPPNMLPJKHKGFIE38CC,山水段,20.67,都市：住,,,,03550011
RPPNMLQJKHKGFIE48CC,澄德段,13.14,都市：商,,,,00740000
RPXNMLRJKHKGFEE98CC,和平段五小段,22.35,都市：住,,,,00390000
RPTNMLRJKHKGFGE78CC,頂新段,21.32,都市：住,,,,00810000
RPVOMLRJKHKGFEE88CC,興隆段,8.21,都市：住,,,,08580022
RPQNMLKKKHKGFAE27CC,龍華段三小段,100.00,都市：農,,,,07000000
RPXNMLLKKHKGFAE08CC,青海段,7.37,都市：住,,,,00740000
RPPNMLRJKHKGFBE87CC,林德官段四小段,59.00,都市：住,,,,39270000
RPPNMLMKKHKGFDE67CC,獅頭段一小段,22.18,都市：商,,,,16000000
RPSOMLMKKHKGFEE18CC,新庄段十三小段,86.00,都市：住,,,,13430001
RPRNMLRKKHKGFBE18CC,大統段一小段,8.97,都市：商,,,,09970000
RPSNMLTKKHKGFEE78CC,新庄段四小段,76.00,都市：住,,,,00680000
RPWNMLLLKHKGFGE68CC,正義段,87.73,都市：住,,,,00590008
RPOOMLLLKHKGFGE97CC,正義段,87.73,都市：住,,,,00590008
