編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNLJHKGFAE47CC,坡道平面,0,33.10,地下四樓
RPQNMLNLJHKGFGE18CC,坡道平面,0,19.23,地下一樓
RPTNMLOLJHKGFAE97CC,坡道機械,0,15.16,地下一樓
RPSOMLNLJHKGFCE08CC,坡道平面,0,24.86,地下一樓
RPPNMLRLJHKGFAE87CC,坡道平面,0,,地下一樓
RPPNMLNJKHKGFAE37CC,坡道平面,0,18.24,地下二樓
RPTOMLOLJHKGFCE28CC,坡道平面,0,24.65,地下三樓
RPRNMLNJKHKGFGE18CC,坡道平面,3200,13.75,地下二樓
RPVNMLOJKHKGFDE38CC,坡道平面,0,31.18,地下四樓
RPPOMLOJKHKGFDE87CC,坡道平面,0,,地下一樓
RPWOMLOJKHKGFEE68CC,坡道平面,0,38.16,地下五樓含以下
RPSOMLOJKHKGFDE18CC,坡道機械,0,11.62,地下三樓
RPRPMLOJKHKGFEE28CC,升降平面,0,,地下一樓
RPWNMLOJKHKGFGE78CC,升降平面,0,,一樓
RPRNMLPJKHKGFAE77CC,坡道平面,3000,17.91,地下一樓
RPOOMLOJKHKGFDE77CC,坡道平面,0,27.58,地下一樓
RPTNMLPJKHKGFEE38CC,坡道平面,0,17.24,地下一樓
RPPNMLQJKHKGFBE77CC,坡道平面,0,13.75,地下一樓
RPPNMLQJKHKGFIE48CC,坡道平面,0,27.71,地下一樓
RPQOMLRJKHKGFEE38CC,坡道平面,0,19.14,地下二樓
RPXNMLRJKHKGFEE98CC,坡道平面,0,19.14,地下二樓
RPPNMLRJKHKGFEE18CC,坡道平面,0,,地下二樓
RPTNMLRJKHKGFGE78CC,坡道平面,0,30.45,地下二樓
RPPOMLPJKHKGFEE08CC,坡道平面,0,16.11,地下三樓
RPUNMLKKKHKGFDE97CC,坡道平面,0,21.30,地下一樓
RPSNMLLKKHKGFBE67CC,坡道機械,0,,地下五樓含以下
RPSNMLLKKHKGFBE67CC,坡道平面,0,,地下二樓
RPSNMLLKKHKGFBE67CC,坡道機械,0,,地下五樓含以下
RPQNMLNKKHKGFEE97CC,坡道平面,0,18.00,地下二樓
RPQOMLNKKHKGFFE18CC,坡道平面,0,33.08,地下二樓
RPPPMLNKKHKGFEE08CC,坡道平面,0,15.06,地下二樓
RPPNMLLKKHKGFAE27CC,坡道平面,0,29.64,地下五樓含以下
RPOOMLOKKHKGFEE97CC,坡道平面,0,20.31,地下三樓
RPOOMLRKKHKGFEE28CC,坡道平面,0,,地下二樓
RPTNMLSKKHKGFFE88CC,坡道機械,0,18.37,地下四樓
RPROMLSKKHKGFDE58CC,坡道平面,0,22.68,地下三樓
RPSNMLOKKHKGFAE87CC,坡道平面,0,19.60,地下一樓
RPVOMLLLKHKGFEE48CC,坡道平面,0,,地下二樓
RPPOMLTKKHKGFBE28CC,坡道平面,0,20.63,地下三樓
RPQNMLMLKHKGFEE97CC,坡道平面,0,18.00,地下二樓
RPVNMLLLKHKGFGE58CC,坡道平面,0,,地下三樓
