鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
板橋區,房地(土地+建物),新北市板橋區僑中一街９２號三樓,22.01,住,,,1140203,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,80.06,3,2,1,有,無,9020000,112666,,0.0,0,,RPVNMLNKKHKGFAF08DA,66.24,0.0,13.82,無,
土城區,土地,瑞興段627地號,0.37,住,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,86885,0,,0.0,0,,RPWNMLTKKHKGFAF78DA,0.0,0.0,0.0,無,001
土城區,土地,清水段877地號,74.75,住,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15500000,207358,,0.0,0,,RPOQMLTKKHKGFAF28DA,0.0,0.0,0.0,無,002
泰山區,房地(土地+建物),新北市泰山區明志路三段２０４巷１０弄１５號二樓之五,5.13,住,,,1140211,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101015,20.11,0,0,0,無,無,3850000,191447,,0.0,0,陽台外推；其他增建；,RPTNMLNKKHKGFBF97DA,9.69,0.0,1.54,有,003
新莊區,車位,新北市新莊區福德三街２３號,0.33,住,,,1140212,土地1建物1車位1,一層,十七層,其他,集合住宅,鋼筋混凝土造,1010710,32.37,0,0,0,無,有,1700000,,坡道平面,32.37,1700000,僅車位交易；,RPSNMLKLKHKGFBF67DA,0.0,0.0,0.0,有,004
三重區,土地,仁義段797地號,54.0,住,,,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000000,277778,,0.0,0,未登記建物；,RPVNMLTKKHKGFGF66DA,0.0,0.0,0.0,無,
永和區,房地(土地+建物),新北市永和區永和路一段６６號七樓,5.69,商,,,1140211,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830529,71.64,2,2,1,有,有,15800000,220547,,0.0,0,陽台外推；其他增建；,RPRNMLRKKHKGFHF78DA,52.91,1.89,7.92,有,005
汐止區,房地(土地+建物),新北市汐止區大同路三段６１１號２７樓之５,8.73,住,,,1140214,土地1建物1車位0,二十七層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,93.53,3,2,1,有,有,7800000,83396,,0.0,0,,RPVNMLTKKHKGFDF09EA,63.48,0.0,7.79,有,
瑞芳區,土地,四腳亭段楓子瀨小段17-1地號,0.86,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1813,0,,0.0,0,,RPPNMLOKKHKGFFF18EA,0.0,0.0,0.0,無,006
瑞芳區,土地,四腳亭段楓子瀨小段18-1地號,2.04,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4328,2122,,0.0,0,,SPPNMLOKKHKGFFF28EA,0.0,0.0,0.0,無,007
瑞芳區,土地,四腳亭段楓子瀨小段19-1地號,0.8,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1694,0,,0.0,0,,TPPNMLOKKHKGFFF38EA,0.0,0.0,0.0,無,008
瑞芳區,土地,四腳亭段楓子瀨小段17-1地號,0.86,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1813,0,,0.0,0,,RPQNMLOKKHKGFFF28EA,0.0,0.0,0.0,無,006
瑞芳區,土地,四腳亭段楓子瀨小段18-1地號,2.04,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4328,2122,,0.0,0,,SPQNMLOKKHKGFFF38EA,0.0,0.0,0.0,無,007
瑞芳區,土地,四腳亭段楓子瀨小段19-1地號,0.8,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1694,0,,0.0,0,,TPQNMLOKKHKGFFF48EA,0.0,0.0,0.0,無,008
瑞芳區,土地,四腳亭段楓子瀨小段17-1地號,0.86,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1813,0,,0.0,0,,RPRNMLOKKHKGFFF38EA,0.0,0.0,0.0,無,006
瑞芳區,土地,四腳亭段楓子瀨小段18-1地號,2.04,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4328,2122,,0.0,0,,SPRNMLOKKHKGFFF48EA,0.0,0.0,0.0,無,007
瑞芳區,土地,四腳亭段楓子瀨小段19-1地號,0.8,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1694,0,,0.0,0,,TPRNMLOKKHKGFFF58EA,0.0,0.0,0.0,無,008
瑞芳區,土地,四腳亭段楓子瀨小段17-1地號,0.86,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1813,0,,0.0,0,,RPSNMLOKKHKGFFF48EA,0.0,0.0,0.0,無,006
瑞芳區,土地,四腳亭段楓子瀨小段18-1地號,2.04,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4328,2122,,0.0,0,,SPSNMLOKKHKGFFF58EA,0.0,0.0,0.0,無,007
瑞芳區,土地,四腳亭段楓子瀨小段19-1地號,0.8,,山坡地保育區,交通用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1694,0,,0.0,0,,TPSNMLOKKHKGFFF68EA,0.0,0.0,0.0,無,008
