編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLTKKHKGFDF09EA,26,71.27,住家用,鋼筋混凝土造,88年2月3日,三十二層,二十七層 陽台,全筆移轉
RPVNMLTKKHKGFDF09EA,26,1.62,共有部分,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPVNMLTKKHKGFDF09EA,26,2.15,共有部分,鋼筋混凝土造,88年2月3日,三十三層,,持分移轉
RPVNMLTKKHKGFDF09EA,26,18.49,共有部分,鋼筋混凝土造,88年2月3日,三十二層,,持分移轉
RPTNMLNKKHKGFBF97DA,3,11.23,集合住宅,鋼筋混凝土造,110年10月15日,六層,二層 陽台,全筆移轉
RPTNMLNKKHKGFBF97DA,3,8.88,本共有部分之項目有梯廳、停車空間、走廊、梯間、電梯機房、水箱等６項,鋼筋混凝土造,110年10月15日,六層,,持分移轉
RPRNMLRKKHKGFHF78DA,31,62.72,住家用,鋼筋混凝土造,83年5月29日,十三層,七層 陽台 花台,全筆移轉
RPRNMLRKKHKGFHF78DA,31,3.32,共有部分,鋼筋混凝土造,83年5月29日,十三層,,持分移轉
RPRNMLRKKHKGFHF78DA,31,5.61,共有部分,鋼筋混凝土造,83年5月29日,十三層,,持分移轉
RPTVMLKLKHKGFDF78DA,24,66.25,住家用,鋼筋混凝土造,89年9月13日,十四層,十層 陽台,全筆移轉
RPTVMLKLKHKGFDF78DA,24,11.14,共有部分,鋼筋混凝土造,89年9月13日,十四層,,持分移轉
RPTVMLKLKHKGFDF78DA,24,6.77,共有部分,鋼筋混凝土造,89年9月13日,十四層,,持分移轉
RPUNMLTKKHKGFHF66DA,28,10.95,共有部分,鋼筋混凝土造,85年11月16日,二十二層,,持分移轉
RPUNMLTKKHKGFHF66DA,28,63.47,住家用,鋼筋混凝土造,85年11月16日,二十二層,十八層 陽台,全筆移轉
RPVNMLNKKHKGFAF08DA,,80.06,住家用,鋼筋混凝土造,,五層,三層 陽台,全筆移轉
RPRNMLKKKHKGFHF08DA,54,232.28,住家用,加強磚造,59年8月15日,四層,一層 二層 三層 四層,全筆移轉
RPSNMLKLKHKGFBF67DA,13,.04,集合住宅,鋼筋混凝土造,101年7月10日,十七層,一層,持分移轉
