編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLTKKHKGFGF66DA,仁義段,54.00,都市：其他:住宅區,3,1,持分移轉,07970000
RPWNMLTKKHKGFAF78DA,瑞興段,.37,都市：其他:住宅區,1728000,1920,持分移轉,06270000
RPOQMLTKKHKGFAF28DA,清水段,74.75,都市：其他:第二種住宅區,4,1,持分移轉,08770000
RPVNMLTKKHKGFDF09EA,保長段,8.73,都市：其他:第二種住宅區,1000000,670,持分移轉,09950000
RPTNMLNKKHKGFBF97DA,中山段,5.13,都市：其他:住宅區,100000,3318,持分移轉,04240000
TPPNMLOKKHKGFFF38EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
TPQNMLOKKHKGFFF48EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
SPPNMLOKKHKGFFF28EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
RPQNMLOKKHKGFFF28EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
SPQNMLOKKHKGFFF38EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
RPPNMLOKKHKGFFF18EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
RPRNMLRKKHKGFHF78DA,水源段,5.67,都市：其他:商業區,100000,468,持分移轉,02520000
RPRNMLRKKHKGFHF78DA,水源段,.02,都市：其他:商業區,100000,468,持分移轉,02520001
TPSNMLOKKHKGFFF68EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
SPRNMLOKKHKGFFF48EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
SPSNMLOKKHKGFFF58EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
TPRNMLOKKHKGFFF58EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
RPSNMLOKKHKGFFF48EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
RPTNMLOKKHKGFFF58EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
TPTNMLOKKHKGFFF78EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
SPUNMLOKKHKGFFF78EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
SPTNMLOKKHKGFFF68EA,四腳亭段楓子瀨小段,2.04,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00180001
TPUNMLOKKHKGFFF88EA,四腳亭段楓子瀨小段,.80,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00190001
SPVNMLOKKHKGFFF88EA,四腳亭段楓子瀨小段,1.36,非都市：山坡地保育區 ; 非都市編定：交通用地,240,1,持分移轉,00180001
TPVNMLOKKHKGFFF98EA,四腳亭段楓子瀨小段,.53,非都市：山坡地保育區 ; 非都市編定：交通用地,240,1,持分移轉,00190001
RPUNMLOKKHKGFFF68EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
RPTVMLKLKHKGFDF78DA,山城段,44.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,73,持分移轉,12020000
RPVNMLOKKHKGFFF78EA,四腳亭段楓子瀨小段,.57,非都市：山坡地保育區 ; 非都市編定：交通用地,240,1,持分移轉,00170001
RPRNMLOKKHKGFFF38EA,四腳亭段楓子瀨小段,.86,非都市：山坡地保育區 ; 非都市編定：交通用地,160,1,持分移轉,00170001
RPUNMLTKKHKGFHF66DA,復興段,6.27,都市：其他:住宅區,100000,368,持分移轉,00610000
RPUNMLTKKHKGFHF66DA,復興段,.00,都市：其他:道路用地,100000,368,持分移轉,00610001
RPUNMLTKKHKGFHF66DA,復興段,.22,都市：其他:住宅區,100000,368,持分移轉,00620000
RPVNMLNKKHKGFAF08DA,僑中段,22.01,都市：其他:住宅區(再),5,1,持分移轉,05350000
RPRNMLKKKHKGFHF08DA,樂華段,81.38,都市：其他:住宅區,1,1,全筆移轉,06360000
RPRNMLKKKHKGFHF08DA,樂華段,17.84,都市：其他:住宅區,1,1,全筆移轉,06500000
RPVNMLLLKHKGFBF08DA,成子寮段,42.29,都市：其他:第四種保護區,1,1,全筆移轉,09380005
RPSNMLKLKHKGFBF67DA,中原段,.33,都市：其他:第二種住宅區,100000,10,持分移轉,00560000
RPXNMLKLKHKGFGF68DA,德新段,17.27,都市：其他:住宅區,4,1,持分移轉,08700000
RPPNMLLKKHKGFGF87DA,菜寮段,3.67,都市：其他:住宅區,240,4,持分移轉,00870000
RPPNMLLKKHKGFGF87DA,菜寮段,6.71,都市：其他:住宅區,1000000,125339,持分移轉,01060000
RPPNMLLKKHKGFGF87DA,菜寮段,1.74,都市：其他:住宅區,240,4,持分移轉,01090000
RPUOMLTKKHKGFEF09DA,新興段,1.31,都市：其他:住宅區,1000000,214,持分移轉,06470000
RPUOMLTKKHKGFEF09DA,新興段,.00,都市：其他:道路用地,1000000,214,持分移轉,06470001
RPPOMLTKKHKGFHF88DA,民富段,24.93,都市：其他:住宅區,4,1,持分移轉,10250000
RPQNMLLLKHKGFBF67EA,新工段二小段,41.09,非都市：工業區 ; 非都市編定：丁種建築用地,180000,3756,持分移轉,02550000
RPRNMLKLKHKGFBF67EA,安泰段,3.99,都市：其他:乙種工業區,30000,36,持分移轉,06650000
RPVOMLRKKHKGFDF88DA,北基段,29.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,10790000
RPPQMLTKKHKGFAF38DA,學成段,43.13,都市：其他:道路用地,1080,180,持分移轉,06210000
RPPQMLTKKHKGFAF38DA,清水段,23.58,都市：其他:道路用地,2000,300,持分移轉,08890000
RPSNMLTKKHKGFIF66EA,二甲段,178.36,非都市：一般農業區 ; 非都市編定：丁種建築用地,10000,560,持分移轉,01900000
RPPNMLLLKHKGFIF18DA,三興段,26.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,90,18,持分移轉,06250000
RPTPMLKLKHKGFAF87DA,龍安段,25.91,都市：其他:住宅區(再),8,1,持分移轉,01650000
RPPNMLTKKHKGFCF38EA,秀水段,.33,都市：其他:第三種住宅區。,100000,10,持分移轉,08880000
RPPNMLLLKHKGFCF67EA,永安段,14.35,都市：其他:乙種工業區,3,1,持分移轉,03290000
RPPNMLLLKHKGFCF67EA,永安段,14.81,都市：其他:乙種工業區,3,1,持分移轉,03300000
RPPNMLLLKHKGFCF67EA,永安段,12.13,都市：其他:乙種工業區,3,1,持分移轉,03310000
RPWNMLKLKHKGFEF48EA,坪頂段,75.41,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,90,持分移轉,04870000
RPXNMLKLKHKGFEF58EA,古庄段,26.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,49,持分移轉,13150000
RPWNMLKLKHKGFEF48EA,坪頂段,.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1,持分移轉,04900000
RPPOMLTKKHKGFEF58DA,鄧公段,7.10,都市：其他:住宅區,100000,71,持分移轉,05990000
RPPNMLSKKHKGFAF08EA,江翠段,5.01,都市：其他:商業區,1000000,408,持分移轉,00310000
SPPNMLSKKHKGFAF18EA,江翠段,4.97,都市：其他:商業區,1000000,405,持分移轉,00310000
RPVOMLTKKHKGFEF56DA,新興段,.15,都市：其他:住宅區,10000,41,持分移轉,07880000
RPVOMLTKKHKGFEF56DA,新興段,8.26,都市：其他:住宅區,10000,41,持分移轉,07890000
RPQOMLLLKHKGFAF57DA,篤行段,18.99,都市：其他:第一種住宅區,10000,86,持分移轉,01470000
RPSNMLKLKHKGFCF77DA,秀水段,36.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20000,296,持分移轉,02670000
RPSNMLKLKHKGFCF77DA,秀水段,11.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,20000,296,持分移轉,02680000
RPPOMLOJKHKGFEF97DA,新市段,15.35,都市：其他:第五種住宅區,100000,1109,持分移轉,00400000
RPPNMLKLKHKGFFF87EA,逢甲段,23.75,都市：其他:住宅區,100000,7140,持分移轉,06000000
RPPNMLKLKHKGFFF87EA,逢甲段,5.15,都市：其他:道路用地,100000,7140,持分移轉,06000001
RPPNMLMKKHKGFCF57DA,安華段,152.51,都市：其他:保護區,1,1,全筆移轉,09440000
RPXNMLLLKHKGFAF18DA,江翠段,12.25,都市：其他:商業區,100000,300,持分移轉,01700000
RPWOMLKLKHKGFBF18DA,裕民段,73.49,都市：其他:農業區,900,20,持分移轉,03700000
RPPOMLSKKHKGFEF48DA,淡海段,28.34,都市：其他:第五種住宅區,100000,139,持分移轉,01490000
RPQNMLKLKHKGFIF18DA,博愛段,4.87,都市：其他:商業區,10000,84,持分移轉,00360000
RPVNMLLKKHKGFIF68DA,育英段,9.99,都市：其他:第一種住宅區,100000,2301,持分移轉,11700000
RPOOMLRKKHKGFIF68DA,麻園段,20.40,非都市：一般農業區 ; 非都市編定：甲種建築用地,200,20,持分移轉,16150000
