編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLKLKHKGFBF67DA,坡道平面,1700000,32.37,地下一樓
RPUOMLTKKHKGFEF09DA,坡道平面,1300000,33.14,地下二樓
RPQNMLLLKHKGFBF67EA,坡道平面,0,,地下一樓
RPRNMLKLKHKGFBF67EA,坡道平面,1600000,33.78,地下三樓
RPRNMLKLKHKGFBF67EA,坡道平面,1600000,33.78,地下三樓
RPPNMLTKKHKGFCF38EA,坡道平面,2000000,36.07,地下二樓
RPPNMLKLKHKGFCF57EA,坡道平面,2700000,35.49,地下三樓
RPWNMLKLKHKGFEF48EA,坡道平面,0,49.13,地下一樓
RPPOMLOJKHKGFEF97DA,坡道平面,0,38.02,地下三樓
RPXNMLLLKHKGFAF18DA,坡道平面,2500000,37.67,地下三樓
RPPOMLSKKHKGFEF48DA,坡道平面,1400000,25.02,地下二樓
RPQNMLLLKHKGFAF57EA,坡道平面,1700000,39.17,地下二樓
RPQNMLOLKHKGFHF48DA,坡道機械,2200000,21.74,地下四樓
RPUNMLPLKHKGFHF98DA,坡道平面,0,,地下一樓
RPQNMLPLKHKGFBF97DA,坡道平面,1950000,43.03,地下三樓
RPWNMLOLKHKGFAF38DA,坡道平面,0,38.64,地下三樓
RPSOMLPJKHKGFCF18DA,坡道平面,2000000,29.87,地下三樓
RPQNMLPLKHKGFCF18EA,坡道平面,2680000,35.49,地下四樓
RPPNMLPLKHKGFEF28EA,坡道平面,0,,地下一樓
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
RPPNMLTKKHKGFBF18DA,坡道平面,0,43.36,地下四樓
RPSOMLTKKHKGFBF58DA,坡道平面,0,26.94,地下四樓
RPRNMLRKKHKGFEF48DA,坡道平面,1600000,26.96,地下一樓
RPPONLRKJHKGFCF18DA,坡道平面,2800000,37.39,地下二樓
RPTOMLOKKHKGFEF48DA,坡道平面,1500000,38.31,地下二樓
RPOPMLOJKHKGFBF67DA,坡道平面,0,,地下一樓
RPVNMLSKKHKGFCF78DA,坡道平面,2700000,21.05,地下二樓
RPPNMLNKKHKGFCF67DA,坡道平面,0,36.76,地下一樓
RPQNMLSKKHKGFCF38EA,坡道平面,1100000,,地下一樓
RPSNMLNKKHKGFAF77DA,坡道平面,2050000,38.04,地下二樓
RPTOMLSKKHKGFGF56EA,坡道平面,2300000,23.30,地下四樓
RPTOMLSKKHKGFGF56EA,坡道平面,2300000,23.30,地下四樓
RPPOMLTKKHKGFGF78DA,坡道平面,1500000,31.06,地下三樓
RPPRMLTKKHKGFBF58DA,坡道平面,0,4.55,地下一樓
RPPOMLTKKHKGFCF38DA,升降機械,0,9.70,地下一樓
RPVPMLRJKHKGFHF66DA,坡道平面,2000000,42.75,地下二樓
RPQNMLKLKHKGFEF77DA,坡道機械,0,16.93,地下四樓
RPSNMLQJKHKGFBF08DA,坡道平面,0,24.75,地下二樓
RPRPMLOKKHKGFIF78DA,坡道平面,0,,地下一樓
RPQNMLTKKHKGFDF58EA,坡道平面,2419222,30.85,地下二樓
RPTNMLTKKHKGFDF88EA,坡道平面,1436632,30.85,地下二樓
RPRNMLTKKHKGFDF68EA,坡道平面,2419222,30.85,地下二樓
RPSNMLLLKHKGFEF08DA,升降平面,0,,地下二樓
RPQNMLOLKHKGFDF18EA,坡道平面,0,,無固定樓層
RPSNMLTKKHKGFDF78EA,坡道平面,1328440,30.85,地下二樓
RPRNMLTKKHKGFAF38EA,坡道平面,2200000,39.17,地下一樓
RPRPMLLLJHKGFBF77DA,塔式車位,1800000,11.90,
RPQNMLSKKHKGFEF58EA,坡道平面,1470000,29.80,地下四樓
