鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三重區,房地(土地+建物)+車位,新北市三重區元信一街與元富二街,14.91,住,,,1140121,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.59,3,2,2,有,無,23800000,238148,坡道平面,36.94,2450000,此戶為露臺戶,RPQNMLLLJHKGFGF97CB,宏道仁?,A5棟2號,
三重區,房地(土地+建物)+車位,新北市三重區仁義街與元信一街,20.44,住,,,1140121,土地1建物1車位2,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.41,3,2,2,有,無,32990000,233643,坡道平面,77.04,5100000,,RPPOMLMLJHKGFGF08CB,華固織幸,A棟A6-7F號,
三重區,房地(土地+建物)+車位,新北市三重區仁義街與元信一街,20.44,住,,,1140121,土地1建物1車位1,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.89,3,2,2,有,無,31000000,234565,坡道平面,38.52,3000000,,RPTOMLMLJHKGFGF48CB,華固織幸,A棟A6-8F號,
三重區,房地(土地+建物)+車位,新北市三重區神農街,25.27,住,,,1140122,土地1建物1車位1,十六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.47,3,2,2,有,無,24000000,175623,坡道平面,43.91,2300000,,RPQPMLMLJHKGFGF28CB,連美旺家,A棟16號,
永和區,房地(土地+建物)+車位,新北市永和區中正路388號旁,8.25,商,,,1140121,土地36建物1車位1,二十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,123.38,2,2,2,有,無,28480000,290460,坡道平面,34.28,2600000,,RPVNMLMLJHKGFHF68CB,新碩永傳,A棟A2-25F號,
三重區,房地(土地+建物),新北市三重區仁安街,13.73,住,,,1140123,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.65,2,1,2,有,無,19400000,246662,,0.0,0,,RPTNMLNLJHKGFGF48CB,吉晟賦,A6戶棟5F號,
三重區,房地(土地+建物)+車位,新北市三重區三陽路100巷3弄及光陽街口,17.76,住,,,1140121,土地2建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.84,3,2,2,有,無,28930000,266319,坡道平面,31.1,2900000,,RPQNMLOLJHKGFGF28CB,環泥水澐,A3棟08號,
林口區,房地(土地+建物)+車位,新北市林口區民享路,31.03,住,,,1140125,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.4,3,2,2,有,無,24650000,187839,坡道平面,21.48,2500000,,RPPNMLPLJHKGFBF77CB,群和FUTURE LINK,B棟4號,
林口區,房地(土地+建物),新北市林口區民享路,16.38,住,,,1140121,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.23,1,1,1,有,無,11480000,184477,,0.0,0,,RPQNMLPLJHKGFBF87CB,群和FUTURE LINK,E棟3號,
