編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLOLJHKGFGF28CB,三重段,7.60,都市：住,100000,1216,持分移轉,02120000
RPQNMLOLJHKGFGF28CB,三重段,10.17,都市：住,100000,1216,持分移轉,02130000
RPQPMLMLJHKGFGF28CB,五谷王段,25.27,都市：住,100000,815,持分移轉,00030000
RPTOMLMLJHKGFGF48CB,仁信段,20.44,都市：住,100000,996,持分移轉,00890000
RPPOMLMLJHKGFGF08CB,仁信段,20.44,都市：住,100000,996,持分移轉,00890000
RPQNMLPLJHKGFBF87CB,力行段,16.38,都市：住,100000,743,持分移轉,00110000
RPPNMLPLJHKGFBF77CB,力行段,31.03,都市：住,100000,1408,持分移轉,00110000
RPQNMLNJKHKGFAF47CB,明德段,2.62,都市：住,1000000,2850,持分移轉,03270000
RPQNMLNJKHKGFAF47CB,明德段,2.44,都市：住,1000000,2850,持分移轉,03280000
RPQNMLNJKHKGFAF47CB,明德段,3.00,都市：住,1000000,2850,持分移轉,03300000
RPQNMLNJKHKGFAF47CB,明德段,1.43,都市：住,1000000,2850,持分移轉,03310000
RPQNMLNJKHKGFAF47CB,明德段,3.09,都市：住,1000000,2850,持分移轉,03330000
RPQNMLNJKHKGFGF08CB,中興段,2.29,都市：其他:特定專用區(一),100000,66,持分移轉,14410000
RPQNMLNJKHKGFGF08CB,中興段,.27,都市：其他:特定專用區(一),100000,66,持分移轉,14410001
RPQNMLNJKHKGFGF08CB,中興段,4.58,都市：其他:特定專用區(一),100000,66,持分移轉,14420007
RPRNMLNJKHKGFAF57CB,明德段,3.07,都市：住,1000000,3343,持分移轉,03270000
RPRNMLNJKHKGFAF57CB,明德段,2.86,都市：住,1000000,3343,持分移轉,03280000
RPRNMLNJKHKGFAF57CB,明德段,3.52,都市：住,1000000,3343,持分移轉,03300000
RPRNMLNJKHKGFAF57CB,明德段,1.68,都市：住,1000000,3343,持分移轉,03310000
RPRNMLNJKHKGFAF57CB,明德段,3.62,都市：住,1000000,3343,持分移轉,03330000
RPRNMLNJKHKGFGF18CB,中興段,2.29,都市：其他:特定專用區(一),100000,66,持分移轉,14410000
RPRNMLNJKHKGFGF18CB,中興段,.27,都市：其他:特定專用區(一),100000,66,持分移轉,14410001
RPRNMLNJKHKGFGF18CB,中興段,4.58,都市：其他:特定專用區(一),100000,66,持分移轉,14420007
RPPNMLNJKHKGFBF57DB,副都心段一小段,14.11,都市：住,10000,63,持分移轉,02280000
RPPNMLNJKHKGFBF57DB,副都心段一小段,3.86,都市：住,10000,63,持分移轉,02310000
RPPNMLNJKHKGFBF57DB,副都心段一小段,.72,都市：住,10000,63,持分移轉,02420000
RPPNMLOJKHKGFAF47CB,永福段,3.86,都市：住,1000000,1472,持分移轉,00990000
RPPNMLOJKHKGFAF47CB,永福段,2.77,都市：住,1000000,1472,持分移轉,01000000
RPPNMLOJKHKGFAF47CB,永福段,1.13,都市：住,1000000,1472,持分移轉,01010000
RPPNMLOJKHKGFAF47CB,永福段,4.39,都市：住,1000000,1472,持分移轉,01020000
RPQNMLOJKHKGFAF57CB,永福段,2.27,都市：住,1000000,863,持分移轉,00990000
RPQNMLOJKHKGFAF57CB,永福段,1.62,都市：住,1000000,863,持分移轉,01000000
RPQNMLOJKHKGFAF57CB,永福段,.66,都市：住,1000000,863,持分移轉,01010000
RPQNMLOJKHKGFAF57CB,永福段,2.57,都市：住,1000000,863,持分移轉,01020000
RPTNMLOJKHKGFAF87CB,永福段,2.99,都市：住,1000000,1139,持分移轉,00990000
RPTNMLOJKHKGFAF87CB,永福段,2.14,都市：住,1000000,1139,持分移轉,01000000
RPTNMLOJKHKGFAF87CB,永福段,.88,都市：住,1000000,1139,持分移轉,01010000
RPTNMLOJKHKGFAF87CB,永福段,3.39,都市：住,1000000,1139,持分移轉,01020000
RPVNMLOJKHKGFBF18CB,力行段,1.81,都市：住,1000000,5168,持分移轉,09550000
RPVNMLOJKHKGFBF18CB,力行段,1.23,都市：住,1000000,5168,持分移轉,09560000
RPVNMLOJKHKGFBF18CB,力行段,4.03,都市：住,1000000,5168,持分移轉,09570000
RPVNMLOJKHKGFBF18CB,力行段,1.58,都市：住,1000000,5168,持分移轉,09640000
RPVNMLOJKHKGFBF18CB,力行段,3.90,都市：住,1000000,5168,持分移轉,09650000
RPUNMLOJKHKGFBF08CB,力行段,2.50,都市：住,1000000,7131,持分移轉,09550000
RPUNMLOJKHKGFBF08CB,力行段,1.70,都市：住,1000000,7131,持分移轉,09560000
RPUNMLOJKHKGFBF08CB,力行段,5.56,都市：住,1000000,7131,持分移轉,09570000
RPUNMLOJKHKGFBF08CB,力行段,2.18,都市：住,1000000,7131,持分移轉,09640000
RPUNMLOJKHKGFBF08CB,力行段,5.38,都市：住,1000000,7131,持分移轉,09650000
RPWNMLOJKHKGFBF28CB,力行段,1.60,都市：住,1000000,4585,持分移轉,09550000
RPWNMLOJKHKGFBF28CB,力行段,1.09,都市：住,1000000,4585,持分移轉,09560000
RPWNMLOJKHKGFBF28CB,力行段,3.58,都市：住,1000000,4585,持分移轉,09570000
RPWNMLOJKHKGFBF28CB,力行段,1.40,都市：住,1000000,4585,持分移轉,09640000
RPWNMLOJKHKGFBF28CB,力行段,3.46,都市：住,1000000,4585,持分移轉,09650000
RPRNMLOJKHKGFGF28CB,成功段,9.65,都市：其他:捷運系統用地,100000,97,持分移轉,10070000
RPTNMLNLJHKGFGF48CB,碧華段,13.73,都市：住,100000,1261,持分移轉,06000000
RPSNMLOJKHKGFGF38CB,成功段,9.65,都市：其他:捷運系統用地,100000,97,持分移轉,10070000
RPQNMLLLJHKGFGF97CB,仁信段,14.91,都市：住,10000,131,持分移轉,00970000
RPPNMLNJKHKGFCF57CB,寶強段,4.18,都市：住,1000000,1746,持分移轉,08490000
RPPNMLNJKHKGFCF57CB,寶強段,.68,都市：住,1000000,1746,持分移轉,08580000
RPPNMLNJKHKGFCF57CB,寶強段,1.06,都市：住,1000000,1746,持分移轉,08590000
RPPNMLNJKHKGFCF57CB,寶強段,1.28,都市：住,1000000,1746,持分移轉,09050000
RPPNMLNJKHKGFCF57CB,寶強段,.70,都市：住,1000000,1746,持分移轉,09060000
RPPNMLNJKHKGFCF57CB,寶強段,.20,都市：住,1000000,1746,持分移轉,09070000
RPPNMLNJKHKGFCF57CB,寶強段,.10,都市：住,1000000,1746,持分移轉,09080000
RPPNMLNJKHKGFCF57CB,寶強段,.16,都市：住,1000000,1746,持分移轉,09090000
RPPNMLNJKHKGFCF57CB,寶強段,.14,都市：住,1000000,1746,持分移轉,09100000
RPPNMLNJKHKGFCF57CB,寶強段,.19,都市：住,1000000,1746,持分移轉,09110000
RPPNMLNJKHKGFCF57CB,寶強段,.06,都市：住,1000000,1746,持分移轉,09120000
RPPNMLNJKHKGFCF57CB,寶強段,.04,都市：住,1000000,1746,持分移轉,09130000
RPPNMLNJKHKGFCF57CB,寶強段,.05,都市：住,1000000,1746,持分移轉,09140000
RPPNMLNJKHKGFCF57CB,寶強段,.10,都市：住,1000000,1746,持分移轉,09150000
RPPNMLNJKHKGFCF57CB,寶強段,.08,都市：住,1000000,1746,持分移轉,09160000
RPPNMLNJKHKGFCF57CB,寶強段,.14,都市：住,1000000,1746,持分移轉,09170000
RPPNMLNJKHKGFCF57CB,寶強段,.07,都市：住,1000000,1746,持分移轉,09180000
RPPNMLNJKHKGFCF57CB,寶強段,.04,都市：住,1000000,1746,持分移轉,09190000
RPPNMLNJKHKGFCF57CB,寶強段,.05,都市：住,1000000,1746,持分移轉,09200000
RPPNMLNJKHKGFCF57CB,寶強段,1.15,都市：住,1000000,1746,持分移轉,09300000
RPPNMLNJKHKGFCF57CB,寶強段,.12,都市：住,1000000,1746,持分移轉,09300001
