鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
蘆洲區,租賃房屋,新北市蘆洲區長安街４６巷１弄６號１樓,0.0,,,,1140121,土地0建物0車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770208,45.62,2,1,2,有,無,有,23500,515,,0.0,0,,RPVNMLLLJHKGFGF58CC,分租套房,無,1131230~1141231,無,冷氣、熱水器、瓦斯或天然氣、網路,一般轉租
三重區,租賃房屋,新北市三重區力行路一段３８巷１５號二樓,0.0,,,,1140121,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701224,94.0,2,2,1,有,無,無,17000,181,,0.0,0,水電費 由承租人負擔「此為新北市社會住宅包租代管計畫之物件，評定市價租金為18890元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額17000元。」,RPROMLLLJHKGFGF28CC,整棟(戶)出租,無,1140207~1150206,無,熱水器、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區南雅西路二段１８０巷４號３樓,0.0,,,,1140121,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660126,65.07,3,1,1,有,無,無,18000,277,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為22500元，因選擇包租方案須打8折且簽約租金無條件捨去至百分位，實際租賃契約金額18000元。,RPUNMLMLJHKGFAF97CC,整棟(戶)出租,無,1140210~1150209,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區四川路二段２４３號６樓,0.0,,,,1140121,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,28.73,1,0,1,有,有,有,11000,383,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13800元，因選擇包租方案須打8折且簽約租金無條件捨去至百分位，實際租賃契約金額11000元。續租案件；,RPSOMLMLJHKGFAF87CC,獨立套房,有,1140205~1150204,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區民生路三段２１７號４樓,0.0,,,,1140122,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,18.0,3,1,3,有,無,有,13000,722,,0.0,0,402室續租案件；,RPVOMLMLJHKGFAF18CC,分租套房,無,1140310~1150309,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
新店區,租賃房屋,新北市新店區中央路１３３巷１５弄１１號二樓,0.0,,,,1140121,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,127.33,4,2,1,有,有,有,27000,212,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為33800元，因選擇包租方案須打8折且簽約租金無條件捨去至百分位，實際租賃契約金額為27000元。,RPSOMLMLJHKGFCF08CC,整棟(戶)出租,無,1140310~1150309,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
淡水區,租賃房屋,新北市淡水區水源街一段６２巷１１號二樓,36.61,住,,,1140121,土地1建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670101,20.89,5,1,5,有,無,有,4500,215,,0.0,0,此地只為一層5間套房.此合約是出租其中一間套房.承租人要負擔水費每月200元租金總額含電費；網路費；,RPOOMLMLJHKGFEF87CC,分租套房,無,1140201~1150130,無,冷氣、熱水器、洗衣機、冰箱,
蘆洲區,租賃房屋,新北市蘆洲區永樂街３８巷５７弄６號四樓之一,0.0,,,,1140122,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831024,76.86,2,2,1,有,有,無,21600,281,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為24001元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額21600元。管理費1400， 水、電由承租人負擔續租案件；,RPPNMLMLJHKGFGF08CC,整棟(戶)出租,有,1140220~1150219,有,冷氣、熱水器,社會住宅代管
永和區,租賃房屋,新北市永和區永元路６９巷２號一樓,0.0,,,,1140122,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640811,86.9,0,0,0,無,無,無,34000,391,,0.0,0,,RPVOMLMLJHKGFHF88CC,整棟(戶)出租,無,1140215~1170214,無,,
板橋區,租賃房屋,新北市板橋區懷德街１８１巷３１號二樓,0.0,,,,1140121,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770326,99.0,3,2,2,有,無,有,26000,263,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為28900元，因選擇代管方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額為26000元。,RPSNMLNLJHKGFAF87CC,整棟(戶)出租,無,1140205~1150204,無,熱水器、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區文化路二段４１７巷２號五樓,0.0,,,,1140121,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120731,56.8,1,1,1,有,無,有,21000,370,,0.0,0,,RPTNMLNLJHKGFAF97CC,獨立套房,有,1140131~1150202,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
板橋區,租賃房屋,新北市板橋區大觀路二段１７９巷２８號,0.0,,,,1140121,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,98.49,3,1,2,有,無,無,15000,152,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件，評定市價租金為16700元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額為15000元。,RPVNMLNLJHKGFAF18CC,整棟(戶)出租,無,1140201~1150131,無,熱水器、瓦斯或天然氣,社會住宅代管
