編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVOMLMLJHKGFHF88CC,49,86.90,住家用,加強磚造,64年8月11日,四層,,
RPOOMLMLJHKGFEF87CC,47,20.89,住家用,鋼筋混凝土造,67年1月1日,四層,,
RPSOMLMLJHKGFCF08CC,,127.33,住家用,加強磚造,,四層,,
RPVNMLLLJHKGFGF58CC,37,45.62,住家用,鋼筋混凝土造,77年2月8日,五層,,
RPROMLLLJHKGFGF28CC,43,94.00,住家用,鋼筋混凝土造,70年12月24日,五層,,
RPPNMLMLJHKGFGF08CC,30,63.73,住家用,鋼筋混凝土造,83年10月24日,十四層,,
RPPNMLMLJHKGFGF08CC,30,13.13,共有部分,鋼筋混凝土造,83年10月24日,十四層,,
RPVNMLNLJHKGFAF18CC,,98.49,住商用,鋼筋混凝土造,,五層,,
RPVOMLMLJHKGFAF18CC,,18.00,住家用,加強磚造,,四層,,
RPSOMLMLJHKGFAF87CC,,26.02,住家用,鋼骨混凝土造,,十五層,,
RPSNMLNLJHKGFAF87CC,37,92.15,住家用,鋼筋混凝土造,77年3月26日,五層,,
RPSNMLNLJHKGFAF87CC,37,6.85,共有部分,鋼筋混凝土造,77年3月26日,五層,,
RPSOMLMLJHKGFAF87CC,32,2.71,共有部分,鋼骨混凝土造,81年8月8日,十五層,,
RPUNMLMLJHKGFAF97CC,48,65.07,住家用,鋼筋混凝土造,66年1月26日,四層,,
RPRQMLNLJHKGFAF08CC,28,88.43,商業用,鋼筋混凝土造,86年4月30日,十二層,,
RPRQMLNLJHKGFAF08CC,28,27.51,共有部分,鋼筋混凝土造,86年4月30日,十二層,,
RPTNMLNLJHKGFAF97CC,1,33.82,集合住宅,鋼筋混凝土造,112年7月31日,七層,,
RPTNMLNLJHKGFAF97CC,1,22.98,本共有部分項目：（騎樓、供行動不便者昇降機、梯廳、管委會空間、機車停車空間、雨遮、陽台、走道、安全梯、升降機道、屋頂水箱、電梯機房、水箱、台電配電場所、消防機房、電信機房、防空避難空間、發電機室）等１８項。,鋼筋混凝土造,112年7月31日,七層,,
RPSNMLNLJHKGFCF08CC,28,62.04,住家用,鋼筋混凝土造,85年8月31日,九層,,
RPSNMLNLJHKGFCF08CC,28,12.89,共有部分,鋼筋混凝土造,85年8月31日,九層,,
RPSNMLNLJHKGFCF08CC,28,14.16,共有部分,鋼筋混凝土造,85年8月31日,九層,,
RPOPMLNLJHKGFEF08CC,11,55.05,住家用,鋼筋混凝土造,103年4月23日,十五層,,
RPOPMLNLJHKGFEF08CC,11,.01,本共有部分之項目有：門廳、陽台等２項,鋼筋混凝土造,103年4月23日,十八層,,
RPOPMLNLJHKGFEF08CC,11,22.90,本共有部分之項目有：排煙室、門廳、廣場式開放空間（頂蓋型）、防空避難室、梯間、消防水箱、電梯機房、發電機室、電錶室、梯間（排煙室）、沉砂池、管理員室、游泳池機房、防空避難室兼停車空間、垃圾處理室、垃圾車裝卸位、機房、機房（供電信使用）、受電箱、台電配電室、防災中心、雨水處理機房、消防泵浦室、停車空間、自來水池、排風管道、進風管道等２７項,鋼筋混凝土造,103年4月23日,十八層,,
RPTPMLNLJHKGFEF58CC,10,84.48,住家用,鋼筋混凝土造,104年5月15日,十五層,,
RPTPMLNLJHKGFEF58CC,10,39.59,本共有部分之項目有：管委會使用空間、梯廳、車道、排煙室、樓電梯間、停車空間、陽台、台電配電室、垃圾儲存空間、水箱、垃圾車暫停車位、電信機房、水景機房、發電機房、消防機房、污水機房、電梯機房等１７項,鋼筋混凝土造,104年5月15日,十五層,,
RPVPMLNLJHKGFEF78CC,30,72.61,住家用,鋼筋混凝土造,84年6月24日,十九層,,
RPVPMLNLJHKGFEF78CC,30,6.69,共有部分,鋼筋混凝土造,84年6月24日,十九層,,
RPSNMLNLJHKGFEF28CC,3,71.00,集合住宅,鋼筋混凝土造,111年4月25日,十八層,,
RPSNMLNLJHKGFEF28CC,3,14.01,共有部分，共同使用之項目：Ｂ棟梯間、排煙室、樓梯間、機房、水錶區、消防水池、水箱計７項,鋼筋混凝土造,111年4月25日,十八層,,
RPSNMLNLJHKGFEF28CC,3,6.38,共有部分，共同使用之項目：Ｂ棟梯間計１項,鋼筋混凝土造,111年4月25日,十八層,,
RPSNMLNLJHKGFEF28CC,3,9.84,共有部分，共同使用之項目：入口門廳、管理員室、防災中心、排煙室、門廊、廁所、辦公室門廳Ａ、Ａ棟梯間、辦公室門廳Ｂ、Ｂ棟梯間、男廁、女廁、茶水間、Ａ５梯、Ｂ５梯、停車空間、台電配電場所、發電機室、電信機房、臨時停車區、蓄水池、消防中繼機房、消防中繼水箱、管委會使用空間、垃圾車停車區、消防機房、陽台計２７項,鋼筋混凝土造,111年4月25日,十八層,,
RPTNMLNLJHKGFDF28CC,28,34.28,住家用,鋼筋混凝土造,86年7月3日,二十六層,,
RPTNMLNLJHKGFDF28CC,28,1.70,門廊社區中心衣物寄放櫃、警衛室、櫃檯、電信機房、緊急昇降機、男更衣室、女更衣室、門廳會議室、台電管道間、台電變電室、緊急發電機室、排煙室、蓄水池、消防水池、泵浦室、電梯間,鋼筋混凝土造,86年7月3日,二十七層,,
RPTNMLNLJHKGFDF28CC,28,.82,門廳、水箱、信箱區、緊急昇降機、機械室、瞭望台、樓梯間、排煙機房、樓梯。,鋼筋混凝土造,86年7月3日,二十六層,,
RPOOMLNLJHKGFDF87CC,29,63.31,住家用,鋼筋混凝土造,84年11月10日,二十五層,,
RPOOMLNLJHKGFDF87CC,29,4.84,共有部分,鋼筋混凝土造,84年11月10日,二十五層,,
RPOOMLNLJHKGFDF87CC,29,1.32,共有部分,鋼筋混凝土造,84年11月10日,二十五層,,
RPOOMLNLJHKGFEF97CC,16,41.01,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,,
RPOOMLNLJHKGFEF97CC,16,13.09,共有部分,鋼筋混凝土造,97年12月23日,二十四層,,
RPOOMLNLJHKGFEF97CC,16,9.71,共有部分,鋼筋混凝土造,97年12月23日,二十四層,,
RPUOMLNLJHKGFEF58CC,28,25.61,住家用,鋼筋混凝土造,85年11月16日,十七層,,
RPUOMLNLJHKGFEF58CC,28,4.76,共有部分,鋼筋混凝土造,85年11月16日,十七層,,
RPUOMLNLJHKGFEF58CC,28,1.56,共有部分,鋼筋混凝土造,85年11月16日,十七層,,
RPUOMLNLJHKGFEF58CC,28,10.93,共有部分,鋼筋混凝土造,85年11月16日,十七層,,
RPPNMLNLJHKGFDF87CC,10,203.35,工業用,鋼骨構造,103年10月13日,三十五層,,
RPPNMLNLJHKGFDF87CC,10,27.02,本共有部分之項目有接駁車等候區、特別安全梯排煙室、梯廳、緊急升降機間排煙室、污排水、梯間、廊道、走廊、電扶梯、風除室、空調主機房、低壓集中錶箱、電梯機房、信箱間、空調機房、清潔室、男廁、女廁、高層樓門廳、空調補給水箱、自來水蓄水池、陽台、排煙機房及空調機房、機房、汽車專用道、貨車車道、機車專用道、油槽室、發電機房、排氣管道、進氣管道、台電配電室、公共區變電室、電信機房、變電室走廊、往車站月台、防災中心辦公室、防災中心、電氣機房、排氣機房、管道間、進氣機房、貨車垃圾車專用道、貨車專用道、電氣室、垃圾間、冰水污排水、管委會使用空間、停車場管理室、管理員室、台電專用管道、電梯機坑、污水機房、雲端資訊機房、雨水處理機房及噴灌機房、消防泵浦室等５６項。,鋼骨構造,103年10月13日,三十七層,,
RPPNMLNLJHKGFDF87CC,10,10.83,本共有部分之項目有裝卸位編號（５～３６、４９～５８、６１～８２、８６～８８）、儲藏室、管委會使用空間、男廁、女廁、走廊、機車停車區、機車專用道、管理員室等９項。,鋼骨構造,103年10月13日,三十七層,,
RPPNMLNLJHKGFDF87CC,10,86.62,本共有部分之項目有電梯機坑、空調機房及管道、梯廳、特別安全梯排煙室、客梯廳、走廊、男廁、女廁、茶水間、低壓集中錶箱、電氣室、貨梯廳、緊急升降機間排煙室、垃圾間、電梯機房、消防水池、消防泵浦室、消防水箱、消防中間機房、自來水中間水箱、自來水蓄水池、排氣機房、新鮮空氣引進機房、電信機房、台電配電室、儲藏室、機房、排煙室、走道、梯間、蓄水池、水箱室、陽台、變電室、垃圾集中室、自設變電站、泵浦室等３７項。,鋼骨構造,103年10月13日,三十五層,,
RPWNMLNLJHKGFGF88CC,26,56.24,住家用,鋼筋混凝土造,87年10月31日,十五層,,
RPWNMLNLJHKGFGF88CC,26,14.27,共有部分,鋼筋混凝土造,87年10月31日,十五層,,
RPWNMLNLJHKGFGF88CC,26,1.77,共有部分,鋼筋混凝土造,87年10月31日,十七層,,
RPPOMLNLJHKGFGF28CC,10,173.04,集合住宅,鋼筋混凝土造,104年4月9日,二十四層,,
RPPOMLNLJHKGFGF28CC,10,53.52,本共有部分之項目有管委會空間、停車空間、雨遮、陽台等４項。,鋼筋混凝土造,104年4月9日,二十四層,,
RPPOMLNLJHKGFGF28CC,10,26.93,本共有部分之項目有樓梯間、水箱、消防機房、機房、雨遮等５項。,鋼筋混凝土造,104年4月9日,二十四層,,
RPPNMLNLJHKGFHF28CC,48,80.75,住家用,加強磚造,65年10月13日,四層,,
RPPQMLNLJHKGFGF48CC,28,82.61,住家用,鋼筋混凝土造,86年1月28日,十七層,,
RPPQMLNLJHKGFGF48CC,28,20.57,共有部分,鋼筋混凝土造,86年1月28日,十七層,,
RPPQMLNLJHKGFGF48CC,28,8.74,共有部分,鋼筋混凝土造,86年1月28日,十七層,,
RPRQMLNLJHKGFGF68CC,51,74.82,住家用,加強磚造,63年3月10日,四層,,
RPSQMLNLJHKGFGF78CC,8,32.07,集合住宅,鋼筋混凝土造,105年10月18日,十四層,,
RPSQMLNLJHKGFGF78CC,8,11.39,本共有部分項目有：機電設備空間、樓梯間、電梯間、污水池、水箱、暫停車位、垃圾車暫停車位、自行車停車空間、雨遮、管委會使用空間、梯廳、陽台、機械室、消防蓄水池等１４項。,鋼筋混凝土造,105年10月18日,十四層,,
RPSQMLNLJHKGFGF78CC,8,2.18,本共有部分之項目有：防空避難室兼停車空間（機車停車空間）等１項。,鋼筋混凝土造,105年10月18日,十四層,,
RPRNMLNLJHKGFHF48CC,27,34.34,住家用,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPRNMLNLJHKGFHF48CC,27,1.24,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPRNMLNLJHKGFHF48CC,27,8.29,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPSNMLNLJHKGFHF58CC,8,32.52,集合住宅,鋼筋混凝土構造,106年1月20日,十五層,,
RPRNMLNLJHKGFHF48CC,27,.44,共有部分,鋼骨鋼筋混凝土造,86年11月4日,四十一層,,
RPSNMLNLJHKGFHF58CC,8,5.26,共有部分；本共有部分項目有：梯廳、電樓梯間、樓梯間、交誼室、管委會使用空間、安全梯、機電、屋頂突出物〈電樓梯間、機房、生活水箱、安全梯〉、汽排機房、台電配電室、垃圾資源回收室、自行車、機車道、汽車車道、緊急發電機室、網路機房、機房、泵浦室、雨水機房、陽台、公共服務空間等２１項。,鋼筋混凝土構造,106年1月20日,十五層,,
RPSNMLNLJHKGFHF58CC,8,8.61,共有部分；本共有部分項目有：電樓梯間、走廊、管委會使用空間、機房等４項。,鋼筋混凝土構造,106年1月20日,十五層,,
RPROMLNLJHKGFBF97CC,23,32.68,住家用,鋼筋混凝土造,90年12月19日,十三層,,
RPROMLNLJHKGFBF97CC,23,3.62,共有部分,鋼筋混凝土造,90年12月19日,十三層,,
RPROMLNLJHKGFBF97CC,23,9.97,共有部分,鋼筋混凝土造,90年12月19日,十三層,,
RPTOMLNLJHKGFBF18CC,45,86.73,住家用,鋼筋混凝土造,69年5月15日,五層,,
RPRNMLOLJHKGFAF87CC,49,87.44,住家用,鋼筋混凝土造,64年11月20日,四層,,
RPTOMLNLJHKGFHF78CC,19,78.18,住家用,鋼筋混凝土造,94年10月13日,十四層,,
RPTOMLNLJHKGFHF78CC,19,21.26,共有部分,鋼筋混凝土造,94年10月13日,十四層,,
RPTOMLNLJHKGFHF78CC,19,10.52,共有部分,鋼筋混凝土造,94年10月13日,十四層,,
RPOOMLNLJHKGFHF28CC,44,23.72,住家用,鋼筋混凝土造,69年12月22日,七層,,
RPOOMLNLJHKGFHF28CC,44,7.10,共有部分,鋼筋混凝土造,69年12月22日,七層,,
