編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLMLJHKGFEF87CC,長興段,36.61,都市：住,,,,02450000
RPROMLOLJHKGFAF97CC,福華段,24.78,都市：商,,,,00020000
RPUOMLOLJHKGFEF68CC,公司田段,28.81,都市：住,,,,01330000
RPRQMLPJKHKGFBF28CC,力行段,2993.30,都市：住,,,,09840000
RPPNMLPJKHKGFEF08CC,海鷗段,21.66,都市：住,,,,02140000
RPQOMLPJKHKGFBF97CC,力行段,19.42,都市：商,,,,02590002
RPOPMLPJKHKGFBF87CC,力行段,656.26,都市：商,,,,02200000
RPQNMLQJKHKGFBF97CC,幸福段,187.58,都市：工,,,,01200000
RPQNMLQJKHKGFBF97CC,幸福段,190.71,都市：工,,,,01210000
RPROMLQJKHKGFBF18CC,力行段,25.01,都市：住,,,,09240000
RPSOMLQJKHKGFEF58CC,公司田段,31.22,都市：住,,,,00200000
RPVPMLLKKHKGFAF18CC,明德段,970.36,都市：住,,,,00430000
RPVPMLLKKHKGFAF18CC,明德段,684.76,都市：住,,,,00450000
RPVPMLLKKHKGFAF18CC,明德段,208.03,都市：住,,,,00460000
RPUPMLLKKHKGFEF48CC,新市段,12.98,都市：住,,,,01660000
RPSOMLRKKHKGFHF09CC,安樂段,1.55,都市：住,,,,04790000
RPROMLRKKHKGFHF98CC,安樂段,1.55,都市：住,,,,04790000
RPWOMLSKKHKGFBF98CC,力行段,320.30,都市：住,,,,00030000
RPWOMLSKKHKGFBF98CC,力行段,190.92,都市：住,,,,00040000
RPUNMLKLKHKGFGF48CC,仁義段,14.00,都市：住,,,,09020000
RPROMLKLKHKGFHF38CC,水源段,51.99,都市：商,,,,01820000
RPPNMLTKKHKGFEF58CC,海鷗段,3.07,都市：商,,,,11910000
