編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNLJHKGFCF08CC,坡道平面,2000,,地下一樓
RPPOMLNLJHKGFGF28CC,坡道平面,0,26.99,地下一樓
RPTOMLNLJHKGFHF78CC,坡道平面,0,28.54,地下二樓
RPTOMLNLJHKGFGF68CC,坡道平面,0,26.99,地下一樓
RPOOMLOLJHKGFAF67CC,坡道平面,2500,21.02,地下三樓
RPROMLOLJHKGFAF97CC,坡道平面,0,39.63,地下三樓
RPUOMLOLJHKGFEF68CC,坡道平面,0,31.66,地下一樓
RPQNMLOJKHKGFBF77CC,坡道平面,3000,26.52,地下二樓
RPSNMLOJKHKGFBF97CC,坡道平面,3000,26.75,地下三樓
RPROMLNJKHKGFEF18CC,坡道平面,3000,34.46,地下三樓
RPXNMLOJKHKGFBF48CC,坡道平面,3000,27.92,地下四樓
RPROMLOJKHKGFBF97CC,坡道平面,3000,,地下一樓
RPPOMLOJKHKGFBF77CC,坡道平面,3000,,地下一樓
RPPNMLOJKHKGFEF97CC,坡道平面,3000,34.31,地下二樓
RPXPMLPJKHKGFBF78CC,坡道平面,3000,20.44,地下二樓
RPTPMLPJKHKGFBF38CC,坡道平面,3000,35.08,地下二樓
RPWPMLPJKHKGFBF68CC,坡道平面,3000,20.08,地下三樓
RPOQMLPJKHKGFBF97CC,坡道平面,3000,20.44,地下二樓
RPRQMLPJKHKGFBF28CC,坡道平面,0,26.19,地下一樓
RPQOMLPJKHKGFBF97CC,坡道平面,0,41.78,地下五樓含以下
RPTOMLPJKHKGFBF28CC,坡道平面,3500,,地下一樓
RPUOMLPJKHKGFBF38CC,坡道平面,0,,地下二樓
RPSPMLPJKHKGFGF78CC,坡道平面,4000,,地下二樓
RPSOMLQJKHKGFEF58CC,坡道平面,0,30.36,地下一樓
RPWOMLQJKHKGFEF98CC,坡道機械,0,15.23,地下五樓含以下
RPVNMLPJKHKGFGF88CC,坡道平面,0,26.99,地下二樓
RPPPMLPJKHKGFGF48CC,坡道平面,0,26.99,地下二樓
RPUNMLSJKHKGFBF58CC,坡道平面,3000,30.71,地下五樓含以下
RPXNMLKKKHKGFGF68CC,升降平面,0,46.02,地下四樓
RPUPMLLKKHKGFEF48CC,坡道平面,0,29.54,地下四樓
RPSNMLLKKHKGFIF48CC,坡道平面,2600,25.56,地下三樓
RPRNMLNKKHKGFAF77CC,坡道平面,0,30.17,地下一樓
RPXOMLNKKHKGFBF58CC,坡道平面,0,24.79,地下二樓
RPPOMLNKKHKGFBF77CC,坡道平面,0,,地下二樓
RPPOMLNKKHKGFBF77CC,坡道平面,0,,地下二樓
RPQNMLPKKHKGFHF58CC,坡道平面,0,,地下二樓
RPWNMLRKKHKGFDF98CC,坡道平面,3000,19.82,地下五樓含以下
RPUNMLRKKHKGFCF68CC,坡道機械,0,,地下一樓
RPTNMLRKKHKGFCF58CC,坡道平面,0,,地下一樓
RPPNMLRKKHKGFIF78CC,坡道平面,0,22.12,地下一樓
RPTNMLRKKHKGFBF48CC,坡道機械,0,24.57,地下三樓
RPROMLSKKHKGFAF38CC,坡道平面,0,23.25,地下四樓
RPRNMLSKKHKGFIF09CC,坡道平面,0,30.03,地下一樓
RPPOMLKLKHKGFBF57CC,坡道平面,0,24.75,地下二樓
RPPNMLKLKHKGFHF08CC,坡道平面,0,37.90,地下一樓
RPPNMLNKKHKGFBF77DC,坡道平面,0,,地下一樓
RPOPMLLLKHKGFHF28CC,坡道平面,0,41.57,地下二樓
RPQOMLKLKHKGFAF57CC,坡道平面,0,30.05,地下五樓含以下
RPSOMLSKKHKGFEF88CC,坡道平面,2800,40.35,地下一樓
