鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三星鄉,房地(土地+建物),宜蘭縣三星鄉大隱十二路１４２巷６號,125.91,,特定農業區,甲種建築用地,1140203,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020131,163.01,3,1,3,有,無,9000000,55211,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLTKKHKGFAG58EA,155.27,0.0,7.74,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權路二段２４０號五樓,14.12,住,,,1140208,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871105,64.06,3,2,2,有,有,2690000,41985,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLKHKGFBG57EA,40.36,0.0,4.99,有,
員山鄉,土地,湖北段368地號,47.86,,特定農業區,農牧用地,1140215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,159230,3327,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLKHKGFBG67EA,0.0,0.0,0.0,無,
宜蘭市,土地,北津段210-7地號,414.98,,特定農業區,農牧用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2259000,5444,,0.0,0,,RPPOMLSKKHKGFBG28DA,0.0,0.0,0.0,無,
宜蘭市,土地,宜興段135地號,188.45,都市：其他:道路用地,,,1140203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2777558,14739,,0.0,0,包含公共設施保留地用地；,RPTNMLKLKHKGFBG87DA,0.0,0.0,0.0,無,001
宜蘭市,土地,東村段413-4地號,67.39,都市：其他:道路用地,,,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1066110,15820,,0.0,0,包含公共設施保留地用地；,RPUNMLKLKHKGFBG97DA,0.0,0.0,0.0,無,
宜蘭市,土地,東村段413-3地號,77.49,都市：其他:道路用地,,,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1225953,15821,,0.0,0,包含公共設施保留地用地；,RPVNMLKLKHKGFBG08DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿安路３４９巷１弄８號,75.15,住,,,1140208,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650220,90.7,3,1,1,有,無,2500000,27563,,0.0,0,由現承租人承購親友、員工、共有人或其他特殊關係間之交易；,RPXOMLMKKHKGFAG38DA,90.7,0.0,0.0,無,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市農權路三段１６３巷１號六樓之三,39.75,住,,,1140208,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100330,184.48000000000002,3,2,2,有,有,16600000,100206,坡道平面,33.69,1490000,,RPRNMLLLKHKGFBG77DA,92.49,0.0,10.84,有,
