編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLKLKHKGFBG57EA,26,45.34,住家用,鋼筋混凝土造,87年11月5日,六層,五層 陽台,持分移轉
RPPNMLKLKHKGFBG57EA,26,9.05,共有部份,鋼筋混凝土造,87年11月5日,六層,,持分移轉
RPPNMLKLKHKGFBG57EA,26,9.67,共有部份,鋼筋混凝土造,87年11月5日,六層,,持分移轉
RPRNMLLLKHKGFBG77DA,4,103.33,集合住宅,鋼筋混凝土造,110年3月30日,十八層,六層 陽台,全筆移轉
RPRNMLLLKHKGFBG77DA,4,57.30,本共有部分之項目有：停車空間、電梯間、安全梯、水箱、機械機房、消防機房、排風機房、防空避難室兼停車空間、電信室、泳池機房、景觀機房、台電配電室、發電機室、防災中心、公共服務空間、垃圾儲藏空間等１６項,鋼筋混凝土造,110年3月30日,十八層,,持分移轉
RPRNMLLLKHKGFBG77DA,4,23.85,本共有部分之項目有：樓梯間、梯廳、消防中繼機械室、水錶區、水箱、機械室等６項,鋼筋混凝土造,110年3月30日,十八層,,持分移轉
RPUNMLLLKHKGFBG08DA,48,89.92,住家用,鋼筋混凝土加強磚造,66年2月24日,二層,一層 二層,全筆移轉
RPPNMLOLKHKGFBG97EA,,298.16,法定騎樓、店舖、停車空間、住宅,鋼筋混凝土造,113年9月18日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPVNMLPJKHKGFAG28DA,16,187.23,一般零售場所（儲藏室）、停車空間,鋼筋混凝土造,97年12月15日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPVOMLPLKHKGFAG58DA,,53.83,集合住宅,鋼筋混凝土（ＲＣ）,113年9月16日,四層,四層 陽台,全筆移轉
RPVOMLPLKHKGFAG58DA,,29.56,本共有部分之項目有樓梯間、停車空間、電信室等３項。,鋼筋混凝土（ＲＣ）,113年9月16日,四層,,持分移轉
RPRNMLOLKHKGFBG08DA,29,5.93,共有部份,鋼筋混凝土造,85年2月20日,七層,,持分移轉
RPRNMLOLKHKGFBG08DA,28,46.25,住家用,鋼筋混凝土造,85年12月20日,七層,五層 陽台,全筆移轉
RPRNMLOLKHKGFBG08DA,28,5.50,共有部份,鋼筋混凝土造,85年12月20日,七層,,持分移轉
RPRNMLOLKHKGFBG08DA,28,.56,共有部份,鋼筋混凝土造,85年12月20日,七層,,持分移轉
RPXNMLKKKHKGFAG08DA,61,131.34,住家用,加強磚造,53年5月27日,二層,一層 二層,全筆移轉
RPPNMLRKKHKGFBG08DA,4,66.98,集合住宅,鋼筋混凝土造,109年9月1日,四層,二層 陽台,全筆移轉
RPPNMLRKKHKGFBG08DA,4,.61,本共有部分之項目有機電設備等１項,鋼筋混凝土造,109年9月1日,四層,,持分移轉
RPPNMLRKKHKGFBG08DA,4,5.99,本共有部分之項目有梯間及陽台等２項,鋼筋混凝土造,109年9月1日,四層,,持分移轉
RPRNMLRKKHKGFBG28DA,45,55.27,住家用,鋼筋混凝土造,69年6月12日,五層,一層,全筆移轉
RPTNMLPLKHKGFBG38DA,16,34.75,農舍,鋼筋混凝土造,97年8月5日,一層,一層,全筆移轉
RPUNMLOLKHKGFBG38DA,47,81.00,住家用,鋼筋混凝土加強磚造,67年4月24日,二層,一層 二層,全筆移轉
RPXOMLMKKHKGFAG38DA,49,90.70,住家用,鋼筋混凝土加強磚造,65年2月20日,二層,一層 二層,全筆移轉
RPPNMLKLKHKGFBG47DA,1,44.10,農糧產品加工室,鋼筋混凝土造,113年1月24日,一層,一層,全筆移轉
RPQPMLTKKHKGFAG58EA,12,163.01,住家用,鋼筋混凝土造,102年1月31日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLKLKHKGFBG57DA,,367.12,農舍、樓梯間,鋼筋混凝土造,113年10月17日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPOOMLSKKHKGFAG08DA,44,123.44,住家用,鋼筋混凝土加強磚造,70年3月3日,二層,一層 二層 騎樓,全筆移轉
RPWNMLKLKHKGFBG18DA,42,.02,樓梯間,鋼筋混凝土造,72年5月11日,五層,,持分移轉
RPWNMLKLKHKGFBG18DA,42,.27,住家用,鋼筋混凝土造,72年5月11日,一層,一層 陽台,持分移轉
RPWNMLKLKHKGFBG18DA,42,104.01,住家用,鋼筋混凝土造,72年5月11日,五層,五層 陽台,全筆移轉
