編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKLKHKGFBG57EA,坤門五段,14.12,都市：其他:住宅區,20000,203,持分移轉,00740000
RPQNMLKLKHKGFBG67EA,湖北段,47.86,非都市：特定農業區 ; 非都市編定：農牧用地,360,47,持分移轉,03680000
RPRNMLLLKHKGFBG77DA,農權段,39.75,都市：其他:住宅區,100000,500,持分移轉,11910000
RPTNMLKLKHKGFBG87DA,宜興段,93.56,都市：其他:道路用地,10,9,持分移轉,01330000
RPTNMLKLKHKGFBG87DA,宜興段,94.89,都市：其他:道路用地,10,9,持分移轉,01350000
RPVNMLKLKHKGFBG08DA,東村段,77.49,都市：其他:道路用地,100,69,持分移轉,04130003
RPUNMLKLKHKGFBG97DA,東村段,67.39,都市：其他:道路用地,1,1,全筆移轉,04130004
RPUNMLLLKHKGFBG08DA,乾門三段,62.01,都市：其他:住宅區,1,1,全筆移轉,06790000
RPPNMLOLKHKGFBG97EA,艮門三段,9.14,都市：其他:住宅區,10,1,持分移轉,05560007
RPPNMLOLKHKGFBG97EA,艮門三段,85.68,都市：其他:住宅區,1,1,全筆移轉,05560009
RPVNMLPJKHKGFAG28DA,東和段,90.71,都市：其他:乙種工業區,1,1,全筆移轉,08540025
RPVNMLPJKHKGFAG28DA,東和段,5.34,都市：其他:乙種工業區,22,1,持分移轉,08540026
RPVNMLPJKHKGFAG28DA,東和段,22.50,都市：其他:乙種工業區,1,1,全筆移轉,08540037
RPVNMLRKKHKGFAG58DA,慶安段,21.05,都市：其他:第一種住宅區,12,2,持分移轉,03020000
RPVNMLRKKHKGFAG58DA,慶安段,22.04,都市：其他:第一種住宅區,12,2,持分移轉,03020001
RPVNMLRKKHKGFAG58DA,慶安段,7.67,都市：其他:人行步道,12,2,持分移轉,03020002
RPVNMLRKKHKGFAG58DA,慶安段,25.30,都市：其他:兒童遊樂場,12,2,持分移轉,03020003
RPVNMLRKKHKGFAG58DA,慶安段,23.00,都市：其他:第一種住宅區,12,2,持分移轉,03020004
RPVNMLRKKHKGFAG58DA,慶安段,102.77,都市：其他:第一種住宅區,12,2,持分移轉,03020005
RPVNMLRKKHKGFAG58DA,慶安段,1.53,都市：其他:兒童遊樂場,12,2,持分移轉,03030000
RPVNMLRKKHKGFAG58DA,慶安段,5.33,都市：其他:溝渠用地兼供道路使用,21,3,持分移轉,05940000
RPVNMLRKKHKGFAG58DA,慶安段,.51,都市：其他:園道用地,21,3,持分移轉,05940001
RPVNMLRKKHKGFAG58DA,慶安段,2.13,都市：其他:人行步道,21,3,持分移轉,05940002
RPVNMLRKKHKGFAG58DA,慶安段,2.18,都市：其他:兒童遊樂場,21,3,持分移轉,05940003
RPVNMLRKKHKGFAG58DA,慶安段,15.35,都市：其他:第一種住宅區,21,3,持分移轉,05940004
RPVNMLRKKHKGFAG58DA,慶安段,20.38,都市：其他:第一種住宅區,21,3,持分移轉,05940005
RPVNMLRKKHKGFAG58DA,慶安段,3.22,都市：其他:溝渠用地兼供道路使用,21,3,持分移轉,05940006
RPVNMLRKKHKGFAG58DA,慶安段,3.45,都市：其他:兒童遊樂場,21,3,持分移轉,05940007
RPVNMLRKKHKGFAG58DA,慶安段,13.27,都市：其他:第一種住宅區,21,3,持分移轉,05950000
RPVNMLRKKHKGFAG58DA,慶安段,1.30,都市：其他:溝渠用地兼供道路使用,21,3,持分移轉,05950001
RPVNMLRKKHKGFAG58DA,慶安段,5.31,都市：其他:人行步道,21,3,持分移轉,05950002
RPVNMLRKKHKGFAG58DA,慶安段,5.63,都市：其他:兒童遊樂場,21,3,持分移轉,05950003
RPVNMLRKKHKGFAG58DA,慶安段,38.40,都市：其他:第一種住宅區,21,3,持分移轉,05950004
RPVNMLRKKHKGFAG58DA,慶安段,50.73,都市：其他:第一種住宅區,21,3,持分移轉,05950005
RPVNMLRKKHKGFAG58DA,慶安段,7.99,都市：其他:溝渠用地兼供道路使用,21,3,持分移轉,05950006
RPVNMLRKKHKGFAG58DA,慶安段,8.32,都市：其他:兒童遊樂場,21,3,持分移轉,05950007
RPVNMLRKKHKGFAG58DA,慶安段,17.92,都市：其他:第一種住宅區,12,1,持分移轉,06040000
RPVNMLRKKHKGFAG58DA,慶安段,2.15,都市：其他:溝渠用地兼供道路使用,12,1,持分移轉,06040001
RPVNMLRKKHKGFAG58DA,慶安段,7.17,都市：其他:人行步道,12,1,持分移轉,06040002
RPVNMLRKKHKGFAG58DA,慶安段,8.96,都市：其他:兒童遊樂場,12,1,持分移轉,06040003
RPVNMLRKKHKGFAG58DA,慶安段,.82,都市：其他:道路用地,12,1,持分移轉,06040004
RPVNMLRKKHKGFAG58DA,慶安段,51.67,都市：其他:第一種住宅區,12,1,持分移轉,06040005
RPVNMLRKKHKGFAG58DA,慶安段,67.92,都市：其他:第一種住宅區,12,1,持分移轉,06040006
RPVNMLRKKHKGFAG58DA,慶安段,10.28,都市：其他:道路用地,12,1,持分移轉,06040007
RPVNMLRKKHKGFAG58DA,慶安段,10.76,都市：其他:兒童遊樂場,12,1,持分移轉,06040008
RPVNMLRKKHKGFAG58DA,慶安段,1.54,都市：其他:道路用地,12,1,持分移轉,06050000
RPVOMLPLKHKGFAG58DA,十六份新段,30.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,404,持分移轉,06500000
RPVOMLPLKHKGFAG58DA,十六份新段,.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,404,持分移轉,06500001
RPVOMLPLKHKGFAG58DA,十六份新段,.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,404,持分移轉,06500002
RPVOMLPLKHKGFAG58DA,十六份新段,.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,404,持分移轉,06500003
RPPNMLLLKHKGFAG47DA,四重段,4680.00,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,04990000
RPPNMLLLKHKGFAG47DA,四重段,1545.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,06210000
RPRNMLOLKHKGFBG08DA,農權段,.18,都市：其他:住宅區,10000,18,持分移轉,03600000
RPRNMLOLKHKGFBG08DA,農權段,6.93,都市：其他:住宅區,10000,18,持分移轉,03610000
RPXNMLKKKHKGFAG08DA,興東段,158.00,都市：其他:住宅區,1,1,全筆移轉,09690000
RPXNMLKKKHKGFAG08DA,興東段,3.00,都市：其他:商業區,1,1,全筆移轉,09690001
RPPNMLRKKHKGFBG08DA,美城段,36.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,257,持分移轉,03640000
RPPNMLRKKHKGFBG08DA,美城段,18.07,非都市：特定農業區 ; 非都市編定：農牧用地,10000,257,持分移轉,03660000
RPPNMLRKKHKGFBG08DA,美城段,41.43,非都市：特定農業區 ; 非都市編定：農牧用地,10000,257,持分移轉,03680000
RPRNMLRKKHKGFBG28DA,協天段,18.31,都市：其他:住宅區,16,1,持分移轉,07880000
RPQOMLKLKHKGFBG67DA,玉田段,15.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,648,7,持分移轉,05140000
RPQOMLKLKHKGFBG67DA,玉田段,50.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,1620,35,持分移轉,05150000
RPTNMLPLKHKGFBG38DA,過港段,994.84,都市：其他:農業區,1,1,全筆移轉,15300000
RPUNMLOLKHKGFBG38DA,慈安段,63.66,都市：其他:住宅區,1,1,全筆移轉,03820000
RPXOMLMKKHKGFAG38DA,義成三段,75.15,都市：其他:住宅區,1,1,全筆移轉,11260000
RPQPMLOLKHKGFAG18EA,鹿皮段,1620.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01010000
RPPNMLKLKHKGFBG47DA,協民段,740.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02590000
RPQPMLTKKHKGFAG58EA,新大埔段,125.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01270000
RPQNMLKLKHKGFBG57DA,五美段,1280.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00110001
RPSNMLKLKHKGFAG67DA,柯林二段,1090.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07920000
RPPOMLSKKHKGFBG28DA,北津段,414.98,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02100007
RPOOMLSKKHKGFAG08DA,利工段,106.15,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04060000
RPWNMLKLKHKGFBG18DA,金六結五段,.08,都市：其他:住宅區,4179287,294,持分移轉,00430000
RPWNMLKLKHKGFBG18DA,金六結五段,.09,都市：其他:住宅區,9870,1,持分移轉,00460000
RPWNMLKLKHKGFBG18DA,金六結五段,11.00,都市：其他:住宅區,2034948,10401,持分移轉,00570000
RPWNMLKLKHKGFBG18DA,金六結五段,30.14,都市：其他:住宅區,30,1,持分移轉,00630000
RPWNMLKLKHKGFBG18DA,金六結五段,.89,都市：其他:住宅區,2034948,10401,持分移轉,00670000
RPQNMLLLKHKGFBG67DA,農權段,39.67,都市：其他:住宅區,100000,499,持分移轉,11910000
RPRNMLOJKHKGFBG87DA,員山段,97.91,都市：其他:住宅區,1,1,全筆移轉,07100000
RPPNMLQJKHKGFAG77DA,北成段,132.00,都市：其他:住宅區,1,1,全筆移轉,00720000
RPPNMLPJJHKGFAG57DA,鹿安一段,79.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,12950000
RPQNMLLLKHKGFAG57DA,文化段,66.32,都市：其他:住宅區,1,1,全筆移轉,07770000
RPSNMLLLKHKGFAG77DA,羅莊段,22.59,都市：其他:住宅區,9999,154,持分移轉,00520000
RPQOMLLLKHKGFAG67DA,義成四段,92.02,都市：其他:住宅區,1,1,全筆移轉,06710000
RPSNMLLLKHKGFBG87DA,壯志段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08000002
RPPPMLOLKHKGFAG97DA,興東段,12.57,都市：其他:住宅區,10000,204,持分移轉,13930000
RPPPMLOLKHKGFAG97DA,興東段,.22,都市：其他:商業區,10000,204,持分移轉,13930001
RPPPMLOLKHKGFAG97DA,興東段,.59,都市：其他:商業區,10000,10,持分移轉,14170000
RPPOMLLLKHKGFBG67DA,復興段,2599.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03090000
RPPNMLNLKHKGFBG77DA,黎明段,20.91,都市：其他:住宅區,10000,147,持分移轉,02890000
RPTOMLKLJHKGFAG77DA,蘇港段,7.74,都市：其他:商業區,40000,344,持分移轉,03930000
RPTOMLKLJHKGFAG77DA,蘇港段,.05,都市：其他:道路用地,40000,344,持分移轉,03930001
RPQNMLOLKHKGFBG97DA,大三鬮段,4.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,7,1,持分移轉,00030003
RPQNMLOLKHKGFBG97DA,大三鬮段,90.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00030011
RPQNMLOLKHKGFBG97DA,大三鬮段,28.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00030022
RPSNMLOLKHKGFBG18DA,同結段,13.84,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2079,持分移轉,05620000
RPSNMLOLKHKGFBG18DA,同結段,19.63,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2948,持分移轉,05620001
RPSNMLOLKHKGFBG18DA,同結段,49.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4840,持分移轉,05640000
RPTNMLOLKHKGFBG28DA,開蘭二段,513.95,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03030000
RPTNMLOLKHKGFBG28DA,開蘭二段,669.46,都市：其他:農業區,1,1,全筆移轉,03040000
RPTNMLOLKHKGFBG28DA,開蘭二段,73.71,都市：其他:道路用地,1,1,全筆移轉,03050000
RPSNMLPLKHKGFBG28DA,新打馬煙段,778.78,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05300000
RPTNMLSKKHKGFAG48DA,北成段,21.13,都市：其他:住宅區,100000,1008,持分移轉,00250000
RPTNMLSKKHKGFAG48DA,北成段,.30,都市：其他:住宅區,100000,1008,持分移轉,00250001
RPTNMLSKKHKGFAG48DA,北成段,.27,都市：其他:住宅區,100000,1008,持分移轉,00250002
RPROMLLLKHKGFBG87DA,刺仔崙段,99.51,非都市：一般農業區 ; 非都市編定：農牧用地,11520,360,持分移轉,02550000
RPUNMLKKKHKGFAG77DA,新群一段,91.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,15650001
RPUNMLKKKHKGFAG77DA,新群一段,13.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,15650008
