編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLLKHKGFBG77DA,坡道平面,1490000,33.69,地下一樓
RPVOMLPLKHKGFAG58DA,一樓平面,0,,一樓
RPQNMLLLKHKGFBG67DA,坡道平面,1390000,33.69,地下二樓
RPSNMLOLKHKGFBG18DA,坡道平面,0,,地下一樓
RPTNMLSKKHKGFAG48DA,坡道平面,1850000,31.43,地下二樓
RPOOMLSKKHKGFBG18DA,坡道平面,0,,地下一樓
RPPNMLKKKHKGFAG27DA,一樓平面,0,,一樓
RPVNMLSKKHKGFAG68DA,坡道平面,1900000,31.43,地下二樓
RPVNMLTKKHKGFBG88DA,一樓平面,0,13.75,一樓
RPTNMLLLJHKGFBG87DA,坡道平面,0,,地下一樓
RPOPMLTKKHKGFAG28DA,坡道平面,0,,二樓含以上
RPTNMLKKKHKGFAG67DA,一樓平面,0,,一樓
RPRNMLLMKIJGFBG87DA,坡道平面,0,,地下一樓
SPTNMLRKKHKGFAG48DA,坡道機械,1000000,13.71,地下一樓
RPSOMLKKKHKGFAG67DA,一樓平面,0,,一樓
RPTQMLNJKHKGFAG18DA,一樓平面,0,,一樓
RPSPMLSKKHKGFAG58DA,坡道平面,1600000,32.00,地下一樓
RPOOMLSKJIJGFBG08DA,一樓平面,1250000,14.13,一樓
RPOOMLKKKHKGFAG27DA,一樓平面,0,,一樓
RPUQMLLKKHKGFAG18DA,一樓平面,0,,一樓
RPQNMLKKKHKGFAG37DA,一樓平面,0,,一樓
RPWNMLSKKHKGFAG78DA,坡道平面,1700000,31.43,地下三樓
RPWNMLOJJIJGFBG28DA,一樓平面,1150000,14.13,一樓
RPXPMLKKKHKGFAG28DA,一樓平面,0,,一樓
RPPQMLKKKHKGFAG57DA,一樓平面,0,,一樓
RPOQMLKKKHKGFAG47DA,一樓平面,0,,一樓
RPWPMLKKKHKGFAG18DA,一樓平面,0,,一樓
RPQQMLKKKHKGFAG67DA,一樓平面,0,,一樓
RPXPMLLKKHKGFAG38DA,一樓平面,0,,一樓
RPOQMLLKKHKGFAG57DA,一樓平面,0,,一樓
