鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉香和路,40.13,住,,,1140121,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.36,3,2,2,有,無,9250000,75597,一樓平面,0.0,0,汽車停車位編號為18號。,RPQNMLLLJHKGFAG57DB,京禾文學苑五期,4A號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉香和路,31.96,住,,,1140121,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.78,2,2,1,有,無,8160000,84315,一樓平面,0.0,0,汽車停車位編號為15號。,RPPNMLNLJHKGFAG67DB,京禾文學苑五期,4C號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉香和路,36.2,住,,,1140121,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.89,3,2,2,有,無,8310000,75621,一樓平面,0.0,0,汽車停車位編號為19號。,RPQNMLNLJHKGFAG77DB,京禾文學苑五期,4G號,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路,32.17,住,,,1140125,土地3建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.51,2,2,2,有,無,7300000,61171,坡道平面,31.52,1000000,,RPTNMLNJKHKGFAG87CB,好室多,A棟A6-5F號,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮沙成路2巷69號旁,19.18,住,,,1140121,土地5建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.81,1,1,1,有,無,10370000,117244,一樓平面,33.45,1300000,,RPXNMLNJKHKGFBG38CB,山海序,F-10F號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉香和路,28.13,住,,,1140124,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.52,1,2,1,有,無,5600000,63985,一樓平面,0.0,0,汽車停車位編號另外抽籤。,RPPNMLNJKHKGFAG57DB,京禾文學苑五期,4F號,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮復興路三段388巷,116.87,,特定農業區,甲種建築用地,1140123,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,165.94,3,2,4,有,無,17500000,105460,,0.0,0,,RPWNMLOJKHKGFAG28CB,頤和竹林,D棟13號,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮蘭博二路,50.07,住,,,1140125,土地2建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.99,3,2,2,有,無,10720000,87162,一樓平面,13.75,0,,RPRNMLPJKHKGFBG97CB,覓蒔光,C-4F號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉清洲三路16巷,99.94,,一般農業區,甲種建築用地,1140126,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.93,4,2,5,有,無,14680000,83442,,0.0,0,,RPSNMLPJKHKGFAG08DB,原翠5,C棟1號,
