編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLNJKHKGFBG38CB,過港段,9.59,都市：住,100000,764,持分移轉,12680000
RPXNMLNJKHKGFBG38CB,過港段,1.92,都市：住,100000,764,持分移轉,12680001
RPXNMLNJKHKGFBG38CB,過港段,1.92,都市：住,100000,764,持分移轉,12680002
RPXNMLNJKHKGFBG38CB,過港段,2.88,都市：住,100000,764,持分移轉,12680003
RPXNMLNJKHKGFBG38CB,過港段,2.88,都市：住,100000,764,持分移轉,12680004
RPRNMLPJKHKGFBG97CB,烏石港段,26.03,都市：住,10000,525,持分移轉,01530000
RPRNMLPJKHKGFBG97CB,烏石港段,24.03,都市：住,10000,525,持分移轉,01530001
RPPNMLNLJHKGFAG67DB,香和段,31.96,都市：住,10000,317,持分移轉,10500000
RPQNMLLLJHKGFAG57DB,香和段,40.13,都市：住,10000,398,持分移轉,10500000
RPQNMLNLJHKGFAG77DB,香和段,36.20,都市：住,10000,359,持分移轉,10500000
RPWNMLOJKHKGFAG28CB,仁愛二段,98.49,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04210000
RPWNMLOJKHKGFAG28CB,仁愛二段,18.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04210109
RPTNMLNJKHKGFAG87CB,永愛段,14.11,都市：住,10000,86,持分移轉,03790000
RPTNMLNJKHKGFAG87CB,永愛段,13.54,都市：住,10000,86,持分移轉,03800000
RPTNMLNJKHKGFAG87CB,永愛段,4.52,都市：住,10000,86,持分移轉,03810000
RPPNMLMKKHKGFAG47CB,補城一段,106.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04140000
RPRNMLKKKHKGFBG57CB,新三泰段,67.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06600067
RPPNMLMKKHKGFAG47CB,補城一段,13.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04140028
RPRNMLKKKHKGFBG57CB,新三泰段,29.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06600068
RPPNMLMKKHKGFAG47CB,補城一段,20.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,04140008
RPRNMLKKKHKGFBG57CB,新三泰段,.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06600044
RPRNMLKKKHKGFBG57CB,新三泰段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06600080
RPRNMLKKKHKGFBG57CB,新三泰段,.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,37,1,持分移轉,06600079
RPPNMLSJKHKGFAG97CB,鎮安段,38.51,都市：住,10000,668,持分移轉,02330002
RPUNMLLKKHKGFAG87CB,尚武段,120.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,189183,12076,持分移轉,05630000
RPSNMLKKKHKGFBG67CB,新三泰段,27.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06600069
RPSNMLKKKHKGFBG67CB,新三泰段,71.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06600070
RPSNMLKKKHKGFBG67CB,新三泰段,.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06600044
RPSNMLKKKHKGFBG67CB,新三泰段,1.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06600080
RPSNMLKKKHKGFBG67CB,新三泰段,.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,37,1,持分移轉,06600079
RPPNMLNJKHKGFAG57DB,香和段,28.13,都市：住,10000,279,持分移轉,10500000
RPTNMLPJKHKGFAG18DB,新日興段,82.60,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120034
RPTNMLPJKHKGFAG18DB,新日興段,9.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120038
RPTNMLPJKHKGFAG18DB,新日興段,8.13,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120037
RPTNMLPJKHKGFAG18DB,新日興段,5.57,非都市：一般農業區 ; 非都市編定：甲種建築用地,23,1,持分移轉,04120049
RPPNMLOKKHKGFAG67CB,新西安段,14.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,348,持分移轉,07230000
RPPNMLOKKHKGFAG67CB,新西安段,40.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,348,持分移轉,07240000
RPPNMLOKKHKGFAG67CB,新西安段,.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,348,持分移轉,07240001
RPQNMLRKKHKGFAG08CB,加新段,36.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,435,持分移轉,00870000
RPSNMLPJKHKGFAG08DB,新日興段,94.37,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04120031
RPSNMLPJKHKGFAG08DB,新日興段,5.57,非都市：一般農業區 ; 非都市編定：甲種建築用地,23,1,持分移轉,04120049
RPPNMLQJKHKGFBG97DB,白鵝段,42.39,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,6456,持分移轉,07260000
RPPNMLQJKHKGFBG97DB,白鵝段,1.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,6456,持分移轉,07270000
