鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物),桃園市中壢區東興街３３號,30.25,住,,,1140203,土地2建物1車位0,一層，騎樓，地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690602,100.27,2,1,1,有,無,2590000,25830,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPRMLOJKHKGFBH18DA,100.27,0.0,0.0,無,
中壢區,土地,大路段351地號,274.47,,特定農業區,農牧用地,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2880000,10493,,0.0,0,,RPUNMLQJKHKGFBH48DA,0.0,0.0,0.0,無,
中壢區,土地,富台段159-4地號,274.13,都市：其他:道路用地,,,1140206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8148397,29725,,0.0,0,包含公共設施保留地用地；,RPSPMLQJKHKGFBH48DA,0.0,0.0,0.0,無,001
中壢區,房地(土地+建物),桃園市中壢區大仁街２５號五樓之５,5.71,住,,,1140209,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831110,24.439999999999998,1,0,1,有,有,2300000,94108,,0.0,0,,RPTOMLLKKHKGFBH08DA,16.0,0.0,2.45,有,
中壢區,土地,仁德段288地號,49.22,農,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1191200,24202,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLRKKHKGFBH58DA,0.0,0.0,0.0,無,002
中壢區,房地(土地+建物)+車位,桃園市中壢區自立五街９號十三樓,31.14,住,,,1140211,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920311,179.93,2,2,2,有,有,10500000,58356,坡道平面,0.0,0,車位需定期抽籤親友、員工、共有人或其他特殊關係間之交易；,RPWQMLRKKHKGFBH56DA,100.65,0.0,13.05,有,
觀音區,房地(土地+建物)+車位,桃園市觀音區學文一街４６號五樓,24.31,住,,,1140206,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130821,77.33,2,2,1,有,有,6450000,83409,一樓平面,0.0,1450000,,RPTSMLSKKHKGFBH56DA,41.59,0.0,4.88,有,003
楊梅區,土地,上湖段2302地號,177.5,,特定農業區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,585750,3300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKKHKGFDH08DA,0.0,0.0,0.0,無,
龜山區,土地,塔寮坑段933地號,1087.78,,山坡地保育區,丙種建築用地,1140208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20873000,19189,,0.0,0,926地號國土保安用地：12000元/坪×60.42坪=725040元933地號丙種建築用地：75000元/坪×268.64坪=20148000元合計：20873040元 取整數20873000元,RPUNMLOKKHKGFHH98DA,0.0,0.0,0.0,無,004
桃園區,房地(土地+建物)+車位,桃園市桃園區中華路６８之２號五樓,11.96,商,,,1140214,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070910,125.97,2,1,1,有,有,17680000,140351,坡道平面,33.51,0,,RPSNMLTKKHKGFAH68EA,59.53,1.47,3.27,有,
中壢區,房地(土地+建物),桃園市中壢區民族路五段４７３號,28.8,商,,,1140204,土地4建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0911024,6.0,10,2,9,有,無,4800000,800000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSKKHKGFBH48EA,4.22,0.0,0.32,無,005
